2026-08-17 05:38: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260817053820
2026-08-17 05:38: Train Epoch 1: 0/821 Loss: 0.934406
2026-08-17 05:38: Train Epoch 1: 20/821 Loss: 0.671129
2026-08-17 05:38: Train Epoch 1: 40/821 Loss: 0.586818
2026-08-17 05:38: Train Epoch 1: 60/821 Loss: 0.493181
2026-08-17 05:38: Train Epoch 1: 80/821 Loss: 0.433534
2026-08-17 05:38: Train Epoch 1: 100/821 Loss: 0.398334
2026-08-17 05:38: Train Epoch 1: 120/821 Loss: 0.369804
2026-08-17 05:38: Train Epoch 1: 140/821 Loss: 0.381230
2026-08-17 05:38: Train Epoch 1: 160/821 Loss: 0.358653
2026-08-17 05:38: Train Epoch 1: 180/821 Loss: 0.359208
2026-08-17 05:38: Train Epoch 1: 200/821 Loss: 0.336815
2026-08-17 05:38: Train Epoch 1: 220/821 Loss: 0.332500
2026-08-17 05:38: Train Epoch 1: 240/821 Loss: 0.356191
2026-08-17 05:38: Train Epoch 1: 260/821 Loss: 0.339434
2026-08-17 05:38: Train Epoch 1: 280/821 Loss: 0.351455
2026-08-17 05:38: Train Epoch 1: 300/821 Loss: 0.332449
2026-08-17 05:38: Train Epoch 1: 320/821 Loss: 0.366908
2026-08-17 05:38: Train Epoch 1: 340/821 Loss: 0.357338
2026-08-17 05:38: Train Epoch 1: 360/821 Loss: 0.359546
2026-08-17 05:38: Train Epoch 1: 380/821 Loss: 0.336987
2026-08-17 05:38: Train Epoch 1: 400/821 Loss: 0.313810
2026-08-17 05:38: Train Epoch 1: 420/821 Loss: 0.321702
2026-08-17 05:38: Train Epoch 1: 440/821 Loss: 0.324237
2026-08-17 05:38: Train Epoch 1: 460/821 Loss: 0.318012
2026-08-17 05:38: Train Epoch 1: 480/821 Loss: 0.330729
2026-08-17 05:39: Train Epoch 1: 500/821 Loss: 0.328454
2026-08-17 05:39: Train Epoch 1: 520/821 Loss: 0.317498
2026-08-17 05:39: Train Epoch 1: 540/821 Loss: 0.328201
2026-08-17 05:39: Train Epoch 1: 560/821 Loss: 0.352123
2026-08-17 05:39: Train Epoch 1: 580/821 Loss: 0.314968
2026-08-17 05:39: Train Epoch 1: 600/821 Loss: 0.318819
2026-08-17 05:39: Train Epoch 1: 620/821 Loss: 0.316040
2026-08-17 05:39: Train Epoch 1: 640/821 Loss: 0.324247
2026-08-17 05:39: Train Epoch 1: 660/821 Loss: 0.314277
2026-08-17 05:39: Train Epoch 1: 680/821 Loss: 0.319581
2026-08-17 05:39: Train Epoch 1: 700/821 Loss: 0.314468
2026-08-17 05:39: Train Epoch 1: 720/821 Loss: 0.318852
2026-08-17 05:39: Train Epoch 1: 740/821 Loss: 0.310812
2026-08-17 05:39: Train Epoch 1: 760/821 Loss: 0.316431
2026-08-17 05:39: Train Epoch 1: 780/821 Loss: 0.309736
2026-08-17 05:39: Train Epoch 1: 800/821 Loss: 0.301722
2026-08-17 05:39: Train Epoch 1: 820/821 Loss: 0.310650
2026-08-17 05:39: **********Train Epoch 1: averaged Loss: 0.360832, tf_ratio: 1.000000
2026-08-17 05:39: **********Val Epoch 1: average Loss: 0.307464
2026-08-17 05:39: *********************************Current best model saved!
2026-08-17 05:39: Train Epoch 2: 0/821 Loss: 0.316785
2026-08-17 05:39: Train Epoch 2: 20/821 Loss: 0.308486
2026-08-17 05:39: Train Epoch 2: 40/821 Loss: 0.320880
2026-08-17 05:39: Train Epoch 2: 60/821 Loss: 0.298917
2026-08-17 05:39: Train Epoch 2: 80/821 Loss: 0.322498
2026-08-17 05:39: Train Epoch 2: 100/821 Loss: 0.302976
2026-08-17 05:39: Train Epoch 2: 120/821 Loss: 0.300199
2026-08-17 05:39: Train Epoch 2: 140/821 Loss: 0.319588
2026-08-17 05:39: Train Epoch 2: 160/821 Loss: 0.311661
2026-08-17 05:39: Train Epoch 2: 180/821 Loss: 0.302960
2026-08-17 05:39: Train Epoch 2: 200/821 Loss: 0.289056
2026-08-17 05:39: Train Epoch 2: 220/821 Loss: 0.299921
2026-08-17 05:39: Train Epoch 2: 240/821 Loss: 0.296741
2026-08-17 05:39: Train Epoch 2: 260/821 Loss: 0.310513
2026-08-17 05:39: Train Epoch 2: 280/821 Loss: 0.313201
2026-08-17 05:39: Train Epoch 2: 300/821 Loss: 0.308323
2026-08-17 05:39: Train Epoch 2: 320/821 Loss: 0.293824
2026-08-17 05:39: Train Epoch 2: 340/821 Loss: 0.284486
2026-08-17 05:39: Train Epoch 2: 360/821 Loss: 0.328298
2026-08-17 05:39: Train Epoch 2: 380/821 Loss: 0.301733
