2026-08-17 05:31: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial30_20260817053120
2026-08-17 05:31: Train Epoch 1: 0/410 Loss: 16.705482
2026-08-17 05:31: Train Epoch 1: 20/410 Loss: 9.405880
2026-08-17 05:31: Train Epoch 1: 40/410 Loss: 5.181816
2026-08-17 05:31: Train Epoch 1: 60/410 Loss: 5.408000
2026-08-17 05:31: Train Epoch 1: 80/410 Loss: 5.316583
2026-08-17 05:31: Train Epoch 1: 100/410 Loss: 5.213365
2026-08-17 05:31: Train Epoch 1: 120/410 Loss: 4.952340
2026-08-17 05:31: Train Epoch 1: 140/410 Loss: 4.620288
2026-08-17 05:31: Train Epoch 1: 160/410 Loss: 4.114572
2026-08-17 05:31: Train Epoch 1: 180/410 Loss: 3.977428
2026-08-17 05:31: Train Epoch 1: 200/410 Loss: 3.515828
2026-08-17 05:31: Train Epoch 1: 220/410 Loss: 3.523906
2026-08-17 05:31: Train Epoch 1: 240/410 Loss: 3.366932
2026-08-17 05:31: Train Epoch 1: 260/410 Loss: 3.554348
2026-08-17 05:31: Train Epoch 1: 280/410 Loss: 3.189808
2026-08-17 05:31: Train Epoch 1: 300/410 Loss: 2.950840
2026-08-17 05:31: Train Epoch 1: 320/410 Loss: 2.705436
2026-08-17 05:31: Train Epoch 1: 340/410 Loss: 2.768200
2026-08-17 05:31: Train Epoch 1: 360/410 Loss: 2.696013
2026-08-17 05:31: Train Epoch 1: 380/410 Loss: 2.583743
2026-08-17 05:31: Train Epoch 1: 400/410 Loss: 2.562668
2026-08-17 05:31: **********Train Epoch 1: averaged Loss: 4.413206, tf_ratio: 1.000000
2026-08-17 05:31: **********Val Epoch 1: average Loss: 2.419222
2026-08-17 05:31: *********************************Current best model saved!
2026-08-17 05:31: Train Epoch 2: 0/410 Loss: 2.456271
2026-08-17 05:31: Train Epoch 2: 20/410 Loss: 2.426525
2026-08-17 05:31: Train Epoch 2: 40/410 Loss: 2.294838
2026-08-17 05:31: Train Epoch 2: 60/410 Loss: 2.258608
2026-08-17 05:31: Train Epoch 2: 80/410 Loss: 2.385346
2026-08-17 05:31: Train Epoch 2: 100/410 Loss: 2.469202
2026-08-17 05:31: Train Epoch 2: 120/410 Loss: 2.362954
2026-08-17 05:31: Train Epoch 2: 140/410 Loss: 2.308152
2026-08-17 05:31: Train Epoch 2: 160/410 Loss: 2.198363
2026-08-17 05:31: Train Epoch 2: 180/410 Loss: 2.255821
2026-08-17 05:31: Train Epoch 2: 200/410 Loss: 2.184157
2026-08-17 05:31: Train Epoch 2: 220/410 Loss: 2.177164
2026-08-17 05:31: Train Epoch 2: 240/410 Loss: 2.237173
2026-08-17 05:31: Train Epoch 2: 260/410 Loss: 2.206565
2026-08-17 05:31: Train Epoch 2: 280/410 Loss: 2.109195
2026-08-17 05:31: Train Epoch 2: 300/410 Loss: 2.108341
2026-08-17 05:31: Train Epoch 2: 320/410 Loss: 2.194131
2026-08-17 05:31: Train Epoch 2: 340/410 Loss: 2.121779
2026-08-17 05:31: Train Epoch 2: 360/410 Loss: 2.113055
2026-08-17 05:31: Train Epoch 2: 380/410 Loss: 2.113965
2026-08-17 05:31: Train Epoch 2: 400/410 Loss: 2.077251
