/scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/lib/dataloader.py:80: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  X, Y = TensorFloat(X), TensorFloat(Y)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/chkkar002/.netrc.
wandb: Currently logged in as: chkkar002 (chkkar002-university-of-cape-town) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Using a boolean value for 'reinit' is deprecated. Use 'return_previous' or 'finish_previous' instead.
wandb: setting up run 6ely6wal
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/wandb/run-20260815_213818-6ely6wal
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run TF_CW_AGCRN
wandb: ⭐️ View project at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather
wandb: 🚀 View run at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather/runs/6ely6wal
2026-08-15 21:38: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260815213817
2026-08-15 21:38: Train Epoch 1: 0/821 Loss: 16.903475
2026-08-15 21:38: Train Epoch 1: 20/821 Loss: 6.879871
2026-08-15 21:38: Train Epoch 1: 40/821 Loss: 6.069768
2026-08-15 21:38: Train Epoch 1: 60/821 Loss: 5.331297
2026-08-15 21:38: Train Epoch 1: 80/821 Loss: 5.145246
2026-08-15 21:38: Train Epoch 1: 100/821 Loss: 4.586668
2026-08-15 21:38: Train Epoch 1: 120/821 Loss: 4.683023
2026-08-15 21:38: Train Epoch 1: 140/821 Loss: 4.370692
2026-08-15 21:38: Train Epoch 1: 160/821 Loss: 4.258013
2026-08-15 21:38: Train Epoch 1: 180/821 Loss: 4.014985
2026-08-15 21:38: Train Epoch 1: 200/821 Loss: 3.510845
2026-08-15 21:38: Train Epoch 1: 220/821 Loss: 3.406166
2026-08-15 21:38: Train Epoch 1: 240/821 Loss: 3.614205
2026-08-15 21:38: Train Epoch 1: 260/821 Loss: 3.661340
2026-08-15 21:38: Train Epoch 1: 280/821 Loss: 3.390828
2026-08-15 21:38: Train Epoch 1: 300/821 Loss: 3.385697
2026-08-15 21:38: Train Epoch 1: 320/821 Loss: 3.333978
2026-08-15 21:38: Train Epoch 1: 340/821 Loss: 3.254741
2026-08-15 21:38: Train Epoch 1: 360/821 Loss: 3.303003
2026-08-15 21:38: Train Epoch 1: 380/821 Loss: 2.904183
2026-08-15 21:38: Train Epoch 1: 400/821 Loss: 2.851113
2026-08-15 21:38: Train Epoch 1: 420/821 Loss: 2.618455
2026-08-15 21:38: Train Epoch 1: 440/821 Loss: 2.647201
2026-08-15 21:38: Train Epoch 1: 460/821 Loss: 2.615257
2026-08-15 21:38: Train Epoch 1: 480/821 Loss: 2.646144
2026-08-15 21:38: Train Epoch 1: 500/821 Loss: 2.609998
2026-08-15 21:38: Train Epoch 1: 520/821 Loss: 2.518644
2026-08-15 21:39: Train Epoch 1: 540/821 Loss: 2.603601
2026-08-15 21:39: Train Epoch 1: 560/821 Loss: 2.663649
2026-08-15 21:39: Train Epoch 1: 580/821 Loss: 2.449825
2026-08-15 21:39: Train Epoch 1: 600/821 Loss: 2.555650
2026-08-15 21:39: Train Epoch 1: 620/821 Loss: 2.429764
2026-08-15 21:39: Train Epoch 1: 640/821 Loss: 2.430437
2026-08-15 21:39: Train Epoch 1: 660/821 Loss: 2.343783
2026-08-15 21:39: Train Epoch 1: 680/821 Loss: 2.500903
2026-08-15 21:39: Train Epoch 1: 700/821 Loss: 2.330235
2026-08-15 21:39: Train Epoch 1: 720/821 Loss: 2.420829
2026-08-15 21:39: Train Epoch 1: 740/821 Loss: 2.345900
2026-08-15 21:39: Train Epoch 1: 760/821 Loss: 2.372688
2026-08-15 21:39: Train Epoch 1: 780/821 Loss: 2.291303
2026-08-15 21:39: Train Epoch 1: 800/821 Loss: 2.290530
2026-08-15 21:39: Train Epoch 1: 820/821 Loss: 2.276966
2026-08-15 21:39: **********Train Epoch 1: averaged Loss: 3.441917, tf_ratio: 0.999247
2026-08-15 21:39: **********Val Epoch 1: average Loss: 2.266109
2026-08-15 21:39: *********************************Current best model saved!
2026-08-15 21:39: Train Epoch 2: 0/821 Loss: 2.331664
2026-08-15 21:39: Train Epoch 2: 20/821 Loss: 2.372397
2026-08-15 21:39: Train Epoch 2: 40/821 Loss: 2.338341
2026-08-15 21:39: Train Epoch 2: 60/821 Loss: 2.192460
2026-08-15 21:39: Train Epoch 2: 80/821 Loss: 2.349234
2026-08-15 21:39: Train Epoch 2: 100/821 Loss: 2.259077
2026-08-15 21:39: Train Epoch 2: 120/821 Loss: 2.221867
2026-08-15 21:39: Train Epoch 2: 140/821 Loss: 2.322481
