/home/chkkar002/envs/diffstg/lib64/python3.9/site-packages/optuna/_experimental.py:33: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  optuna_warn(
[I 2026-08-16 21:43:30,255] Using an existing study with name 'agcrn_tuning_v7' instead of creating a new one.
/scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/lib/dataloader.py:80: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  X, Y = TensorFloat(X), TensorFloat(Y)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/chkkar002/.netrc.
wandb: Currently logged in as: chkkar002 (chkkar002-university-of-cape-town) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Using a boolean value for 'reinit' is deprecated. Use 'return_previous' or 'finish_previous' instead.
wandb: setting up run 5gz1qnrw
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/wandb/run-20260816_214333-5gz1qnrw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run AGCRN_Hyperparam_10
wandb: ⭐️ View project at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather
wandb: 🚀 View run at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather/runs/5gz1qnrw
2026-08-16 21:43: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial10_20260816214332
2026-08-16 21:43: Train Epoch 1: 0/821 Loss: 17.525188
2026-08-16 21:43: Train Epoch 1: 20/821 Loss: 6.386588
2026-08-16 21:43: Train Epoch 1: 40/821 Loss: 4.943011
2026-08-16 21:43: Train Epoch 1: 60/821 Loss: 4.323237
2026-08-16 21:43: Train Epoch 1: 80/821 Loss: 4.108603
2026-08-16 21:43: Train Epoch 1: 100/821 Loss: 4.047252
2026-08-16 21:43: Train Epoch 1: 120/821 Loss: 3.817880
2026-08-16 21:43: Train Epoch 1: 140/821 Loss: 3.578304
2026-08-16 21:43: Train Epoch 1: 160/821 Loss: 3.214191
2026-08-16 21:43: Train Epoch 1: 180/821 Loss: 2.999820
2026-08-16 21:43: Train Epoch 1: 200/821 Loss: 2.985385
2026-08-16 21:43: Train Epoch 1: 220/821 Loss: 2.737860
2026-08-16 21:43: Train Epoch 1: 240/821 Loss: 2.634723
2026-08-16 21:43: Train Epoch 1: 260/821 Loss: 2.598677
2026-08-16 21:43: Train Epoch 1: 280/821 Loss: 2.443552
2026-08-16 21:43: Train Epoch 1: 300/821 Loss: 2.322604
2026-08-16 21:43: Train Epoch 1: 320/821 Loss: 2.398334
2026-08-16 21:43: Train Epoch 1: 340/821 Loss: 2.441818
2026-08-16 21:44: Train Epoch 1: 360/821 Loss: 2.313001
2026-08-16 21:44: Train Epoch 1: 380/821 Loss: 2.297016
2026-08-16 21:44: Train Epoch 1: 400/821 Loss: 2.485773
2026-08-16 21:44: Train Epoch 1: 420/821 Loss: 2.343661
2026-08-16 21:44: Train Epoch 1: 440/821 Loss: 2.340635
2026-08-16 21:44: Train Epoch 1: 460/821 Loss: 2.358469
2026-08-16 21:44: Train Epoch 1: 480/821 Loss: 2.335174
2026-08-16 21:44: Train Epoch 1: 500/821 Loss: 2.251948
2026-08-16 21:44: Train Epoch 1: 520/821 Loss: 2.103913
2026-08-16 21:44: Train Epoch 1: 540/821 Loss: 2.090815
2026-08-16 21:44: Train Epoch 1: 560/821 Loss: 2.268467
2026-08-16 21:44: Train Epoch 1: 580/821 Loss: 2.256057
2026-08-16 21:44: Train Epoch 1: 600/821 Loss: 2.266896
2026-08-16 21:44: Train Epoch 1: 620/821 Loss: 2.104374
2026-08-16 21:44: Train Epoch 1: 640/821 Loss: 2.195122
2026-08-16 21:44: Train Epoch 1: 660/821 Loss: 2.203308
2026-08-16 21:44: Train Epoch 1: 680/821 Loss: 2.148829
2026-08-16 21:44: Train Epoch 1: 700/821 Loss: 2.186846
2026-08-16 21:44: Train Epoch 1: 720/821 Loss: 2.209195
2026-08-16 21:44: Train Epoch 1: 740/821 Loss: 2.086631
2026-08-16 21:44: Train Epoch 1: 760/821 Loss: 2.222677
2026-08-16 21:44: Train Epoch 1: 780/821 Loss: 2.130816
2026-08-16 21:44: Train Epoch 1: 800/821 Loss: 2.023781
2026-08-16 21:44: Train Epoch 1: 820/821 Loss: 2.066462
2026-08-16 21:44: **********Train Epoch 1: averaged Loss: 2.849196, tf_ratio: 1.000000
2026-08-16 21:44: **********Val Epoch 1: average Loss: 2.078473
2026-08-16 21:44: *********************************Current best model saved!
2026-08-16 21:44: Train Epoch 2: 0/821 Loss: 2.000116
2026-08-16 21:44: Train Epoch 2: 20/821 Loss: 2.054797
2026-08-16 21:44: Train Epoch 2: 40/821 Loss: 2.097346
