/home/chkkar002/envs/diffstg/lib64/python3.9/site-packages/optuna/_experimental.py:33: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  optuna_warn(
[I 2026-08-17 15:18:36,442] A new study created in RDB with name: agcrn_tuning_RV
/scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/lib/dataloader.py:80: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  X, Y = TensorFloat(X), TensorFloat(Y)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/chkkar002/.netrc.
wandb: Currently logged in as: chkkar002 (chkkar002-university-of-cape-town) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Using a boolean value for 'reinit' is deprecated. Use 'return_previous' or 'finish_previous' instead.
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/wandb/run-20260817_151839-5pxu22h0
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run AGCRN_Tune_0
wandb: ⭐️ View project at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather
wandb: 🚀 View run at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather/runs/5pxu22h0
2026-08-17 15:18: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial0_20260817151838
2026-08-17 15:18: Train Epoch 1: 0/820 Loss: 0.947372
2026-08-17 15:18: Train Epoch 1: 20/820 Loss: 0.629702
2026-08-17 15:18: Train Epoch 1: 40/820 Loss: 0.453211
2026-08-17 15:18: Train Epoch 1: 60/820 Loss: 0.417271
2026-08-17 15:18: Train Epoch 1: 80/820 Loss: 0.383585
2026-08-17 15:18: Train Epoch 1: 100/820 Loss: 0.379492
2026-08-17 15:18: Train Epoch 1: 120/820 Loss: 0.388348
2026-08-17 15:18: Train Epoch 1: 140/820 Loss: 0.389704
2026-08-17 15:18: Train Epoch 1: 160/820 Loss: 0.380351
2026-08-17 15:18: Train Epoch 1: 180/820 Loss: 0.371333
2026-08-17 15:18: Train Epoch 1: 200/820 Loss: 0.356902
2026-08-17 15:18: Train Epoch 1: 220/820 Loss: 0.376902
2026-08-17 15:18: Train Epoch 1: 240/820 Loss: 0.356302
2026-08-17 15:18: Train Epoch 1: 260/820 Loss: 0.338195
2026-08-17 15:19: Train Epoch 1: 280/820 Loss: 0.359976
2026-08-17 15:19: Train Epoch 1: 300/820 Loss: 0.367014
2026-08-17 15:19: Train Epoch 1: 320/820 Loss: 0.362880
2026-08-17 15:19: Train Epoch 1: 340/820 Loss: 0.349947
2026-08-17 15:19: Train Epoch 1: 360/820 Loss: 0.374481
2026-08-17 15:19: Train Epoch 1: 380/820 Loss: 0.352382
2026-08-17 15:19: Train Epoch 1: 400/820 Loss: 0.356300
2026-08-17 15:19: Train Epoch 1: 420/820 Loss: 0.356984
2026-08-17 15:19: Train Epoch 1: 440/820 Loss: 0.355187
2026-08-17 15:19: Train Epoch 1: 460/820 Loss: 0.358429
2026-08-17 15:19: Train Epoch 1: 480/820 Loss: 0.352570
2026-08-17 15:19: Train Epoch 1: 500/820 Loss: 0.349031
2026-08-17 15:19: Train Epoch 1: 520/820 Loss: 0.320360
2026-08-17 15:19: Train Epoch 1: 540/820 Loss: 0.346124
2026-08-17 15:19: Train Epoch 1: 560/820 Loss: 0.359031
2026-08-17 15:19: Train Epoch 1: 580/820 Loss: 0.338503
2026-08-17 15:19: Train Epoch 1: 600/820 Loss: 0.347753
2026-08-17 15:19: Train Epoch 1: 620/820 Loss: 0.367488
2026-08-17 15:19: Train Epoch 1: 640/820 Loss: 0.350813
2026-08-17 15:19: Train Epoch 1: 660/820 Loss: 0.344496
2026-08-17 15:19: Train Epoch 1: 680/820 Loss: 0.351033
2026-08-17 15:19: Train Epoch 1: 700/820 Loss: 0.344600
2026-08-17 15:19: Train Epoch 1: 720/820 Loss: 0.327360
2026-08-17 15:19: Train Epoch 1: 740/820 Loss: 0.335624
2026-08-17 15:19: Train Epoch 1: 760/820 Loss: 0.360017
2026-08-17 15:19: Train Epoch 1: 780/820 Loss: 0.341223
2026-08-17 15:19: Train Epoch 1: 800/820 Loss: 0.330517
2026-08-17 15:19: **********Train Epoch 1: averaged Loss: 0.369551, tf_ratio: 1.000000
2026-08-17 15:19: **********Val Epoch 1: average Loss: 0.332752
2026-08-17 15:19: *********************************Current best model saved!
2026-08-17 15:19: Train Epoch 2: 0/820 Loss: 0.338411
2026-08-17 15:19: Train Epoch 2: 20/820 Loss: 0.326593
2026-08-17 15:19: Train Epoch 2: 40/820 Loss: 0.317570
2026-08-17 15:19: Train Epoch 2: 60/820 Loss: 0.315588
2026-08-17 15:19: Train Epoch 2: 80/820 Loss: 0.341398
