=================================================================
Running Run.py | Seed: 1 | Teacher Forcing: True
=================================================================
/scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/lib/dataloader.py:80: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  X, Y = TensorFloat(X), TensorFloat(Y)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/chkkar002/.netrc.
wandb: Currently logged in as: chkkar002 (chkkar002-university-of-cape-town) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Using a boolean value for 'reinit' is deprecated. Use 'return_previous' or 'finish_previous' instead.
wandb: setting up run hiuhptss
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/wandb/run-20260819_141209-hiuhptss
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run AGCRN_realval
wandb: ⭐️ View project at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather
wandb: 🚀 View run at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather/runs/hiuhptss
2026-08-19 14:12: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260819141209
2026-08-19 14:12: Train Epoch 1: 0/1641 Loss: 0.977491
2026-08-19 14:12: Train Epoch 1: 20/1641 Loss: 0.995180
2026-08-19 14:12: Train Epoch 1: 40/1641 Loss: 0.910968
2026-08-19 14:12: Train Epoch 1: 60/1641 Loss: 0.778808
2026-08-19 14:12: Train Epoch 1: 80/1641 Loss: 0.735974
2026-08-19 14:12: Train Epoch 1: 100/1641 Loss: 0.796897
2026-08-19 14:12: Train Epoch 1: 120/1641 Loss: 0.717937
2026-08-19 14:12: Train Epoch 1: 140/1641 Loss: 0.682364
2026-08-19 14:12: Train Epoch 1: 160/1641 Loss: 0.669975
2026-08-19 14:12: Train Epoch 1: 180/1641 Loss: 0.648712
2026-08-19 14:12: Train Epoch 1: 200/1641 Loss: 0.655015
2026-08-19 14:12: Train Epoch 1: 220/1641 Loss: 0.641000
2026-08-19 14:12: Train Epoch 1: 240/1641 Loss: 0.667467
2026-08-19 14:12: Train Epoch 1: 260/1641 Loss: 0.639697
2026-08-19 14:12: Train Epoch 1: 280/1641 Loss: 0.624460
2026-08-19 14:12: Train Epoch 1: 300/1641 Loss: 0.606225
2026-08-19 14:12: Train Epoch 1: 320/1641 Loss: 0.664368
2026-08-19 14:13: Train Epoch 1: 340/1641 Loss: 0.582976
2026-08-19 14:13: Train Epoch 1: 360/1641 Loss: 0.630713
2026-08-19 14:13: Train Epoch 1: 380/1641 Loss: 0.593978
2026-08-19 14:13: Train Epoch 1: 400/1641 Loss: 0.577921
2026-08-19 14:13: Train Epoch 1: 420/1641 Loss: 0.543102
2026-08-19 14:13: Train Epoch 1: 440/1641 Loss: 0.471952
2026-08-19 14:13: Train Epoch 1: 460/1641 Loss: 0.503802
2026-08-19 14:13: Train Epoch 1: 480/1641 Loss: 0.462771
2026-08-19 14:13: Train Epoch 1: 500/1641 Loss: 0.442463
2026-08-19 14:13: Train Epoch 1: 520/1641 Loss: 0.458858
2026-08-19 14:13: Train Epoch 1: 540/1641 Loss: 0.451959
2026-08-19 14:13: Train Epoch 1: 560/1641 Loss: 0.450216
2026-08-19 14:13: Train Epoch 1: 580/1641 Loss: 0.382166
2026-08-19 14:13: Train Epoch 1: 600/1641 Loss: 0.419935
2026-08-19 14:13: Train Epoch 1: 620/1641 Loss: 0.394104
2026-08-19 14:13: Train Epoch 1: 640/1641 Loss: 0.429162
2026-08-19 14:13: Train Epoch 1: 660/1641 Loss: 0.434513
2026-08-19 14:13: Train Epoch 1: 680/1641 Loss: 0.419502
2026-08-19 14:13: Train Epoch 1: 700/1641 Loss: 0.429935
2026-08-19 14:13: Train Epoch 1: 720/1641 Loss: 0.408960
2026-08-19 14:13: Train Epoch 1: 740/1641 Loss: 0.396257
2026-08-19 14:14: Train Epoch 1: 760/1641 Loss: 0.373629
2026-08-19 14:14: Train Epoch 1: 780/1641 Loss: 0.384223
2026-08-19 14:14: Train Epoch 1: 800/1641 Loss: 0.402045
2026-08-19 14:14: Train Epoch 1: 820/1641 Loss: 0.403886
2026-08-19 14:14: Train Epoch 1: 840/1641 Loss: 0.436524
2026-08-19 14:14: Train Epoch 1: 860/1641 Loss: 0.399718
2026-08-19 14:14: Train Epoch 1: 880/1641 Loss: 0.405479
2026-08-19 14:14: Train Epoch 1: 900/1641 Loss: 0.394154
2026-08-19 14:14: Train Epoch 1: 920/1641 Loss: 0.358494
2026-08-19 14:14: Train Epoch 1: 940/1641 Loss: 0.387496
2026-08-19 14:14: Train Epoch 1: 960/1641 Loss: 0.369540
2026-08-19 14:14: Train Epoch 1: 980/1641 Loss: 0.399287
