=================================================================
Running Run.py | Seed: 1
=================================================================
/scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/lib/dataloader.py:80: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  X, Y = TensorFloat(X), TensorFloat(Y)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/chkkar002/.netrc.
wandb: Currently logged in as: chkkar002 (chkkar002-university-of-cape-town) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Using a boolean value for 'reinit' is deprecated. Use 'return_previous' or 'finish_previous' instead.
wandb: setting up run 3zdc6sze
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/wandb/run-20260820_051256-3zdc6sze
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run AGCRN_realval
wandb: ⭐️ View project at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather
wandb: 🚀 View run at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather/runs/3zdc6sze
2026-08-20 05:12: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260820051255
2026-08-20 05:12: Train Epoch 1: 0/1641 Loss: 0.926284
2026-08-20 05:13: Train Epoch 1: 20/1641 Loss: 0.894809
2026-08-20 05:13: Train Epoch 1: 40/1641 Loss: 0.904683
2026-08-20 05:13: Train Epoch 1: 60/1641 Loss: 0.832522
2026-08-20 05:13: Train Epoch 1: 80/1641 Loss: 0.760875
2026-08-20 05:13: Train Epoch 1: 100/1641 Loss: 0.792623
2026-08-20 05:13: Train Epoch 1: 120/1641 Loss: 0.815531
2026-08-20 05:13: Train Epoch 1: 140/1641 Loss: 0.736834
2026-08-20 05:13: Train Epoch 1: 160/1641 Loss: 0.716444
2026-08-20 05:13: Train Epoch 1: 180/1641 Loss: 0.751021
2026-08-20 05:13: Train Epoch 1: 200/1641 Loss: 0.737123
2026-08-20 05:13: Train Epoch 1: 220/1641 Loss: 0.676403
2026-08-20 05:13: Train Epoch 1: 240/1641 Loss: 0.757156
2026-08-20 05:13: Train Epoch 1: 260/1641 Loss: 0.710945
2026-08-20 05:13: Train Epoch 1: 280/1641 Loss: 0.720258
2026-08-20 05:13: Train Epoch 1: 300/1641 Loss: 0.653549
2026-08-20 05:13: Train Epoch 1: 320/1641 Loss: 0.643889
2026-08-20 05:13: Train Epoch 1: 340/1641 Loss: 0.563612
2026-08-20 05:13: Train Epoch 1: 360/1641 Loss: 0.574081
2026-08-20 05:13: Train Epoch 1: 380/1641 Loss: 0.529970
2026-08-20 05:13: Train Epoch 1: 400/1641 Loss: 0.528160
2026-08-20 05:13: Train Epoch 1: 420/1641 Loss: 0.533330
2026-08-20 05:13: Train Epoch 1: 440/1641 Loss: 0.488292
2026-08-20 05:14: Train Epoch 1: 460/1641 Loss: 0.511636
2026-08-20 05:14: Train Epoch 1: 480/1641 Loss: 0.471993
2026-08-20 05:14: Train Epoch 1: 500/1641 Loss: 0.489169
2026-08-20 05:14: Train Epoch 1: 520/1641 Loss: 0.489659
2026-08-20 05:14: Train Epoch 1: 540/1641 Loss: 0.492004
2026-08-20 05:14: Train Epoch 1: 560/1641 Loss: 0.503347
2026-08-20 05:14: Train Epoch 1: 580/1641 Loss: 0.428124
2026-08-20 05:14: Train Epoch 1: 600/1641 Loss: 0.486149
2026-08-20 05:14: Train Epoch 1: 620/1641 Loss: 0.490247
2026-08-20 05:14: Train Epoch 1: 640/1641 Loss: 0.502935
2026-08-20 05:14: Train Epoch 1: 660/1641 Loss: 0.513421
2026-08-20 05:14: Train Epoch 1: 680/1641 Loss: 0.477293
2026-08-20 05:14: Train Epoch 1: 700/1641 Loss: 0.495401
2026-08-20 05:14: Train Epoch 1: 720/1641 Loss: 0.490841
2026-08-20 05:14: Train Epoch 1: 740/1641 Loss: 0.488591
2026-08-20 05:14: Train Epoch 1: 760/1641 Loss: 0.448693
2026-08-20 05:14: Train Epoch 1: 780/1641 Loss: 0.478147
2026-08-20 05:14: Train Epoch 1: 800/1641 Loss: 0.475381
2026-08-20 05:14: Train Epoch 1: 820/1641 Loss: 0.486323
2026-08-20 05:14: Train Epoch 1: 840/1641 Loss: 0.524592
2026-08-20 05:14: Train Epoch 1: 860/1641 Loss: 0.472690
2026-08-20 05:14: Train Epoch 1: 880/1641 Loss: 0.482018
2026-08-20 05:14: Train Epoch 1: 900/1641 Loss: 0.459580
2026-08-20 05:15: Train Epoch 1: 920/1641 Loss: 0.448463
2026-08-20 05:15: Train Epoch 1: 940/1641 Loss: 0.444806
2026-08-20 05:15: Train Epoch 1: 960/1641 Loss: 0.442897
2026-08-20 05:15: Train Epoch 1: 980/1641 Loss: 0.488268
