Hour,True_Normalized,Predicted_Normalized
1,1.4409256,1.6326272
2,1.5579872,1.7766747
3,1.7921109,1.8704952
4,1.953071,1.8898113
5,1.9384382,1.7890038
6,2.0116017,1.5600734
7,1.9677035,1.2603387
8,1.675049,0.9917002
9,1.2507,0.7939767
10,0.8263509,0.65678126
11,0.62149286,0.5129786
12,0.54832923,0.3867985
13,0.22640914,0.28456804
14,0.10934745,0.21198139
15,0.09471467,0.15842322
16,0.08008189,0.15404981
17,0.08008189,0.12800258
18,0.08008189,0.11288273
19,0.10934745,0.13737744
20,0.09471467,0.27787927
21,0.1678783,0.52700377
22,0.28494,0.82841253
23,0.35810363,1.1295054
24,0.54832923,1.3615427
25,0.73855454,1.5447034
26,0.8556165,1.6693217
27,1.0458418,1.7629007
28,1.0165763,1.7520936
29,1.0604746,1.6340411
30,1.0165763,1.3757776
31,0.7678201,1.0764735
32,0.5922273,0.8184238
33,0.5336964,0.63519794
34,0.44590002,0.49105686
35,0.40200198,0.35012385
36,0.3434711,0.21485543
37,0.3434711,0.10986251
38,0.3873692,0.039465062
39,0.29957277,-0.02265197
40,0.29957277,-0.042072713
41,0.28494,-0.08250463
42,0.27030748,-0.11587724
43,0.27030748,-0.10978791
44,0.32883835,0.007038191
45,0.3727364,0.23784915
46,0.51906365,0.5411393
47,0.7824529,0.84836316
48,1.1336383,1.0941222
49,1.1921691,1.3065841
50,1.1921691,1.4071461
51,1.4701909,1.448386
52,1.6457837,1.4216489
53,1.5579872,1.3044963
54,1.5579872,1.1045638
55,1.367762,0.84804463
56,1.2214347,0.600688
57,0.92878014,0.4041128
58,0.68002367,0.2880763
59,0.51906365,0.20116524
60,0.43126726,0.14682272
61,0.3873692,0.109598994
62,0.44590002,0.06510475
63,0.41663474,0.0012188554
64,0.28494,-0.038825437
65,0.21177636,-0.09174359
66,0.006918259,-0.12120688
67,-0.16867428,-0.104157925
68,0.08008189,0.020603627
69,0.54832923,0.2565993
70,0.89951456,0.5614999
71,1.2653327,0.8848899
72,1.5579872,1.1470578
73,2.0554998,1.3510284
74,2.4652164,1.4729435
75,2.7139728,1.5485175
76,2.8749325,1.5228418
77,3.0212598,1.421097
78,3.226118,1.1958812
79,3.0212598,0.9395544
80,2.6115437,0.6873052
81,2.1871943,0.4841228
82,1.7921109,0.33001518
83,1.3823944,0.21832156
84,0.8556165,0.123286456
85,0.70928925,0.05228585
86,0.5775945,-0.014449067
87,0.35810363,-0.106993854
88,0.12398023,-0.16646859
89,-0.036979806,-0.2326715
90,-0.124776214,-0.2650387
91,-0.16867428,-0.24851367
92,-0.06624537,-0.12396783
93,0.19714385,0.11385834
94,0.43126726,0.44818848
95,0.70928925,0.7836462
96,1.0751075,1.0716131
97,1.5872529,1.3323913
98,1.6604165,1.4354768
99,1.6018853,1.4826578
100,1.7774781,1.4596882
101,1.6018853,1.3361857
102,1.2945983,1.1244345
103,1.2360672,0.86287373
104,0.9141474,0.61598366
105,0.73855454,0.43434742
106,0.562962,0.32863027
107,0.4605328,0.22199886
108,0.32883835,0.13219422
109,0.08008189,0.06545092
110,0.006918259,0.02082789
111,0.050816603,-0.008143306
112,0.12398023,-0.012127817
113,0.036183823,-0.084463
114,-0.13940899,-0.16476202
115,-0.31500167,-0.20171094
116,-0.15404178,-0.10699245
117,0.3434711,0.12435199
118,0.84098375,0.4270329
119,1.0458418,0.72817373
120,1.2360672,0.9619473
121,1.3970273,1.1488767
122,1.5287217,1.2640995
123,1.3823944,1.3483119
124,1.4262928,1.3176467
125,1.3238636,1.2205462
126,1.1190054,0.9820123
127,0.7531873,0.7324043
128,0.62149286,0.49010113
129,0.44590002,0.30223677
130,0.29957277,0.16339137
131,0.24104193,0.052751675
132,0.22640914,-0.06738198
133,0.18251108,-0.15509874
134,0.10934745,-0.1959647
135,0.09471467,-0.24433571
136,0.12398023,-0.24647033
137,0.10934745,-0.3076328
138,0.050816603,-0.35115463
139,0.021551041,-0.3697658
140,0.006918259,-0.24661118
141,0.10934745,-0.001057744
142,0.12398023,0.3507142
143,0.15324551,0.6590896
144,0.18251108,0.92533004
145,0.28494,0.30328137
146,0.29957277,0.42477936
147,0.4605328,0.5385432
148,0.51906365,0.6252211
149,0.562962,0.6360595
150,0.3873692,0.57445425
151,0.3873692,0.4485919
152,0.43126726,0.3151128
153,0.40200198,0.19003984
154,0.3434711,0.11858425
155,0.25567472,0.06313503
156,0.19714385,0.024007112
157,0.13861273,-0.0098744035
158,0.1678783,-0.02645287
159,0.13861273,-0.05686313
160,0.15324551,-0.10127203
161,0.13861273,-0.16450185
162,0.13861273,-0.23202676
163,0.12398023,-0.23917127
164,0.15324551,-0.14817676
165,0.27030748,0.090210825
166,0.44590002,0.42899093
167,0.81171817,0.7629789
168,1.1043727,1.004312
169,1.5433545,1.1642354
170,1.5433545,1.2897463
171,1.4555581,1.3485124
172,1.6896818,1.3738518
173,1.4848236,1.3048985
174,1.3531291,1.1554654
175,1.2799655,0.93383867
176,1.1336383,0.70675445
177,1.0751075,0.5161536
178,0.9580454,0.35214216
179,0.87024903,0.22312063
180,0.5922273,0.11372763
181,0.40200198,0.02975583
182,0.35810363,-0.04135502
183,0.29957277,-0.08060521
184,0.32883835,-0.12874407
185,0.35810363,-0.17456287
186,0.3434711,-0.2200791
187,0.32883835,-0.19399866
188,0.32883835,-0.053007305
189,0.3727364,0.22388756
190,0.44590002,0.58738506
191,0.7239218,0.9408444
192,0.8556165,1.1969354
193,0.60686004,1.0420979
194,0.5922273,1.1996803
195,0.6653909,1.3356538
196,0.7531873,1.4106748
197,0.84098375,1.3708498
198,0.8263509,1.2231829
199,0.5336964,1.0037038
200,0.562962,0.7926678
201,0.5336964,0.61733985
202,0.3873692,0.50909096
203,0.3727364,0.41358206
204,0.35810363,0.348057
205,0.35810363,0.30453578
206,0.3434711,0.2763716
207,0.29957277,0.23249725
208,0.29957277,0.18439236
209,0.27030748,0.11596477
210,0.28494,0.049626946
211,0.27030748,0.031056404
212,0.25567472,0.12192392
213,0.5044309,0.34255585
214,0.84098375,0.64404213
215,1.0604746,0.9544153
216,1.2507,1.2100751
217,1.2068019,1.4203415
218,1.4701909,1.5961651
219,1.0897399,1.722239
220,0.9141474,1.7761805
221,1.0312091,1.7148495
222,1.2360672,1.5314429
