Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260814030658/run.log
2026-08-14 03:07: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260814030658
2026-08-14 03:07: Train Epoch 1: 0/821 Loss: 16.903475
2026-08-14 03:07: Train Epoch 1: 20/821 Loss: 14.886160
2026-08-14 03:07: Train Epoch 1: 40/821 Loss: 8.311549
2026-08-14 03:07: Train Epoch 1: 60/821 Loss: 6.313104
2026-08-14 03:07: Train Epoch 1: 80/821 Loss: 5.460542
2026-08-14 03:07: Train Epoch 1: 100/821 Loss: 5.099795
2026-08-14 03:07: Train Epoch 1: 120/821 Loss: 5.529397
2026-08-14 03:07: Train Epoch 1: 140/821 Loss: 5.360676
2026-08-14 03:07: Train Epoch 1: 160/821 Loss: 5.322797
2026-08-14 03:07: Train Epoch 1: 180/821 Loss: 5.286365
2026-08-14 03:07: Train Epoch 1: 200/821 Loss: 5.069267
2026-08-14 03:07: Train Epoch 1: 220/821 Loss: 4.867746
2026-08-14 03:07: Train Epoch 1: 240/821 Loss: 5.260076
2026-08-14 03:07: Train Epoch 1: 260/821 Loss: 5.059444
2026-08-14 03:07: Train Epoch 1: 280/821 Loss: 4.617970
2026-08-14 03:07: Train Epoch 1: 300/821 Loss: 4.478459
2026-08-14 03:07: Train Epoch 1: 320/821 Loss: 4.505453
2026-08-14 03:07: Train Epoch 1: 340/821 Loss: 4.364328
2026-08-14 03:07: Train Epoch 1: 360/821 Loss: 4.502959
2026-08-14 03:07: Train Epoch 1: 380/821 Loss: 4.065736
2026-08-14 03:07: Train Epoch 1: 400/821 Loss: 4.105348
2026-08-14 03:07: Train Epoch 1: 420/821 Loss: 3.848100
2026-08-14 03:07: Train Epoch 1: 440/821 Loss: 3.715934
2026-08-14 03:07: Train Epoch 1: 460/821 Loss: 3.853571
2026-08-14 03:07: Train Epoch 1: 480/821 Loss: 3.643761
2026-08-14 03:07: Train Epoch 1: 500/821 Loss: 3.673761
2026-08-14 03:07: Train Epoch 1: 520/821 Loss: 3.488953
2026-08-14 03:07: Train Epoch 1: 540/821 Loss: 3.505283
2026-08-14 03:07: Train Epoch 1: 560/821 Loss: 3.451049
2026-08-14 03:07: Train Epoch 1: 580/821 Loss: 3.291742
2026-08-14 03:07: Train Epoch 1: 600/821 Loss: 3.364382
2026-08-14 03:07: Train Epoch 1: 620/821 Loss: 3.282452
2026-08-14 03:07: Train Epoch 1: 640/821 Loss: 3.277605
2026-08-14 03:07: Train Epoch 1: 660/821 Loss: 3.041030
2026-08-14 03:07: Train Epoch 1: 680/821 Loss: 3.210783
2026-08-14 03:07: Train Epoch 1: 700/821 Loss: 2.917900
2026-08-14 03:07: Train Epoch 1: 720/821 Loss: 2.796555
2026-08-14 03:07: Train Epoch 1: 740/821 Loss: 2.840243
2026-08-14 03:07: Train Epoch 1: 760/821 Loss: 2.819347
2026-08-14 03:07: Train Epoch 1: 780/821 Loss: 2.657075
2026-08-14 03:07: Train Epoch 1: 800/821 Loss: 2.559731
2026-08-14 03:08: Train Epoch 1: 820/821 Loss: 2.587047
2026-08-14 03:08: **********Train Epoch 1: averaged Loss: 4.616209, tf_ratio: 1.000000
2026-08-14 03:08: **********Val Epoch 1: average Loss: 2.520478
2026-08-14 03:08: *********************************Current best model saved!
2026-08-14 03:08: Train Epoch 2: 0/821 Loss: 2.618213
2026-08-14 03:08: Train Epoch 2: 20/821 Loss: 2.537382
2026-08-14 03:08: Train Epoch 2: 40/821 Loss: 2.587593
2026-08-14 03:08: Train Epoch 2: 60/821 Loss: 2.451749
2026-08-14 03:08: Train Epoch 2: 80/821 Loss: 2.619116
2026-08-14 03:08: Train Epoch 2: 100/821 Loss: 2.519148
2026-08-14 03:08: Train Epoch 2: 120/821 Loss: 2.482214
2026-08-14 03:08: Train Epoch 2: 140/821 Loss: 2.574898
2026-08-14 03:08: Train Epoch 2: 160/821 Loss: 2.624521
2026-08-14 03:08: Train Epoch 2: 180/821 Loss: 2.466610
2026-08-14 03:08: Train Epoch 2: 200/821 Loss: 2.296324
2026-08-14 03:08: Train Epoch 2: 220/821 Loss: 2.432839
2026-08-14 03:08: Train Epoch 2: 240/821 Loss: 2.407292
2026-08-14 03:08: Train Epoch 2: 260/821 Loss: 2.510446
2026-08-14 03:08: Train Epoch 2: 280/821 Loss: 2.437175
2026-08-14 03:08: Train Epoch 2: 300/821 Loss: 2.383874
2026-08-14 03:08: Train Epoch 2: 320/821 Loss: 2.282292
2026-08-14 03:08: Train Epoch 2: 340/821 Loss: 2.278640
2026-08-14 03:08: Train Epoch 2: 360/821 Loss: 2.569387
2026-08-14 03:08: Train Epoch 2: 380/821 Loss: 2.363248
2026-08-14 03:08: Train Epoch 2: 400/821 Loss: 2.321374
2026-08-14 03:08: Train Epoch 2: 420/821 Loss: 2.255088
2026-08-14 03:08: Train Epoch 2: 440/821 Loss: 2.398178
2026-08-14 03:08: Train Epoch 2: 460/821 Loss: 2.169450
2026-08-14 03:08: Train Epoch 2: 480/821 Loss: 2.398892
2026-08-14 03:08: Train Epoch 2: 500/821 Loss: 2.323423
2026-08-14 03:08: Train Epoch 2: 520/821 Loss: 2.335060
2026-08-14 03:08: Train Epoch 2: 540/821 Loss: 2.333641
2026-08-14 03:08: Train Epoch 2: 560/821 Loss: 2.409219
2026-08-14 03:08: Train Epoch 2: 580/821 Loss: 2.259547
2026-08-14 03:08: Train Epoch 2: 600/821 Loss: 2.273168
2026-08-14 03:08: Train Epoch 2: 620/821 Loss: 2.378059
2026-08-14 03:08: Train Epoch 2: 640/821 Loss: 2.306577
2026-08-14 03:08: Train Epoch 2: 660/821 Loss: 2.189833
2026-08-14 03:08: Train Epoch 2: 680/821 Loss: 2.327033
2026-08-14 03:08: Train Epoch 2: 700/821 Loss: 2.269297
2026-08-14 03:08: Train Epoch 2: 720/821 Loss: 2.248044
2026-08-14 03:09: Train Epoch 2: 740/821 Loss: 2.120966
2026-08-14 03:09: Train Epoch 2: 760/821 Loss: 2.211634
2026-08-14 03:09: Train Epoch 2: 780/821 Loss: 2.066766
