Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260815222411/run.log
2026-08-15 22:24: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260815222411
2026-08-15 22:24: Train Epoch 1: 0/958 Loss: 17.040680
2026-08-15 22:24: Train Epoch 1: 20/958 Loss: 7.044668
2026-08-15 22:24: Train Epoch 1: 40/958 Loss: 5.618094
2026-08-15 22:24: Train Epoch 1: 60/958 Loss: 5.232519
2026-08-15 22:24: Train Epoch 1: 80/958 Loss: 5.049037
2026-08-15 22:24: Train Epoch 1: 100/958 Loss: 4.924623
2026-08-15 22:24: Train Epoch 1: 120/958 Loss: 4.577719
2026-08-15 22:24: Train Epoch 1: 140/958 Loss: 4.400307
2026-08-15 22:24: Train Epoch 1: 160/958 Loss: 3.941279
2026-08-15 22:24: Train Epoch 1: 180/958 Loss: 3.919806
2026-08-15 22:24: Train Epoch 1: 200/958 Loss: 3.976406
2026-08-15 22:24: Train Epoch 1: 220/958 Loss: 3.468270
2026-08-15 22:24: Train Epoch 1: 240/958 Loss: 3.237014
2026-08-15 22:24: Train Epoch 1: 260/958 Loss: 3.362464
2026-08-15 22:24: Train Epoch 1: 280/958 Loss: 3.145976
2026-08-15 22:24: Train Epoch 1: 300/958 Loss: 2.935040
2026-08-15 22:24: Train Epoch 1: 320/958 Loss: 2.867426
2026-08-15 22:24: Train Epoch 1: 340/958 Loss: 2.703743
2026-08-15 22:24: Train Epoch 1: 360/958 Loss: 2.736272
2026-08-15 22:24: Train Epoch 1: 380/958 Loss: 2.642417
2026-08-15 22:24: Train Epoch 1: 400/958 Loss: 2.495644
2026-08-15 22:24: Train Epoch 1: 420/958 Loss: 2.604497
2026-08-15 22:24: Train Epoch 1: 440/958 Loss: 2.579720
2026-08-15 22:24: Train Epoch 1: 460/958 Loss: 2.597677
2026-08-15 22:24: Train Epoch 1: 480/958 Loss: 2.460172
2026-08-15 22:24: Train Epoch 1: 500/958 Loss: 2.644332
2026-08-15 22:24: Train Epoch 1: 520/958 Loss: 2.508329
2026-08-15 22:24: Train Epoch 1: 540/958 Loss: 2.420711
2026-08-15 22:24: Train Epoch 1: 560/958 Loss: 2.702331
2026-08-15 22:24: Train Epoch 1: 580/958 Loss: 2.390122
2026-08-15 22:24: Train Epoch 1: 600/958 Loss: 2.245728
2026-08-15 22:25: Train Epoch 1: 620/958 Loss: 2.283462
2026-08-15 22:25: Train Epoch 1: 640/958 Loss: 2.319878
2026-08-15 22:25: Train Epoch 1: 660/958 Loss: 2.342164
2026-08-15 22:25: Train Epoch 1: 680/958 Loss: 2.306635
2026-08-15 22:25: Train Epoch 1: 700/958 Loss: 2.475235
2026-08-15 22:25: Train Epoch 1: 720/958 Loss: 2.291732
2026-08-15 22:25: Train Epoch 1: 740/958 Loss: 2.415357
2026-08-15 22:25: Train Epoch 1: 760/958 Loss: 2.298518
2026-08-15 22:25: Train Epoch 1: 780/958 Loss: 2.253427
2026-08-15 22:25: Train Epoch 1: 800/958 Loss: 2.434184
2026-08-15 22:25: Train Epoch 1: 820/958 Loss: 2.392925
2026-08-15 22:25: Train Epoch 1: 840/958 Loss: 2.257139
2026-08-15 22:25: Train Epoch 1: 860/958 Loss: 2.312528
2026-08-15 22:25: Train Epoch 1: 880/958 Loss: 2.293415
2026-08-15 22:25: Train Epoch 1: 900/958 Loss: 2.208309
2026-08-15 22:25: Train Epoch 1: 920/958 Loss: 2.251032
2026-08-15 22:25: Train Epoch 1: 940/958 Loss: 2.341439
2026-08-15 22:25: **********Train Epoch 1: averaged Loss: 3.192130, tf_ratio: 0.999194
2026-08-15 22:25: **********Val Epoch 1: average Loss: 2.349494
2026-08-15 22:25: *********************************Current best model saved!
2026-08-15 22:25: Train Epoch 2: 0/958 Loss: 2.258915
2026-08-15 22:25: Train Epoch 2: 20/958 Loss: 2.213382
2026-08-15 22:25: Train Epoch 2: 40/958 Loss: 2.236399
2026-08-15 22:25: Train Epoch 2: 60/958 Loss: 2.238698
2026-08-15 22:25: Train Epoch 2: 80/958 Loss: 2.314146
2026-08-15 22:25: Train Epoch 2: 100/958 Loss: 2.332599
2026-08-15 22:25: Train Epoch 2: 120/958 Loss: 2.231854
2026-08-15 22:25: Train Epoch 2: 140/958 Loss: 2.301597
2026-08-15 22:25: Train Epoch 2: 160/958 Loss: 2.258531
2026-08-15 22:25: Train Epoch 2: 180/958 Loss: 2.254587
2026-08-15 22:25: Train Epoch 2: 200/958 Loss: 2.210138
