Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial1_20260816014137/run.log
2026-08-16 01:41: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial1_20260816014137
2026-08-16 01:41: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial1_20260816014137
2026-08-16 01:41: Train Epoch 1: 0/410 Loss: 16.609188
2026-08-16 01:41: Train Epoch 1: 0/410 Loss: 16.609188
2026-08-16 01:41: Train Epoch 1: 20/410 Loss: 16.751446
2026-08-16 01:41: Train Epoch 1: 20/410 Loss: 16.751446
2026-08-16 01:41: Train Epoch 1: 40/410 Loss: 17.244648
2026-08-16 01:41: Train Epoch 1: 40/410 Loss: 17.244648
2026-08-16 01:41: Train Epoch 1: 60/410 Loss: 17.318686
2026-08-16 01:41: Train Epoch 1: 60/410 Loss: 17.318686
2026-08-16 01:41: Train Epoch 1: 80/410 Loss: 17.246893
2026-08-16 01:41: Train Epoch 1: 80/410 Loss: 17.246893
2026-08-16 01:41: Train Epoch 1: 100/410 Loss: 16.743603
2026-08-16 01:41: Train Epoch 1: 100/410 Loss: 16.743603
2026-08-16 01:42: Train Epoch 1: 120/410 Loss: 15.497725
2026-08-16 01:42: Train Epoch 1: 120/410 Loss: 15.497725
2026-08-16 01:42: Train Epoch 1: 140/410 Loss: 15.989927
2026-08-16 01:42: Train Epoch 1: 140/410 Loss: 15.989927
2026-08-16 01:42: Train Epoch 1: 160/410 Loss: 15.088074
2026-08-16 01:42: Train Epoch 1: 160/410 Loss: 15.088074
2026-08-16 01:42: Train Epoch 1: 180/410 Loss: 14.762877
2026-08-16 01:42: Train Epoch 1: 180/410 Loss: 14.762877
2026-08-16 01:42: Train Epoch 1: 200/410 Loss: 14.493915
2026-08-16 01:42: Train Epoch 1: 200/410 Loss: 14.493915
2026-08-16 01:42: Train Epoch 1: 220/410 Loss: 14.301832
2026-08-16 01:42: Train Epoch 1: 220/410 Loss: 14.301832
2026-08-16 01:42: Train Epoch 1: 240/410 Loss: 13.528748
2026-08-16 01:42: Train Epoch 1: 240/410 Loss: 13.528748
2026-08-16 01:42: Train Epoch 1: 260/410 Loss: 13.457182
2026-08-16 01:42: Train Epoch 1: 260/410 Loss: 13.457182
2026-08-16 01:42: Train Epoch 1: 280/410 Loss: 13.229513
2026-08-16 01:42: Train Epoch 1: 280/410 Loss: 13.229513
2026-08-16 01:42: Train Epoch 1: 300/410 Loss: 12.829071
2026-08-16 01:42: Train Epoch 1: 300/410 Loss: 12.829071
2026-08-16 01:42: Train Epoch 1: 320/410 Loss: 13.241043
2026-08-16 01:42: Train Epoch 1: 320/410 Loss: 13.241043
2026-08-16 01:42: Train Epoch 1: 340/410 Loss: 11.843990
2026-08-16 01:42: Train Epoch 1: 340/410 Loss: 11.843990
2026-08-16 01:42: Train Epoch 1: 360/410 Loss: 12.254705
2026-08-16 01:42: Train Epoch 1: 360/410 Loss: 12.254705
2026-08-16 01:42: Train Epoch 1: 380/410 Loss: 12.393310
2026-08-16 01:42: Train Epoch 1: 380/410 Loss: 12.393310
2026-08-16 01:42: Train Epoch 1: 400/410 Loss: 11.684341
2026-08-16 01:42: Train Epoch 1: 400/410 Loss: 11.684341
2026-08-16 01:42: **********Train Epoch 1: averaged Loss: 14.534942, tf_ratio: 1.000000
2026-08-16 01:42: **********Train Epoch 1: averaged Loss: 14.534942, tf_ratio: 1.000000
2026-08-16 01:43: **********Val Epoch 1: average Loss: 11.495645
2026-08-16 01:43: **********Val Epoch 1: average Loss: 11.495645
2026-08-16 01:43: *********************************Current best model saved!
2026-08-16 01:43: *********************************Current best model saved!
2026-08-16 01:43: Train Epoch 2: 0/410 Loss: 11.097466
2026-08-16 01:43: Train Epoch 2: 0/410 Loss: 11.097466
2026-08-16 01:43: Train Epoch 2: 20/410 Loss: 11.457436
2026-08-16 01:43: Train Epoch 2: 20/410 Loss: 11.457436
2026-08-16 01:43: Train Epoch 2: 40/410 Loss: 11.658783
2026-08-16 01:43: Train Epoch 2: 40/410 Loss: 11.658783
2026-08-16 01:43: Train Epoch 2: 60/410 Loss: 10.459758
2026-08-16 01:43: Train Epoch 2: 60/410 Loss: 10.459758
2026-08-16 01:43: Train Epoch 2: 80/410 Loss: 10.927928
2026-08-16 01:43: Train Epoch 2: 80/410 Loss: 10.927928
2026-08-16 01:43: Train Epoch 2: 100/410 Loss: 10.262001
2026-08-16 01:43: Train Epoch 2: 100/410 Loss: 10.262001
2026-08-16 01:43: Train Epoch 2: 120/410 Loss: 10.192095
2026-08-16 01:43: Train Epoch 2: 120/410 Loss: 10.192095
2026-08-16 01:43: Train Epoch 2: 140/410 Loss: 10.137152
2026-08-16 01:43: Train Epoch 2: 140/410 Loss: 10.137152
2026-08-16 01:43: Train Epoch 2: 160/410 Loss: 10.437381
2026-08-16 01:43: Train Epoch 2: 160/410 Loss: 10.437381
2026-08-16 01:43: Train Epoch 2: 180/410 Loss: 10.563677
2026-08-16 01:43: Train Epoch 2: 180/410 Loss: 10.563677
2026-08-16 01:43: Train Epoch 2: 200/410 Loss: 10.231779
2026-08-16 01:43: Train Epoch 2: 200/410 Loss: 10.231779
