Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial2_20260816025527/run.log
2026-08-16 02:55: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial2_20260816025527
2026-08-16 02:55: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial2_20260816025527
2026-08-16 02:55: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial2_20260816025527
2026-08-16 02:55: Train Epoch 1: 0/1642 Loss: 15.957442
2026-08-16 02:55: Train Epoch 1: 0/1642 Loss: 15.957442
2026-08-16 02:55: Train Epoch 1: 0/1642 Loss: 15.957442
2026-08-16 02:55: Train Epoch 1: 20/1642 Loss: 16.352449
2026-08-16 02:55: Train Epoch 1: 20/1642 Loss: 16.352449
2026-08-16 02:55: Train Epoch 1: 20/1642 Loss: 16.352449
2026-08-16 02:55: Train Epoch 1: 40/1642 Loss: 18.634510
2026-08-16 02:55: Train Epoch 1: 40/1642 Loss: 18.634510
2026-08-16 02:55: Train Epoch 1: 40/1642 Loss: 18.634510
2026-08-16 02:55: Train Epoch 1: 60/1642 Loss: 17.075195
2026-08-16 02:55: Train Epoch 1: 60/1642 Loss: 17.075195
2026-08-16 02:55: Train Epoch 1: 60/1642 Loss: 17.075195
2026-08-16 02:55: Train Epoch 1: 80/1642 Loss: 17.843405
2026-08-16 02:55: Train Epoch 1: 80/1642 Loss: 17.843405
2026-08-16 02:55: Train Epoch 1: 80/1642 Loss: 17.843405
2026-08-16 02:55: Train Epoch 1: 100/1642 Loss: 16.711739
2026-08-16 02:55: Train Epoch 1: 100/1642 Loss: 16.711739
2026-08-16 02:55: Train Epoch 1: 100/1642 Loss: 16.711739
2026-08-16 02:55: Train Epoch 1: 120/1642 Loss: 15.099849
2026-08-16 02:55: Train Epoch 1: 120/1642 Loss: 15.099849
2026-08-16 02:55: Train Epoch 1: 120/1642 Loss: 15.099849
2026-08-16 02:55: Train Epoch 1: 140/1642 Loss: 17.533638
2026-08-16 02:55: Train Epoch 1: 140/1642 Loss: 17.533638
2026-08-16 02:55: Train Epoch 1: 140/1642 Loss: 17.533638
2026-08-16 02:55: Train Epoch 1: 160/1642 Loss: 15.474254
2026-08-16 02:55: Train Epoch 1: 160/1642 Loss: 15.474254
2026-08-16 02:55: Train Epoch 1: 160/1642 Loss: 15.474254
2026-08-16 02:55: Train Epoch 1: 180/1642 Loss: 15.701556
2026-08-16 02:55: Train Epoch 1: 180/1642 Loss: 15.701556
2026-08-16 02:55: Train Epoch 1: 180/1642 Loss: 15.701556
2026-08-16 02:55: Train Epoch 1: 200/1642 Loss: 15.926443
2026-08-16 02:55: Train Epoch 1: 200/1642 Loss: 15.926443
2026-08-16 02:55: Train Epoch 1: 200/1642 Loss: 15.926443
2026-08-16 02:55: Train Epoch 1: 220/1642 Loss: 15.448538
2026-08-16 02:55: Train Epoch 1: 220/1642 Loss: 15.448538
2026-08-16 02:55: Train Epoch 1: 220/1642 Loss: 15.448538
2026-08-16 02:56: Train Epoch 1: 240/1642 Loss: 15.550882
2026-08-16 02:56: Train Epoch 1: 240/1642 Loss: 15.550882
2026-08-16 02:56: Train Epoch 1: 240/1642 Loss: 15.550882
2026-08-16 02:56: Train Epoch 1: 260/1642 Loss: 14.866196
2026-08-16 02:56: Train Epoch 1: 260/1642 Loss: 14.866196
2026-08-16 02:56: Train Epoch 1: 260/1642 Loss: 14.866196
2026-08-16 02:56: Train Epoch 1: 280/1642 Loss: 15.474493
2026-08-16 02:56: Train Epoch 1: 280/1642 Loss: 15.474493
2026-08-16 02:56: Train Epoch 1: 280/1642 Loss: 15.474493
2026-08-16 02:56: Train Epoch 1: 300/1642 Loss: 14.102520
2026-08-16 02:56: Train Epoch 1: 300/1642 Loss: 14.102520
2026-08-16 02:56: Train Epoch 1: 300/1642 Loss: 14.102520
2026-08-16 02:56: Train Epoch 1: 320/1642 Loss: 15.098956
2026-08-16 02:56: Train Epoch 1: 320/1642 Loss: 15.098956
2026-08-16 02:56: Train Epoch 1: 320/1642 Loss: 15.098956
2026-08-16 02:56: Train Epoch 1: 340/1642 Loss: 15.887286
2026-08-16 02:56: Train Epoch 1: 340/1642 Loss: 15.887286
2026-08-16 02:56: Train Epoch 1: 340/1642 Loss: 15.887286
2026-08-16 02:56: Train Epoch 1: 360/1642 Loss: 13.287794
2026-08-16 02:56: Train Epoch 1: 360/1642 Loss: 13.287794
2026-08-16 02:56: Train Epoch 1: 360/1642 Loss: 13.287794
2026-08-16 02:56: Train Epoch 1: 380/1642 Loss: 14.716807
2026-08-16 02:56: Train Epoch 1: 380/1642 Loss: 14.716807
2026-08-16 02:56: Train Epoch 1: 380/1642 Loss: 14.716807
2026-08-16 02:56: Train Epoch 1: 400/1642 Loss: 15.515427
2026-08-16 02:56: Train Epoch 1: 400/1642 Loss: 15.515427
2026-08-16 02:56: Train Epoch 1: 400/1642 Loss: 15.515427
2026-08-16 02:56: Train Epoch 1: 420/1642 Loss: 14.266432
2026-08-16 02:56: Train Epoch 1: 420/1642 Loss: 14.266432
2026-08-16 02:56: Train Epoch 1: 420/1642 Loss: 14.266432
2026-08-16 02:56: Train Epoch 1: 440/1642 Loss: 14.562880
2026-08-16 02:56: Train Epoch 1: 440/1642 Loss: 14.562880
2026-08-16 02:56: Train Epoch 1: 440/1642 Loss: 14.562880
2026-08-16 02:56: Train Epoch 1: 460/1642 Loss: 14.202181
2026-08-16 02:56: Train Epoch 1: 460/1642 Loss: 14.202181
2026-08-16 02:56: Train Epoch 1: 460/1642 Loss: 14.202181
2026-08-16 02:56: Train Epoch 1: 480/1642 Loss: 14.261930
2026-08-16 02:56: Train Epoch 1: 480/1642 Loss: 14.261930
2026-08-16 02:56: Train Epoch 1: 480/1642 Loss: 14.261930
2026-08-16 02:56: Train Epoch 1: 500/1642 Loss: 14.879046
2026-08-16 02:56: Train Epoch 1: 500/1642 Loss: 14.879046
2026-08-16 02:56: Train Epoch 1: 500/1642 Loss: 14.879046
2026-08-16 02:56: Train Epoch 1: 520/1642 Loss: 13.814883
2026-08-16 02:56: Train Epoch 1: 520/1642 Loss: 13.814883
2026-08-16 02:56: Train Epoch 1: 520/1642 Loss: 13.814883
2026-08-16 02:56: Train Epoch 1: 540/1642 Loss: 13.857912
2026-08-16 02:56: Train Epoch 1: 540/1642 Loss: 13.857912
2026-08-16 02:56: Train Epoch 1: 540/1642 Loss: 13.857912
2026-08-16 02:56: Train Epoch 1: 560/1642 Loss: 12.986247
2026-08-16 02:56: Train Epoch 1: 560/1642 Loss: 12.986247
2026-08-16 02:56: Train Epoch 1: 560/1642 Loss: 12.986247
2026-08-16 02:56: Train Epoch 1: 580/1642 Loss: 13.272001
2026-08-16 02:56: Train Epoch 1: 580/1642 Loss: 13.272001
2026-08-16 02:56: Train Epoch 1: 580/1642 Loss: 13.272001
2026-08-16 02:56: Train Epoch 1: 600/1642 Loss: 14.472453
2026-08-16 02:56: Train Epoch 1: 600/1642 Loss: 14.472453
2026-08-16 02:56: Train Epoch 1: 600/1642 Loss: 14.472453
2026-08-16 02:56: Train Epoch 1: 620/1642 Loss: 13.995888
2026-08-16 02:56: Train Epoch 1: 620/1642 Loss: 13.995888
2026-08-16 02:56: Train Epoch 1: 620/1642 Loss: 13.995888
2026-08-16 02:56: Train Epoch 1: 640/1642 Loss: 12.834483
