Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial3_20260816061807/run.log
2026-08-16 06:18: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial3_20260816061807
2026-08-16 06:18: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial3_20260816061807
2026-08-16 06:18: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial3_20260816061807
2026-08-16 06:18: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial3_20260816061807
2026-08-16 06:18: Train Epoch 1: 0/410 Loss: 16.664471
2026-08-16 06:18: Train Epoch 1: 0/410 Loss: 16.664471
2026-08-16 06:18: Train Epoch 1: 0/410 Loss: 16.664471
2026-08-16 06:18: Train Epoch 1: 0/410 Loss: 16.664471
2026-08-16 06:18: Train Epoch 1: 20/410 Loss: 16.747135
2026-08-16 06:18: Train Epoch 1: 20/410 Loss: 16.747135
2026-08-16 06:18: Train Epoch 1: 20/410 Loss: 16.747135
2026-08-16 06:18: Train Epoch 1: 20/410 Loss: 16.747135
2026-08-16 06:18: Train Epoch 1: 40/410 Loss: 16.364347
2026-08-16 06:18: Train Epoch 1: 40/410 Loss: 16.364347
2026-08-16 06:18: Train Epoch 1: 40/410 Loss: 16.364347
2026-08-16 06:18: Train Epoch 1: 40/410 Loss: 16.364347
2026-08-16 06:18: Train Epoch 1: 60/410 Loss: 16.779119
2026-08-16 06:18: Train Epoch 1: 60/410 Loss: 16.779119
2026-08-16 06:18: Train Epoch 1: 60/410 Loss: 16.779119
2026-08-16 06:18: Train Epoch 1: 60/410 Loss: 16.779119
2026-08-16 06:18: Train Epoch 1: 80/410 Loss: 16.921253
2026-08-16 06:18: Train Epoch 1: 80/410 Loss: 16.921253
2026-08-16 06:18: Train Epoch 1: 80/410 Loss: 16.921253
2026-08-16 06:18: Train Epoch 1: 80/410 Loss: 16.921253
2026-08-16 06:18: Train Epoch 1: 100/410 Loss: 16.797457
2026-08-16 06:18: Train Epoch 1: 100/410 Loss: 16.797457
2026-08-16 06:18: Train Epoch 1: 100/410 Loss: 16.797457
2026-08-16 06:18: Train Epoch 1: 100/410 Loss: 16.797457
2026-08-16 06:18: Train Epoch 1: 120/410 Loss: 16.996044
2026-08-16 06:18: Train Epoch 1: 120/410 Loss: 16.996044
2026-08-16 06:18: Train Epoch 1: 120/410 Loss: 16.996044
2026-08-16 06:18: Train Epoch 1: 120/410 Loss: 16.996044
2026-08-16 06:18: Train Epoch 1: 140/410 Loss: 16.860069
2026-08-16 06:18: Train Epoch 1: 140/410 Loss: 16.860069
2026-08-16 06:18: Train Epoch 1: 140/410 Loss: 16.860069
2026-08-16 06:18: Train Epoch 1: 140/410 Loss: 16.860069
2026-08-16 06:18: Train Epoch 1: 160/410 Loss: 17.147837
2026-08-16 06:18: Train Epoch 1: 160/410 Loss: 17.147837
2026-08-16 06:18: Train Epoch 1: 160/410 Loss: 17.147837
2026-08-16 06:18: Train Epoch 1: 160/410 Loss: 17.147837
2026-08-16 06:18: Train Epoch 1: 180/410 Loss: 17.136580
2026-08-16 06:18: Train Epoch 1: 180/410 Loss: 17.136580
2026-08-16 06:18: Train Epoch 1: 180/410 Loss: 17.136580
2026-08-16 06:18: Train Epoch 1: 180/410 Loss: 17.136580
2026-08-16 06:18: Train Epoch 1: 200/410 Loss: 16.407383
2026-08-16 06:18: Train Epoch 1: 200/410 Loss: 16.407383
2026-08-16 06:18: Train Epoch 1: 200/410 Loss: 16.407383
2026-08-16 06:18: Train Epoch 1: 200/410 Loss: 16.407383
2026-08-16 06:18: Train Epoch 1: 220/410 Loss: 17.041786
2026-08-16 06:18: Train Epoch 1: 220/410 Loss: 17.041786
2026-08-16 06:18: Train Epoch 1: 220/410 Loss: 17.041786
2026-08-16 06:18: Train Epoch 1: 220/410 Loss: 17.041786
2026-08-16 06:18: Train Epoch 1: 240/410 Loss: 16.532299
2026-08-16 06:18: Train Epoch 1: 240/410 Loss: 16.532299
2026-08-16 06:18: Train Epoch 1: 240/410 Loss: 16.532299
2026-08-16 06:18: Train Epoch 1: 240/410 Loss: 16.532299
2026-08-16 06:18: Train Epoch 1: 260/410 Loss: 16.222916
2026-08-16 06:18: Train Epoch 1: 260/410 Loss: 16.222916
2026-08-16 06:18: Train Epoch 1: 260/410 Loss: 16.222916
2026-08-16 06:18: Train Epoch 1: 260/410 Loss: 16.222916
2026-08-16 06:18: Train Epoch 1: 280/410 Loss: 17.032810
2026-08-16 06:18: Train Epoch 1: 280/410 Loss: 17.032810
2026-08-16 06:18: Train Epoch 1: 280/410 Loss: 17.032810
2026-08-16 06:18: Train Epoch 1: 280/410 Loss: 17.032810
2026-08-16 06:18: Train Epoch 1: 300/410 Loss: 15.957919
2026-08-16 06:18: Train Epoch 1: 300/410 Loss: 15.957919
2026-08-16 06:18: Train Epoch 1: 300/410 Loss: 15.957919
2026-08-16 06:18: Train Epoch 1: 300/410 Loss: 15.957919
2026-08-16 06:18: Train Epoch 1: 320/410 Loss: 15.470370
2026-08-16 06:18: Train Epoch 1: 320/410 Loss: 15.470370
2026-08-16 06:18: Train Epoch 1: 320/410 Loss: 15.470370
2026-08-16 06:18: Train Epoch 1: 320/410 Loss: 15.470370
2026-08-16 06:18: Train Epoch 1: 340/410 Loss: 14.665646
2026-08-16 06:18: Train Epoch 1: 340/410 Loss: 14.665646
2026-08-16 06:18: Train Epoch 1: 340/410 Loss: 14.665646
2026-08-16 06:18: Train Epoch 1: 340/410 Loss: 14.665646
2026-08-16 06:18: Train Epoch 1: 360/410 Loss: 15.391638
2026-08-16 06:18: Train Epoch 1: 360/410 Loss: 15.391638
2026-08-16 06:18: Train Epoch 1: 360/410 Loss: 15.391638
2026-08-16 06:18: Train Epoch 1: 360/410 Loss: 15.391638
2026-08-16 06:18: Train Epoch 1: 380/410 Loss: 14.909670
2026-08-16 06:18: Train Epoch 1: 380/410 Loss: 14.909670
2026-08-16 06:18: Train Epoch 1: 380/410 Loss: 14.909670
2026-08-16 06:18: Train Epoch 1: 380/410 Loss: 14.909670
2026-08-16 06:19: Train Epoch 1: 400/410 Loss: 15.416335
2026-08-16 06:19: Train Epoch 1: 400/410 Loss: 15.416335
2026-08-16 06:19: Train Epoch 1: 400/410 Loss: 15.416335
2026-08-16 06:19: Train Epoch 1: 400/410 Loss: 15.416335
2026-08-16 06:19: **********Train Epoch 1: averaged Loss: 16.304272, tf_ratio: 1.000000
2026-08-16 06:19: **********Train Epoch 1: averaged Loss: 16.304272, tf_ratio: 1.000000
2026-08-16 06:19: **********Train Epoch 1: averaged Loss: 16.304272, tf_ratio: 1.000000
2026-08-16 06:19: **********Train Epoch 1: averaged Loss: 16.304272, tf_ratio: 1.000000
2026-08-16 06:19: **********Val Epoch 1: average Loss: 14.954941
2026-08-16 06:19: **********Val Epoch 1: average Loss: 14.954941
2026-08-16 06:19: **********Val Epoch 1: average Loss: 14.954941
2026-08-16 06:19: **********Val Epoch 1: average Loss: 14.954941
2026-08-16 06:19: *********************************Current best model saved!
2026-08-16 06:19: *********************************Current best model saved!
2026-08-16 06:19: *********************************Current best model saved!
2026-08-16 06:19: *********************************Current best model saved!
2026-08-16 06:19: Train Epoch 2: 0/410 Loss: 15.036655
2026-08-16 06:19: Train Epoch 2: 0/410 Loss: 15.036655
2026-08-16 06:19: Train Epoch 2: 0/410 Loss: 15.036655
2026-08-16 06:19: Train Epoch 2: 0/410 Loss: 15.036655
2026-08-16 06:19: Train Epoch 2: 20/410 Loss: 14.583446
2026-08-16 06:19: Train Epoch 2: 20/410 Loss: 14.583446
2026-08-16 06:19: Train Epoch 2: 20/410 Loss: 14.583446
2026-08-16 06:19: Train Epoch 2: 20/410 Loss: 14.583446
2026-08-16 06:19: Train Epoch 2: 40/410 Loss: 14.955641
2026-08-16 06:19: Train Epoch 2: 40/410 Loss: 14.955641
2026-08-16 06:19: Train Epoch 2: 40/410 Loss: 14.955641
2026-08-16 06:19: Train Epoch 2: 40/410 Loss: 14.955641
2026-08-16 06:19: Train Epoch 2: 60/410 Loss: 14.145081
2026-08-16 06:19: Train Epoch 2: 60/410 Loss: 14.145081
2026-08-16 06:19: Train Epoch 2: 60/410 Loss: 14.145081
2026-08-16 06:19: Train Epoch 2: 60/410 Loss: 14.145081
2026-08-16 06:19: Train Epoch 2: 80/410 Loss: 14.539118
2026-08-16 06:19: Train Epoch 2: 80/410 Loss: 14.539118
2026-08-16 06:19: Train Epoch 2: 80/410 Loss: 14.539118
2026-08-16 06:19: Train Epoch 2: 80/410 Loss: 14.539118
2026-08-16 06:19: Train Epoch 2: 100/410 Loss: 15.004970
2026-08-16 06:19: Train Epoch 2: 100/410 Loss: 15.004970
2026-08-16 06:19: Train Epoch 2: 100/410 Loss: 15.004970
2026-08-16 06:19: Train Epoch 2: 100/410 Loss: 15.004970
2026-08-16 06:19: Train Epoch 2: 120/410 Loss: 13.810512
2026-08-16 06:19: Train Epoch 2: 120/410 Loss: 13.810512
