Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial4_20260816070905/run.log
2026-08-16 07:09: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial4_20260816070905
2026-08-16 07:09: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial4_20260816070905
2026-08-16 07:09: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial4_20260816070905
2026-08-16 07:09: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial4_20260816070905
2026-08-16 07:09: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial4_20260816070905
2026-08-16 07:09: Train Epoch 1: 0/821 Loss: 15.618384
2026-08-16 07:09: Train Epoch 1: 0/821 Loss: 15.618384
2026-08-16 07:09: Train Epoch 1: 0/821 Loss: 15.618384
2026-08-16 07:09: Train Epoch 1: 0/821 Loss: 15.618384
2026-08-16 07:09: Train Epoch 1: 0/821 Loss: 15.618384
2026-08-16 07:09: Train Epoch 1: 20/821 Loss: 5.330323
2026-08-16 07:09: Train Epoch 1: 20/821 Loss: 5.330323
2026-08-16 07:09: Train Epoch 1: 20/821 Loss: 5.330323
2026-08-16 07:09: Train Epoch 1: 20/821 Loss: 5.330323
2026-08-16 07:09: Train Epoch 1: 20/821 Loss: 5.330323
2026-08-16 07:09: Train Epoch 1: 40/821 Loss: 4.453304
2026-08-16 07:09: Train Epoch 1: 40/821 Loss: 4.453304
2026-08-16 07:09: Train Epoch 1: 40/821 Loss: 4.453304
2026-08-16 07:09: Train Epoch 1: 40/821 Loss: 4.453304
2026-08-16 07:09: Train Epoch 1: 40/821 Loss: 4.453304
2026-08-16 07:09: Train Epoch 1: 60/821 Loss: 4.513463
2026-08-16 07:09: Train Epoch 1: 60/821 Loss: 4.513463
2026-08-16 07:09: Train Epoch 1: 60/821 Loss: 4.513463
2026-08-16 07:09: Train Epoch 1: 60/821 Loss: 4.513463
2026-08-16 07:09: Train Epoch 1: 60/821 Loss: 4.513463
2026-08-16 07:09: Train Epoch 1: 80/821 Loss: 4.518369
2026-08-16 07:09: Train Epoch 1: 80/821 Loss: 4.518369
2026-08-16 07:09: Train Epoch 1: 80/821 Loss: 4.518369
2026-08-16 07:09: Train Epoch 1: 80/821 Loss: 4.518369
2026-08-16 07:09: Train Epoch 1: 80/821 Loss: 4.518369
2026-08-16 07:09: Train Epoch 1: 100/821 Loss: 4.140296
2026-08-16 07:09: Train Epoch 1: 100/821 Loss: 4.140296
2026-08-16 07:09: Train Epoch 1: 100/821 Loss: 4.140296
2026-08-16 07:09: Train Epoch 1: 100/821 Loss: 4.140296
2026-08-16 07:09: Train Epoch 1: 100/821 Loss: 4.140296
2026-08-16 07:09: Train Epoch 1: 120/821 Loss: 3.841089
2026-08-16 07:09: Train Epoch 1: 120/821 Loss: 3.841089
2026-08-16 07:09: Train Epoch 1: 120/821 Loss: 3.841089
2026-08-16 07:09: Train Epoch 1: 120/821 Loss: 3.841089
2026-08-16 07:09: Train Epoch 1: 120/821 Loss: 3.841089
2026-08-16 07:09: Train Epoch 1: 140/821 Loss: 3.721029
2026-08-16 07:09: Train Epoch 1: 140/821 Loss: 3.721029
2026-08-16 07:09: Train Epoch 1: 140/821 Loss: 3.721029
2026-08-16 07:09: Train Epoch 1: 140/821 Loss: 3.721029
2026-08-16 07:09: Train Epoch 1: 140/821 Loss: 3.721029
2026-08-16 07:09: Train Epoch 1: 160/821 Loss: 3.579213
2026-08-16 07:09: Train Epoch 1: 160/821 Loss: 3.579213
2026-08-16 07:09: Train Epoch 1: 160/821 Loss: 3.579213
2026-08-16 07:09: Train Epoch 1: 160/821 Loss: 3.579213
2026-08-16 07:09: Train Epoch 1: 160/821 Loss: 3.579213
2026-08-16 07:09: Train Epoch 1: 180/821 Loss: 3.512668
2026-08-16 07:09: Train Epoch 1: 180/821 Loss: 3.512668
2026-08-16 07:09: Train Epoch 1: 180/821 Loss: 3.512668
2026-08-16 07:09: Train Epoch 1: 180/821 Loss: 3.512668
2026-08-16 07:09: Train Epoch 1: 180/821 Loss: 3.512668
2026-08-16 07:09: Train Epoch 1: 200/821 Loss: 3.300842
2026-08-16 07:09: Train Epoch 1: 200/821 Loss: 3.300842
2026-08-16 07:09: Train Epoch 1: 200/821 Loss: 3.300842
