Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial5_20260816074215/run.log
2026-08-16 07:42: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial5_20260816074215
2026-08-16 07:42: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial5_20260816074215
2026-08-16 07:42: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial5_20260816074215
2026-08-16 07:42: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial5_20260816074215
2026-08-16 07:42: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial5_20260816074215
2026-08-16 07:42: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial5_20260816074215
2026-08-16 07:42: Train Epoch 1: 0/1642 Loss: 16.854641
2026-08-16 07:42: Train Epoch 1: 0/1642 Loss: 16.854641
2026-08-16 07:42: Train Epoch 1: 0/1642 Loss: 16.854641
2026-08-16 07:42: Train Epoch 1: 0/1642 Loss: 16.854641
2026-08-16 07:42: Train Epoch 1: 0/1642 Loss: 16.854641
2026-08-16 07:42: Train Epoch 1: 0/1642 Loss: 16.854641
2026-08-16 07:42: Train Epoch 1: 20/1642 Loss: 16.738159
2026-08-16 07:42: Train Epoch 1: 20/1642 Loss: 16.738159
2026-08-16 07:42: Train Epoch 1: 20/1642 Loss: 16.738159
2026-08-16 07:42: Train Epoch 1: 20/1642 Loss: 16.738159
2026-08-16 07:42: Train Epoch 1: 20/1642 Loss: 16.738159
2026-08-16 07:42: Train Epoch 1: 20/1642 Loss: 16.738159
2026-08-16 07:42: Train Epoch 1: 40/1642 Loss: 12.721095
2026-08-16 07:42: Train Epoch 1: 40/1642 Loss: 12.721095
2026-08-16 07:42: Train Epoch 1: 40/1642 Loss: 12.721095
2026-08-16 07:42: Train Epoch 1: 40/1642 Loss: 12.721095
2026-08-16 07:42: Train Epoch 1: 40/1642 Loss: 12.721095
2026-08-16 07:42: Train Epoch 1: 40/1642 Loss: 12.721095
2026-08-16 07:42: Train Epoch 1: 60/1642 Loss: 12.642355
2026-08-16 07:42: Train Epoch 1: 60/1642 Loss: 12.642355
2026-08-16 07:42: Train Epoch 1: 60/1642 Loss: 12.642355
2026-08-16 07:42: Train Epoch 1: 60/1642 Loss: 12.642355
2026-08-16 07:42: Train Epoch 1: 60/1642 Loss: 12.642355
2026-08-16 07:42: Train Epoch 1: 60/1642 Loss: 12.642355
2026-08-16 07:42: Train Epoch 1: 80/1642 Loss: 11.476576
2026-08-16 07:42: Train Epoch 1: 80/1642 Loss: 11.476576
2026-08-16 07:42: Train Epoch 1: 80/1642 Loss: 11.476576
2026-08-16 07:42: Train Epoch 1: 80/1642 Loss: 11.476576
2026-08-16 07:42: Train Epoch 1: 80/1642 Loss: 11.476576
2026-08-16 07:42: Train Epoch 1: 80/1642 Loss: 11.476576
2026-08-16 07:42: Train Epoch 1: 100/1642 Loss: 9.616963
