Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial7_20260816100410/run.log
2026-08-16 10:04: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial7_20260816100410
2026-08-16 10:04: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial7_20260816100410
2026-08-16 10:04: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial7_20260816100410
2026-08-16 10:04: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial7_20260816100410
2026-08-16 10:04: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial7_20260816100410
2026-08-16 10:04: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial7_20260816100410
2026-08-16 10:04: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial7_20260816100410
2026-08-16 10:04: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial7_20260816100410
2026-08-16 10:04: Train Epoch 1: 0/410 Loss: 16.844788
2026-08-16 10:04: Train Epoch 1: 0/410 Loss: 16.844788
2026-08-16 10:04: Train Epoch 1: 0/410 Loss: 16.844788
2026-08-16 10:04: Train Epoch 1: 0/410 Loss: 16.844788
2026-08-16 10:04: Train Epoch 1: 0/410 Loss: 16.844788
2026-08-16 10:04: Train Epoch 1: 0/410 Loss: 16.844788
2026-08-16 10:04: Train Epoch 1: 0/410 Loss: 16.844788
2026-08-16 10:04: Train Epoch 1: 0/410 Loss: 16.844788
2026-08-16 10:04: Train Epoch 1: 20/410 Loss: 6.244449
2026-08-16 10:04: Train Epoch 1: 20/410 Loss: 6.244449
2026-08-16 10:04: Train Epoch 1: 20/410 Loss: 6.244449
2026-08-16 10:04: Train Epoch 1: 20/410 Loss: 6.244449
2026-08-16 10:04: Train Epoch 1: 20/410 Loss: 6.244449
2026-08-16 10:04: Train Epoch 1: 20/410 Loss: 6.244449
2026-08-16 10:04: Train Epoch 1: 20/410 Loss: 6.244449
2026-08-16 10:04: Train Epoch 1: 20/410 Loss: 6.244449
2026-08-16 10:04: Train Epoch 1: 40/410 Loss: 5.245349
2026-08-16 10:04: Train Epoch 1: 40/410 Loss: 5.245349
2026-08-16 10:04: Train Epoch 1: 40/410 Loss: 5.245349
2026-08-16 10:04: Train Epoch 1: 40/410 Loss: 5.245349
2026-08-16 10:04: Train Epoch 1: 40/410 Loss: 5.245349
2026-08-16 10:04: Train Epoch 1: 40/410 Loss: 5.245349
2026-08-16 10:04: Train Epoch 1: 40/410 Loss: 5.245349
2026-08-16 10:04: Train Epoch 1: 40/410 Loss: 5.245349
2026-08-16 10:04: Train Epoch 1: 60/410 Loss: 5.040865
2026-08-16 10:04: Train Epoch 1: 60/410 Loss: 5.040865
2026-08-16 10:04: Train Epoch 1: 60/410 Loss: 5.040865
2026-08-16 10:04: Train Epoch 1: 60/410 Loss: 5.040865
2026-08-16 10:04: Train Epoch 1: 60/410 Loss: 5.040865
2026-08-16 10:04: Train Epoch 1: 60/410 Loss: 5.040865
2026-08-16 10:04: Train Epoch 1: 60/410 Loss: 5.040865
2026-08-16 10:04: Train Epoch 1: 60/410 Loss: 5.040865
2026-08-16 10:04: Train Epoch 1: 80/410 Loss: 4.711390
2026-08-16 10:04: Train Epoch 1: 80/410 Loss: 4.711390
2026-08-16 10:04: Train Epoch 1: 80/410 Loss: 4.711390
2026-08-16 10:04: Train Epoch 1: 80/410 Loss: 4.711390
