Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial16_20260816234923/run.log
2026-08-16 23:49: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial16_20260816234923
2026-08-16 23:49: Train Epoch 1: 0/410 Loss: 16.299072
2026-08-16 23:49: Train Epoch 1: 20/410 Loss: 6.588763
2026-08-16 23:49: Train Epoch 1: 40/410 Loss: 5.488388
2026-08-16 23:49: Train Epoch 1: 60/410 Loss: 5.412656
2026-08-16 23:49: Train Epoch 1: 80/410 Loss: 5.314138
2026-08-16 23:49: Train Epoch 1: 100/410 Loss: 5.539127
2026-08-16 23:49: Train Epoch 1: 120/410 Loss: 5.181297
2026-08-16 23:49: Train Epoch 1: 140/410 Loss: 4.498397
2026-08-16 23:49: Train Epoch 1: 160/410 Loss: 4.381960
2026-08-16 23:49: Train Epoch 1: 180/410 Loss: 4.610104
2026-08-16 23:49: Train Epoch 1: 200/410 Loss: 4.440154
2026-08-16 23:49: Train Epoch 1: 220/410 Loss: 4.456286
2026-08-16 23:49: Train Epoch 1: 240/410 Loss: 4.549951
2026-08-16 23:49: Train Epoch 1: 260/410 Loss: 4.388531
2026-08-16 23:49: Train Epoch 1: 280/410 Loss: 4.503502
2026-08-16 23:49: Train Epoch 1: 300/410 Loss: 4.549669
2026-08-16 23:49: Train Epoch 1: 320/410 Loss: 4.484266
2026-08-16 23:49: Train Epoch 1: 340/410 Loss: 4.261948
2026-08-16 23:49: Train Epoch 1: 360/410 Loss: 4.349172
2026-08-16 23:49: Train Epoch 1: 380/410 Loss: 4.297410
2026-08-16 23:49: Train Epoch 1: 400/410 Loss: 4.461293
2026-08-16 23:49: **********Train Epoch 1: averaged Loss: 4.935014, tf_ratio: 1.000000
2026-08-16 23:49: **********Val Epoch 1: average Loss: 4.163989
2026-08-16 23:49: *********************************Current best model saved!
2026-08-16 23:49: Train Epoch 2: 0/410 Loss: 4.224148
2026-08-16 23:50: Train Epoch 2: 20/410 Loss: 4.347181
2026-08-16 23:50: Train Epoch 2: 40/410 Loss: 4.216446
2026-08-16 23:50: Train Epoch 2: 60/410 Loss: 4.415298
2026-08-16 23:50: Train Epoch 2: 80/410 Loss: 4.211565
2026-08-16 23:50: Train Epoch 2: 100/410 Loss: 4.243834
2026-08-16 23:50: Train Epoch 2: 120/410 Loss: 4.466816
2026-08-16 23:50: Train Epoch 2: 140/410 Loss: 4.121997
2026-08-16 23:50: Train Epoch 2: 160/410 Loss: 4.375015
2026-08-16 23:50: Train Epoch 2: 180/410 Loss: 4.206574
2026-08-16 23:50: Train Epoch 2: 200/410 Loss: 4.102773
2026-08-16 23:50: Train Epoch 2: 220/410 Loss: 4.291889
2026-08-16 23:50: Train Epoch 2: 240/410 Loss: 4.368638
2026-08-16 23:50: Train Epoch 2: 260/410 Loss: 4.317058
2026-08-16 23:50: Train Epoch 2: 280/410 Loss: 4.399739
2026-08-16 23:50: Train Epoch 2: 300/410 Loss: 4.609949
2026-08-16 23:50: Train Epoch 2: 320/410 Loss: 5.349295
2026-08-16 23:50: Train Epoch 2: 340/410 Loss: 5.245655
2026-08-16 23:50: Train Epoch 2: 360/410 Loss: 5.217407
2026-08-16 23:50: Train Epoch 2: 380/410 Loss: 5.353718
2026-08-16 23:50: Train Epoch 2: 400/410 Loss: 5.126047
2026-08-16 23:50: **********Train Epoch 2: averaged Loss: 4.537999, tf_ratio: 1.000000
2026-08-16 23:50: **********Val Epoch 2: average Loss: 4.877528
2026-08-16 23:50: Train Epoch 3: 0/410 Loss: 4.951828
2026-08-16 23:50: Train Epoch 3: 20/410 Loss: 4.791696
2026-08-16 23:50: Train Epoch 3: 40/410 Loss: 4.901909
2026-08-16 23:50: Train Epoch 3: 60/410 Loss: 4.828000
2026-08-16 23:50: Train Epoch 3: 80/410 Loss: 4.929893
2026-08-16 23:50: Train Epoch 3: 100/410 Loss: 4.639497
2026-08-16 23:50: Train Epoch 3: 120/410 Loss: 4.805836
2026-08-16 23:50: Train Epoch 3: 140/410 Loss: 4.770442
2026-08-16 23:50: Train Epoch 3: 160/410 Loss: 4.729049
2026-08-16 23:50: Train Epoch 3: 180/410 Loss: 4.542288
2026-08-16 23:50: Train Epoch 3: 200/410 Loss: 4.534881
2026-08-16 23:50: Train Epoch 3: 220/410 Loss: 4.649753
2026-08-16 23:50: Train Epoch 3: 240/410 Loss: 4.528206
2026-08-16 23:50: Train Epoch 3: 260/410 Loss: 4.463212
2026-08-16 23:50: Train Epoch 3: 280/410 Loss: 4.679516
2026-08-16 23:50: Train Epoch 3: 300/410 Loss: 4.697697
2026-08-16 23:50: Train Epoch 3: 320/410 Loss: 4.864058
2026-08-16 23:50: Train Epoch 3: 340/410 Loss: 5.004135
2026-08-16 23:51: Train Epoch 3: 360/410 Loss: 5.280893
2026-08-16 23:51: Train Epoch 3: 380/410 Loss: 5.440000
2026-08-16 23:51: Train Epoch 3: 400/410 Loss: 5.135883
2026-08-16 23:51: **********Train Epoch 3: averaged Loss: 4.862255, tf_ratio: 1.000000
2026-08-16 23:51: **********Val Epoch 3: average Loss: 4.960668
2026-08-16 23:51: Train Epoch 4: 0/410 Loss: 4.879453
2026-08-16 23:51: Train Epoch 4: 20/410 Loss: 5.021872
2026-08-16 23:51: Train Epoch 4: 40/410 Loss: 5.077938
2026-08-16 23:51: Train Epoch 4: 60/410 Loss: 4.896591
2026-08-16 23:51: Train Epoch 4: 80/410 Loss: 4.903625
2026-08-16 23:51: Train Epoch 4: 100/410 Loss: 4.826454
2026-08-16 23:51: Train Epoch 4: 120/410 Loss: 5.251515
2026-08-16 23:51: Train Epoch 4: 140/410 Loss: 5.443569
2026-08-16 23:51: Train Epoch 4: 160/410 Loss: 5.113160
2026-08-16 23:51: Train Epoch 4: 180/410 Loss: 5.196638
2026-08-16 23:51: Train Epoch 4: 200/410 Loss: 5.135468
2026-08-16 23:51: Train Epoch 4: 220/410 Loss: 5.269826
2026-08-16 23:51: Train Epoch 4: 240/410 Loss: 5.533611
2026-08-16 23:51: Train Epoch 4: 260/410 Loss: 5.177172
2026-08-16 23:51: Train Epoch 4: 280/410 Loss: 5.336116
2026-08-16 23:51: Train Epoch 4: 300/410 Loss: 5.104936
2026-08-16 23:51: Train Epoch 4: 320/410 Loss: 5.291139
2026-08-16 23:51: Train Epoch 4: 340/410 Loss: 5.234199
2026-08-16 23:51: Train Epoch 4: 360/410 Loss: 5.094829
2026-08-16 23:51: Train Epoch 4: 380/410 Loss: 5.159191
2026-08-16 23:51: Train Epoch 4: 400/410 Loss: 5.152688
2026-08-16 23:51: **********Train Epoch 4: averaged Loss: 5.164849, tf_ratio: 1.000000
2026-08-16 23:51: **********Val Epoch 4: average Loss: 4.976624
2026-08-16 23:51: Train Epoch 5: 0/410 Loss: 5.174449
2026-08-16 23:51: Train Epoch 5: 20/410 Loss: 5.071218
2026-08-16 23:51: Train Epoch 5: 40/410 Loss: 4.953433
2026-08-16 23:51: Train Epoch 5: 60/410 Loss: 5.006563
2026-08-16 23:51: Train Epoch 5: 80/410 Loss: 5.148879
2026-08-16 23:51: Train Epoch 5: 100/410 Loss: 4.974468
2026-08-16 23:51: Train Epoch 5: 120/410 Loss: 5.021299
2026-08-16 23:51: Train Epoch 5: 140/410 Loss: 5.140553
2026-08-16 23:51: Train Epoch 5: 160/410 Loss: 4.828927
2026-08-16 23:51: Train Epoch 5: 180/410 Loss: 4.895968
2026-08-16 23:51: Train Epoch 5: 200/410 Loss: 4.991839
2026-08-16 23:51: Train Epoch 5: 220/410 Loss: 4.813171
2026-08-16 23:51: Train Epoch 5: 240/410 Loss: 4.935494
2026-08-16 23:51: Train Epoch 5: 260/410 Loss: 4.763996
2026-08-16 23:52: Train Epoch 5: 280/410 Loss: 4.918066
2026-08-16 23:52: Train Epoch 5: 300/410 Loss: 4.769207
2026-08-16 23:52: Train Epoch 5: 320/410 Loss: 4.891202
2026-08-16 23:52: Train Epoch 5: 340/410 Loss: 4.816872
2026-08-16 23:52: Train Epoch 5: 360/410 Loss: 4.847148
2026-08-16 23:52: Train Epoch 5: 380/410 Loss: 4.800751
2026-08-16 23:52: Train Epoch 5: 400/410 Loss: 4.809371
2026-08-16 23:52: **********Train Epoch 5: averaged Loss: 4.916967, tf_ratio: 1.000000
2026-08-16 23:52: **********Val Epoch 5: average Loss: 4.750854
