Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial21_20260817014111/run.log
2026-08-17 01:41: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial21_20260817014111
2026-08-17 01:41: Train Epoch 1: 0/821 Loss: 16.821154
2026-08-17 01:41: Train Epoch 1: 20/821 Loss: 16.355862
2026-08-17 01:41: Train Epoch 1: 40/821 Loss: 14.247161
2026-08-17 01:41: Train Epoch 1: 60/821 Loss: 12.582596
2026-08-17 01:41: Train Epoch 1: 80/821 Loss: 10.745902
2026-08-17 01:41: Train Epoch 1: 100/821 Loss: 9.540039
2026-08-17 01:41: Train Epoch 1: 120/821 Loss: 8.916307
2026-08-17 01:41: Train Epoch 1: 140/821 Loss: 8.221221
2026-08-17 01:41: Train Epoch 1: 160/821 Loss: 7.680454
2026-08-17 01:41: Train Epoch 1: 180/821 Loss: 6.818302
2026-08-17 01:41: Train Epoch 1: 200/821 Loss: 5.911327
2026-08-17 01:41: Train Epoch 1: 220/821 Loss: 5.902161
2026-08-17 01:41: Train Epoch 1: 240/821 Loss: 5.592151
2026-08-17 01:41: Train Epoch 1: 260/821 Loss: 5.428886
2026-08-17 01:41: Train Epoch 1: 280/821 Loss: 5.549755
2026-08-17 01:41: Train Epoch 1: 300/821 Loss: 5.228428
2026-08-17 01:41: Train Epoch 1: 320/821 Loss: 5.302829
2026-08-17 01:41: Train Epoch 1: 340/821 Loss: 5.267344
2026-08-17 01:41: Train Epoch 1: 360/821 Loss: 5.562046
2026-08-17 01:41: Train Epoch 1: 380/821 Loss: 5.271549
2026-08-17 01:41: Train Epoch 1: 400/821 Loss: 4.863966
2026-08-17 01:42: Train Epoch 1: 420/821 Loss: 5.305372
2026-08-17 01:42: Train Epoch 1: 440/821 Loss: 5.399384
2026-08-17 01:42: Train Epoch 1: 460/821 Loss: 4.849154
2026-08-17 01:42: Train Epoch 1: 480/821 Loss: 4.715532
2026-08-17 01:42: Train Epoch 1: 500/821 Loss: 4.593034
2026-08-17 01:42: Train Epoch 1: 520/821 Loss: 4.396913
2026-08-17 01:42: Train Epoch 1: 540/821 Loss: 4.302989
2026-08-17 01:42: Train Epoch 1: 560/821 Loss: 4.221278
2026-08-17 01:42: Train Epoch 1: 580/821 Loss: 4.082011
