Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial22_20260817014925/run.log
2026-08-17 01:49: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial22_20260817014925
2026-08-17 01:49: Train Epoch 1: 0/410 Loss: 17.021738
2026-08-17 01:49: Train Epoch 1: 20/410 Loss: 16.237347
2026-08-17 01:49: Train Epoch 1: 40/410 Loss: 13.588821
2026-08-17 01:49: Train Epoch 1: 60/410 Loss: 12.091250
2026-08-17 01:49: Train Epoch 1: 80/410 Loss: 9.425407
2026-08-17 01:49: Train Epoch 1: 100/410 Loss: 8.142290
2026-08-17 01:49: Train Epoch 1: 120/410 Loss: 7.455538
2026-08-17 01:49: Train Epoch 1: 140/410 Loss: 6.215480
2026-08-17 01:49: Train Epoch 1: 160/410 Loss: 5.812485
2026-08-17 01:49: Train Epoch 1: 180/410 Loss: 5.639477
2026-08-17 01:49: Train Epoch 1: 200/410 Loss: 5.627847
2026-08-17 01:49: Train Epoch 1: 220/410 Loss: 5.635767
2026-08-17 01:50: Train Epoch 1: 240/410 Loss: 5.481635
2026-08-17 01:50: Train Epoch 1: 260/410 Loss: 5.573944
2026-08-17 01:50: Train Epoch 1: 280/410 Loss: 5.414613
2026-08-17 01:50: Train Epoch 1: 300/410 Loss: 5.421144
2026-08-17 01:50: Train Epoch 1: 320/410 Loss: 5.244202
2026-08-17 01:50: Train Epoch 1: 340/410 Loss: 5.368305
2026-08-17 01:50: Train Epoch 1: 360/410 Loss: 4.901229
2026-08-17 01:50: Train Epoch 1: 380/410 Loss: 4.624578
2026-08-17 01:50: Train Epoch 1: 400/410 Loss: 4.486998
2026-08-17 01:50: **********Train Epoch 1: averaged Loss: 7.308356, tf_ratio: 1.000000
2026-08-17 01:50: **********Val Epoch 1: average Loss: 4.405282
2026-08-17 01:50: *********************************Current best model saved!
2026-08-17 01:50: Train Epoch 2: 0/410 Loss: 4.450869
2026-08-17 01:50: Train Epoch 2: 20/410 Loss: 4.188155
2026-08-17 01:50: Train Epoch 2: 40/410 Loss: 4.446589
2026-08-17 01:50: Train Epoch 2: 60/410 Loss: 4.415737
2026-08-17 01:50: Train Epoch 2: 80/410 Loss: 4.257379
2026-08-17 01:50: Train Epoch 2: 100/410 Loss: 4.289093
2026-08-17 01:50: Train Epoch 2: 120/410 Loss: 4.068653
2026-08-17 01:50: Train Epoch 2: 140/410 Loss: 4.150677
2026-08-17 01:50: Train Epoch 2: 160/410 Loss: 4.070728
2026-08-17 01:50: Train Epoch 2: 180/410 Loss: 4.056563
2026-08-17 01:50: Train Epoch 2: 200/410 Loss: 4.006372
2026-08-17 01:51: Train Epoch 2: 220/410 Loss: 4.172004
2026-08-17 01:51: Train Epoch 2: 240/410 Loss: 4.040059
2026-08-17 01:51: Train Epoch 2: 260/410 Loss: 4.088508
2026-08-17 01:51: Train Epoch 2: 280/410 Loss: 4.005702
2026-08-17 01:51: Train Epoch 2: 300/410 Loss: 3.862782
2026-08-17 01:51: Train Epoch 2: 320/410 Loss: 4.023919
2026-08-17 01:51: Train Epoch 2: 340/410 Loss: 3.862596
