Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial25_20260817031949/run.log
2026-08-17 03:19: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial25_20260817031949
2026-08-17 03:19: Train Epoch 1: 0/821 Loss: 16.776819
2026-08-17 03:19: Train Epoch 1: 20/821 Loss: 6.612810
2026-08-17 03:19: Train Epoch 1: 40/821 Loss: 5.311977
2026-08-17 03:19: Train Epoch 1: 60/821 Loss: 4.907086
2026-08-17 03:19: Train Epoch 1: 80/821 Loss: 4.685086
2026-08-17 03:19: Train Epoch 1: 100/821 Loss: 5.181869
2026-08-17 03:20: Train Epoch 1: 120/821 Loss: 4.490135
2026-08-17 03:20: Train Epoch 1: 140/821 Loss: 4.592798
2026-08-17 03:20: Train Epoch 1: 160/821 Loss: 4.275465
2026-08-17 03:20: Train Epoch 1: 180/821 Loss: 4.108276
2026-08-17 03:20: Train Epoch 1: 200/821 Loss: 4.022555
2026-08-17 03:20: Train Epoch 1: 220/821 Loss: 3.847807
2026-08-17 03:20: Train Epoch 1: 240/821 Loss: 3.648598
2026-08-17 03:20: Train Epoch 1: 260/821 Loss: 3.232096
2026-08-17 03:20: Train Epoch 1: 280/821 Loss: 3.331630
2026-08-17 03:20: Train Epoch 1: 300/821 Loss: 3.166770
2026-08-17 03:20: Train Epoch 1: 320/821 Loss: 2.890418
2026-08-17 03:20: Train Epoch 1: 340/821 Loss: 2.695585
2026-08-17 03:20: Train Epoch 1: 360/821 Loss: 2.743411
2026-08-17 03:20: Train Epoch 1: 380/821 Loss: 2.614471
2026-08-17 03:20: Train Epoch 1: 400/821 Loss: 2.496461
2026-08-17 03:20: Train Epoch 1: 420/821 Loss: 2.533405
2026-08-17 03:20: Train Epoch 1: 440/821 Loss: 2.398731
2026-08-17 03:20: Train Epoch 1: 460/821 Loss: 2.487764
2026-08-17 03:20: Train Epoch 1: 480/821 Loss: 2.447211
2026-08-17 03:20: Train Epoch 1: 500/821 Loss: 2.456074
2026-08-17 03:20: Train Epoch 1: 520/821 Loss: 2.415588
2026-08-17 03:20: Train Epoch 1: 540/821 Loss: 2.433518
2026-08-17 03:20: Train Epoch 1: 560/821 Loss: 2.523822
2026-08-17 03:20: Train Epoch 1: 580/821 Loss: 2.322150
2026-08-17 03:20: Train Epoch 1: 600/821 Loss: 2.159418
2026-08-17 03:20: Train Epoch 1: 620/821 Loss: 2.363028
2026-08-17 03:20: Train Epoch 1: 640/821 Loss: 2.286320
2026-08-17 03:20: Train Epoch 1: 660/821 Loss: 2.390913
2026-08-17 03:20: Train Epoch 1: 680/821 Loss: 2.242572
2026-08-17 03:20: Train Epoch 1: 700/821 Loss: 2.175769
2026-08-17 03:20: Train Epoch 1: 720/821 Loss: 2.216275
2026-08-17 03:20: Train Epoch 1: 740/821 Loss: 2.216095
2026-08-17 03:20: Train Epoch 1: 760/821 Loss: 2.167800
2026-08-17 03:20: Train Epoch 1: 780/821 Loss: 2.264293
2026-08-17 03:20: Train Epoch 1: 800/821 Loss: 2.098681
2026-08-17 03:20: Train Epoch 1: 820/821 Loss: 2.100852
2026-08-17 03:20: **********Train Epoch 1: averaged Loss: 3.271190, tf_ratio: 1.000000
2026-08-17 03:20: **********Val Epoch 1: average Loss: 2.131683
2026-08-17 03:20: *********************************Current best model saved!
2026-08-17 03:20: Train Epoch 2: 0/821 Loss: 2.176289
2026-08-17 03:21: Train Epoch 2: 20/821 Loss: 2.225210
2026-08-17 03:21: Train Epoch 2: 40/821 Loss: 2.127319
2026-08-17 03:21: Train Epoch 2: 60/821 Loss: 2.291581
2026-08-17 03:21: Train Epoch 2: 80/821 Loss: 2.038643
