Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial26_20260817035348/run.log
2026-08-17 03:53: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial26_20260817035348
2026-08-17 03:53: Train Epoch 1: 0/821 Loss: 16.776819
2026-08-17 03:53: Train Epoch 1: 20/821 Loss: 9.758532
2026-08-17 03:53: Train Epoch 1: 40/821 Loss: 5.370495
2026-08-17 03:53: Train Epoch 1: 60/821 Loss: 5.232835
2026-08-17 03:53: Train Epoch 1: 80/821 Loss: 5.030339
2026-08-17 03:53: Train Epoch 1: 100/821 Loss: 5.504425
2026-08-17 03:53: Train Epoch 1: 120/821 Loss: 4.866834
2026-08-17 03:54: Train Epoch 1: 140/821 Loss: 4.823637
2026-08-17 03:54: Train Epoch 1: 160/821 Loss: 4.617124
2026-08-17 03:54: Train Epoch 1: 180/821 Loss: 4.667150
2026-08-17 03:54: Train Epoch 1: 200/821 Loss: 4.608402
2026-08-17 03:54: Train Epoch 1: 220/821 Loss: 4.235433
2026-08-17 03:54: Train Epoch 1: 240/821 Loss: 4.149858
2026-08-17 03:54: Train Epoch 1: 260/821 Loss: 3.566443
2026-08-17 03:54: Train Epoch 1: 280/821 Loss: 3.730174
2026-08-17 03:54: Train Epoch 1: 300/821 Loss: 3.787878
2026-08-17 03:54: Train Epoch 1: 320/821 Loss: 3.470233
2026-08-17 03:54: Train Epoch 1: 340/821 Loss: 3.145611
2026-08-17 03:54: Train Epoch 1: 360/821 Loss: 3.225573
2026-08-17 03:54: Train Epoch 1: 380/821 Loss: 2.844055
2026-08-17 03:54: Train Epoch 1: 400/821 Loss: 2.725042
2026-08-17 03:54: Train Epoch 1: 420/821 Loss: 2.712364
2026-08-17 03:54: Train Epoch 1: 440/821 Loss: 2.603990
2026-08-17 03:54: Train Epoch 1: 460/821 Loss: 2.611520
2026-08-17 03:54: Train Epoch 1: 480/821 Loss: 2.510946
2026-08-17 03:54: Train Epoch 1: 500/821 Loss: 2.639166
2026-08-17 03:54: Train Epoch 1: 520/821 Loss: 2.638786
2026-08-17 03:54: Train Epoch 1: 540/821 Loss: 2.618371
2026-08-17 03:54: Train Epoch 1: 560/821 Loss: 2.697109
2026-08-17 03:54: Train Epoch 1: 580/821 Loss: 2.517018
2026-08-17 03:54: Train Epoch 1: 600/821 Loss: 2.261703
2026-08-17 03:54: Train Epoch 1: 620/821 Loss: 2.508279
2026-08-17 03:54: Train Epoch 1: 640/821 Loss: 2.420395
2026-08-17 03:54: Train Epoch 1: 660/821 Loss: 2.510907
2026-08-17 03:54: Train Epoch 1: 680/821 Loss: 2.302642
2026-08-17 03:54: Train Epoch 1: 700/821 Loss: 2.378949
2026-08-17 03:54: Train Epoch 1: 720/821 Loss: 2.272722
2026-08-17 03:54: Train Epoch 1: 740/821 Loss: 2.287767
2026-08-17 03:54: Train Epoch 1: 760/821 Loss: 2.224945
2026-08-17 03:54: Train Epoch 1: 780/821 Loss: 2.349776
2026-08-17 03:54: Train Epoch 1: 800/821 Loss: 2.192091
2026-08-17 03:54: Train Epoch 1: 820/821 Loss: 2.186319
2026-08-17 03:54: **********Train Epoch 1: averaged Loss: 3.575747, tf_ratio: 1.000000
2026-08-17 03:54: **********Val Epoch 1: average Loss: 2.219103
2026-08-17 03:54: *********************************Current best model saved!
2026-08-17 03:54: Train Epoch 2: 0/821 Loss: 2.264829
2026-08-17 03:54: Train Epoch 2: 20/821 Loss: 2.317735
2026-08-17 03:54: Train Epoch 2: 40/821 Loss: 2.188385
2026-08-17 03:54: Train Epoch 2: 60/821 Loss: 2.370625
2026-08-17 03:54: Train Epoch 2: 80/821 Loss: 2.112583
2026-08-17 03:55: Train Epoch 2: 100/821 Loss: 2.106370
2026-08-17 03:55: Train Epoch 2: 120/821 Loss: 2.175772
2026-08-17 03:55: Train Epoch 2: 140/821 Loss: 2.107745
2026-08-17 03:55: Train Epoch 2: 160/821 Loss: 2.234586
2026-08-17 03:55: Train Epoch 2: 180/821 Loss: 2.297911
2026-08-17 03:55: Train Epoch 2: 200/821 Loss: 2.338575
2026-08-17 03:55: Train Epoch 2: 220/821 Loss: 2.061343
2026-08-17 03:55: Train Epoch 2: 240/821 Loss: 2.182968
2026-08-17 03:55: Train Epoch 2: 260/821 Loss: 2.166646
2026-08-17 03:55: Train Epoch 2: 280/821 Loss: 2.278867
2026-08-17 03:55: Train Epoch 2: 300/821 Loss: 2.156519
2026-08-17 03:55: Train Epoch 2: 320/821 Loss: 2.052552
2026-08-17 03:55: Train Epoch 2: 340/821 Loss: 2.101150
2026-08-17 03:55: Train Epoch 2: 360/821 Loss: 2.044323
2026-08-17 03:55: Train Epoch 2: 380/821 Loss: 2.147049
2026-08-17 03:55: Train Epoch 2: 400/821 Loss: 2.126508
2026-08-17 03:55: Train Epoch 2: 420/821 Loss: 2.132643
2026-08-17 03:55: Train Epoch 2: 440/821 Loss: 2.084740
2026-08-17 03:55: Train Epoch 2: 460/821 Loss: 2.057996
2026-08-17 03:55: Train Epoch 2: 480/821 Loss: 2.050438
2026-08-17 03:55: Train Epoch 2: 500/821 Loss: 2.020589
2026-08-17 03:55: Train Epoch 2: 520/821 Loss: 1.978367
2026-08-17 03:55: Train Epoch 2: 540/821 Loss: 2.127954
2026-08-17 03:55: Train Epoch 2: 560/821 Loss: 2.035363
2026-08-17 03:55: Train Epoch 2: 580/821 Loss: 2.085629
2026-08-17 03:55: Train Epoch 2: 600/821 Loss: 2.075853
2026-08-17 03:55: Train Epoch 2: 620/821 Loss: 2.008737
2026-08-17 03:55: Train Epoch 2: 640/821 Loss: 1.968730
2026-08-17 03:55: Train Epoch 2: 660/821 Loss: 2.056793
2026-08-17 03:55: Train Epoch 2: 680/821 Loss: 1.995419
2026-08-17 03:55: Train Epoch 2: 700/821 Loss: 2.148227
2026-08-17 03:55: Train Epoch 2: 720/821 Loss: 2.033968
2026-08-17 03:55: Train Epoch 2: 740/821 Loss: 2.124953
2026-08-17 03:55: Train Epoch 2: 760/821 Loss: 2.061599
2026-08-17 03:55: Train Epoch 2: 780/821 Loss: 2.162723
2026-08-17 03:55: Train Epoch 2: 800/821 Loss: 1.998488
2026-08-17 03:55: Train Epoch 2: 820/821 Loss: 2.068754
2026-08-17 03:55: **********Train Epoch 2: averaged Loss: 2.109574, tf_ratio: 1.000000
2026-08-17 03:55: **********Val Epoch 2: average Loss: 2.042959
2026-08-17 03:55: *********************************Current best model saved!
2026-08-17 03:55: Train Epoch 3: 0/821 Loss: 2.199247
2026-08-17 03:55: Train Epoch 3: 20/821 Loss: 2.102740
2026-08-17 03:56: Train Epoch 3: 40/821 Loss: 1.914980
2026-08-17 03:56: Train Epoch 3: 60/821 Loss: 1.946525
2026-08-17 03:56: Train Epoch 3: 80/821 Loss: 2.126182
2026-08-17 03:56: Train Epoch 3: 100/821 Loss: 1.927748
