Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial27_20260817042653/run.log
2026-08-17 04:26: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial27_20260817042653
2026-08-17 04:26: Train Epoch 1: 0/821 Loss: 16.794003
2026-08-17 04:26: Train Epoch 1: 20/821 Loss: 14.128315
2026-08-17 04:27: Train Epoch 1: 40/821 Loss: 9.683630
2026-08-17 04:27: Train Epoch 1: 60/821 Loss: 6.835484
2026-08-17 04:27: Train Epoch 1: 80/821 Loss: 5.415515
2026-08-17 04:27: Train Epoch 1: 100/821 Loss: 5.804559
2026-08-17 04:27: Train Epoch 1: 120/821 Loss: 5.324032
2026-08-17 04:27: Train Epoch 1: 140/821 Loss: 5.226513
2026-08-17 04:27: Train Epoch 1: 160/821 Loss: 5.020274
2026-08-17 04:27: Train Epoch 1: 180/821 Loss: 4.904624
2026-08-17 04:27: Train Epoch 1: 200/821 Loss: 4.656045
2026-08-17 04:27: Train Epoch 1: 220/821 Loss: 4.494900
2026-08-17 04:27: Train Epoch 1: 240/821 Loss: 4.487558
2026-08-17 04:27: Train Epoch 1: 260/821 Loss: 3.931623
2026-08-17 04:27: Train Epoch 1: 280/821 Loss: 4.321283
2026-08-17 04:27: Train Epoch 1: 300/821 Loss: 4.383048
2026-08-17 04:27: Train Epoch 1: 320/821 Loss: 4.170268
2026-08-17 04:27: Train Epoch 1: 340/821 Loss: 3.967030
2026-08-17 04:27: Train Epoch 1: 360/821 Loss: 4.196157
2026-08-17 04:27: Train Epoch 1: 380/821 Loss: 4.023559
2026-08-17 04:27: Train Epoch 1: 400/821 Loss: 4.027051
2026-08-17 04:27: Train Epoch 1: 420/821 Loss: 3.754629
2026-08-17 04:27: Train Epoch 1: 440/821 Loss: 3.627199
2026-08-17 04:28: Train Epoch 1: 460/821 Loss: 3.424654
2026-08-17 04:28: Train Epoch 1: 480/821 Loss: 3.244505
2026-08-17 04:28: Train Epoch 1: 500/821 Loss: 3.245188
2026-08-17 04:28: Train Epoch 1: 520/821 Loss: 3.052153
2026-08-17 04:28: Train Epoch 1: 540/821 Loss: 3.017181
2026-08-17 04:28: Train Epoch 1: 560/821 Loss: 2.983617
2026-08-17 04:28: Train Epoch 1: 580/821 Loss: 2.736622
2026-08-17 04:28: Train Epoch 1: 600/821 Loss: 2.537704
2026-08-17 04:28: Train Epoch 1: 620/821 Loss: 2.661903
2026-08-17 04:28: Train Epoch 1: 640/821 Loss: 2.494600
2026-08-17 04:28: Train Epoch 1: 660/821 Loss: 2.628472
2026-08-17 04:28: Train Epoch 1: 680/821 Loss: 2.446348
2026-08-17 04:28: Train Epoch 1: 700/821 Loss: 2.380369
2026-08-17 04:28: Train Epoch 1: 720/821 Loss: 2.268878
2026-08-17 04:28: Train Epoch 1: 740/821 Loss: 2.367317
2026-08-17 04:28: Train Epoch 1: 760/821 Loss: 2.237098
2026-08-17 04:28: Train Epoch 1: 780/821 Loss: 2.302707
2026-08-17 04:28: Train Epoch 1: 800/821 Loss: 2.273951
2026-08-17 04:28: Train Epoch 1: 820/821 Loss: 2.192051
2026-08-17 04:28: **********Train Epoch 1: averaged Loss: 4.199655, tf_ratio: 1.000000
2026-08-17 04:29: **********Val Epoch 1: average Loss: 2.199057
2026-08-17 04:29: *********************************Current best model saved!
2026-08-17 04:29: Train Epoch 2: 0/821 Loss: 2.257780
2026-08-17 04:29: Train Epoch 2: 20/821 Loss: 2.289107
2026-08-17 04:29: Train Epoch 2: 40/821 Loss: 2.185627
2026-08-17 04:29: Train Epoch 2: 60/821 Loss: 2.408247
2026-08-17 04:29: Train Epoch 2: 80/821 Loss: 2.145354
2026-08-17 04:29: Train Epoch 2: 100/821 Loss: 2.064744
2026-08-17 04:29: Train Epoch 2: 120/821 Loss: 2.123670
2026-08-17 04:29: Train Epoch 2: 140/821 Loss: 2.046231
2026-08-17 04:29: Train Epoch 2: 160/821 Loss: 2.124099
2026-08-17 04:29: Train Epoch 2: 180/821 Loss: 2.092277
2026-08-17 04:29: Train Epoch 2: 200/821 Loss: 2.184361
2026-08-17 04:29: Train Epoch 2: 220/821 Loss: 1.977664
2026-08-17 04:29: Train Epoch 2: 240/821 Loss: 2.136235
2026-08-17 04:29: Train Epoch 2: 260/821 Loss: 2.063732
2026-08-17 04:29: Train Epoch 2: 280/821 Loss: 2.149443
2026-08-17 04:29: Train Epoch 2: 300/821 Loss: 2.041057
2026-08-17 04:29: Train Epoch 2: 320/821 Loss: 1.939156
2026-08-17 04:29: Train Epoch 2: 340/821 Loss: 1.977518
2026-08-17 04:29: Train Epoch 2: 360/821 Loss: 1.980358
2026-08-17 04:29: Train Epoch 2: 380/821 Loss: 2.079490
2026-08-17 04:29: Train Epoch 2: 400/821 Loss: 2.045147
2026-08-17 04:30: Train Epoch 2: 420/821 Loss: 1.945765
2026-08-17 04:30: Train Epoch 2: 440/821 Loss: 1.971223
2026-08-17 04:30: Train Epoch 2: 460/821 Loss: 1.951925
2026-08-17 04:30: Train Epoch 2: 480/821 Loss: 1.932011
2026-08-17 04:30: Train Epoch 2: 500/821 Loss: 1.929459
2026-08-17 04:30: Train Epoch 2: 520/821 Loss: 1.872830
2026-08-17 04:30: Train Epoch 2: 540/821 Loss: 2.043017
2026-08-17 04:30: Train Epoch 2: 560/821 Loss: 1.926965
2026-08-17 04:30: Train Epoch 2: 580/821 Loss: 1.917046
2026-08-17 04:30: Train Epoch 2: 600/821 Loss: 1.955196
2026-08-17 04:30: Train Epoch 2: 620/821 Loss: 1.892887
2026-08-17 04:30: Train Epoch 2: 640/821 Loss: 1.880528
2026-08-17 04:30: Train Epoch 2: 660/821 Loss: 1.921837
2026-08-17 04:30: Train Epoch 2: 680/821 Loss: 1.907239
2026-08-17 04:30: Train Epoch 2: 700/821 Loss: 1.992750
2026-08-17 04:30: Train Epoch 2: 720/821 Loss: 1.923195
2026-08-17 04:30: Train Epoch 2: 740/821 Loss: 1.993118
2026-08-17 04:30: Train Epoch 2: 760/821 Loss: 1.918535
2026-08-17 04:30: Train Epoch 2: 780/821 Loss: 2.064588
2026-08-17 04:30: Train Epoch 2: 800/821 Loss: 1.862471
2026-08-17 04:30: Train Epoch 2: 820/821 Loss: 1.917494
2026-08-17 04:30: **********Train Epoch 2: averaged Loss: 2.007947, tf_ratio: 1.000000
2026-08-17 04:31: **********Val Epoch 2: average Loss: 1.893964
2026-08-17 04:31: *********************************Current best model saved!
2026-08-17 04:31: Train Epoch 3: 0/821 Loss: 1.956173
2026-08-17 04:31: Train Epoch 3: 20/821 Loss: 1.951213
2026-08-17 04:31: Train Epoch 3: 40/821 Loss: 1.846151
2026-08-17 04:31: Train Epoch 3: 60/821 Loss: 1.860575
2026-08-17 04:31: Train Epoch 3: 80/821 Loss: 1.933997
2026-08-17 04:31: Train Epoch 3: 100/821 Loss: 1.809372
2026-08-17 04:31: Train Epoch 3: 120/821 Loss: 1.878601
2026-08-17 04:31: Train Epoch 3: 140/821 Loss: 1.876746
2026-08-17 04:31: Train Epoch 3: 160/821 Loss: 1.813215
2026-08-17 04:31: Train Epoch 3: 180/821 Loss: 1.964227
2026-08-17 04:31: Train Epoch 3: 200/821 Loss: 1.792945
2026-08-17 04:31: Train Epoch 3: 220/821 Loss: 1.822351
2026-08-17 04:31: Train Epoch 3: 240/821 Loss: 1.905765
2026-08-17 04:31: Train Epoch 3: 260/821 Loss: 1.892201
2026-08-17 04:31: Train Epoch 3: 280/821 Loss: 1.800856
2026-08-17 04:31: Train Epoch 3: 300/821 Loss: 1.894315
2026-08-17 04:31: Train Epoch 3: 320/821 Loss: 1.732244
2026-08-17 04:31: Train Epoch 3: 340/821 Loss: 1.816779
2026-08-17 04:31: Train Epoch 3: 360/821 Loss: 1.820733
2026-08-17 04:31: Train Epoch 3: 380/821 Loss: 1.854434
2026-08-17 04:32: Train Epoch 3: 400/821 Loss: 1.890493
2026-08-17 04:32: Train Epoch 3: 420/821 Loss: 1.788298
2026-08-17 04:32: Train Epoch 3: 440/821 Loss: 1.906178
2026-08-17 04:32: Train Epoch 3: 460/821 Loss: 1.820343
2026-08-17 04:32: Train Epoch 3: 480/821 Loss: 1.867597
2026-08-17 04:32: Train Epoch 3: 500/821 Loss: 1.878825
2026-08-17 04:32: Train Epoch 3: 520/821 Loss: 1.752739
2026-08-17 04:32: Train Epoch 3: 540/821 Loss: 1.868063
2026-08-17 04:32: Train Epoch 3: 560/821 Loss: 1.959381
2026-08-17 04:32: Train Epoch 3: 580/821 Loss: 1.840079
2026-08-17 04:32: Train Epoch 3: 600/821 Loss: 1.743464
2026-08-17 04:32: Train Epoch 3: 620/821 Loss: 1.826887
2026-08-17 04:32: Train Epoch 3: 640/821 Loss: 1.869089
2026-08-17 04:32: Train Epoch 3: 660/821 Loss: 1.761932
2026-08-17 04:32: Train Epoch 3: 680/821 Loss: 1.825327
2026-08-17 04:32: Train Epoch 3: 700/821 Loss: 1.805044
2026-08-17 04:32: Train Epoch 3: 720/821 Loss: 1.776834
2026-08-17 04:32: Train Epoch 3: 740/821 Loss: 1.665415
2026-08-17 04:32: Train Epoch 3: 760/821 Loss: 1.795971
2026-08-17 04:32: Train Epoch 3: 780/821 Loss: 1.836189
2026-08-17 04:32: Train Epoch 3: 800/821 Loss: 1.763372
2026-08-17 04:32: Train Epoch 3: 820/821 Loss: 1.814299
2026-08-17 04:32: **********Train Epoch 3: averaged Loss: 1.830514, tf_ratio: 1.000000
2026-08-17 04:33: **********Val Epoch 3: average Loss: 1.815931
2026-08-17 04:33: *********************************Current best model saved!
