Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial28_20260817051025/run.log
2026-08-17 05:10: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial28_20260817051025
2026-08-17 05:10: Train Epoch 1: 0/821 Loss: 16.085884
2026-08-17 05:10: Train Epoch 1: 20/821 Loss: 16.594204
2026-08-17 05:10: Train Epoch 1: 40/821 Loss: 15.100108
2026-08-17 05:10: Train Epoch 1: 60/821 Loss: 14.019098
2026-08-17 05:10: Train Epoch 1: 80/821 Loss: 13.216475
2026-08-17 05:10: Train Epoch 1: 100/821 Loss: 13.407870
2026-08-17 05:10: Train Epoch 1: 120/821 Loss: 11.851978
2026-08-17 05:10: Train Epoch 1: 140/821 Loss: 11.623571
2026-08-17 05:10: Train Epoch 1: 160/821 Loss: 11.046504
2026-08-17 05:10: Train Epoch 1: 180/821 Loss: 10.937015
2026-08-17 05:10: Train Epoch 1: 200/821 Loss: 9.356876
2026-08-17 05:10: Train Epoch 1: 220/821 Loss: 9.712227
2026-08-17 05:11: Train Epoch 1: 240/821 Loss: 9.350018
2026-08-17 05:11: Train Epoch 1: 260/821 Loss: 8.784430
2026-08-17 05:11: Train Epoch 1: 280/821 Loss: 7.776071
2026-08-17 05:11: Train Epoch 1: 300/821 Loss: 7.967293
2026-08-17 05:11: Train Epoch 1: 320/821 Loss: 7.778713
2026-08-17 05:11: Train Epoch 1: 340/821 Loss: 7.654372
2026-08-17 05:11: Train Epoch 1: 360/821 Loss: 6.986392
2026-08-17 05:11: Train Epoch 1: 380/821 Loss: 6.892137
2026-08-17 05:11: Train Epoch 1: 400/821 Loss: 6.458402
2026-08-17 05:11: Train Epoch 1: 420/821 Loss: 6.457274
2026-08-17 05:11: Train Epoch 1: 440/821 Loss: 5.968488
2026-08-17 05:11: Train Epoch 1: 460/821 Loss: 6.181196
2026-08-17 05:11: Train Epoch 1: 480/821 Loss: 5.507703
2026-08-17 05:11: Train Epoch 1: 500/821 Loss: 5.729916
2026-08-17 05:11: Train Epoch 1: 520/821 Loss: 5.937194
2026-08-17 05:11: Train Epoch 1: 540/821 Loss: 5.652589
2026-08-17 05:11: Train Epoch 1: 560/821 Loss: 5.602633
2026-08-17 05:11: Train Epoch 1: 580/821 Loss: 5.291177
2026-08-17 05:11: Train Epoch 1: 600/821 Loss: 5.498518
2026-08-17 05:11: Train Epoch 1: 620/821 Loss: 5.804775
2026-08-17 05:11: Train Epoch 1: 640/821 Loss: 5.294224
2026-08-17 05:11: Train Epoch 1: 660/821 Loss: 5.685690
2026-08-17 05:11: Train Epoch 1: 680/821 Loss: 5.498444
2026-08-17 05:12: Train Epoch 1: 700/821 Loss: 5.504591
2026-08-17 05:12: Train Epoch 1: 720/821 Loss: 5.482141
2026-08-17 05:12: Train Epoch 1: 740/821 Loss: 5.218201
2026-08-17 05:12: Train Epoch 1: 760/821 Loss: 5.274183
2026-08-17 05:12: Train Epoch 1: 780/821 Loss: 5.400954
2026-08-17 05:12: Train Epoch 1: 800/821 Loss: 5.259697
2026-08-17 05:12: Train Epoch 1: 820/821 Loss: 5.079454
2026-08-17 05:12: **********Train Epoch 1: averaged Loss: 8.064248, tf_ratio: 1.000000
2026-08-17 05:12: **********Val Epoch 1: average Loss: 4.928239
2026-08-17 05:12: *********************************Current best model saved!
2026-08-17 05:12: Train Epoch 2: 0/821 Loss: 4.879872
2026-08-17 05:12: Train Epoch 2: 20/821 Loss: 4.937943
2026-08-17 05:12: Train Epoch 2: 40/821 Loss: 4.895802
2026-08-17 05:12: Train Epoch 2: 60/821 Loss: 4.383087
2026-08-17 05:12: Train Epoch 2: 80/821 Loss: 4.432229
2026-08-17 05:12: Train Epoch 2: 100/821 Loss: 4.624761
2026-08-17 05:12: Train Epoch 2: 120/821 Loss: 4.290360
2026-08-17 05:12: Train Epoch 2: 140/821 Loss: 4.445529
2026-08-17 05:12: Train Epoch 2: 160/821 Loss: 4.409154
2026-08-17 05:12: Train Epoch 2: 180/821 Loss: 4.584887
2026-08-17 05:12: Train Epoch 2: 200/821 Loss: 4.352141
2026-08-17 05:12: Train Epoch 2: 220/821 Loss: 4.164422
2026-08-17 05:13: Train Epoch 2: 240/821 Loss: 4.312428
2026-08-17 05:13: Train Epoch 2: 260/821 Loss: 4.268094
2026-08-17 05:13: Train Epoch 2: 280/821 Loss: 4.061007
2026-08-17 05:13: Train Epoch 2: 300/821 Loss: 4.121305
2026-08-17 05:13: Train Epoch 2: 320/821 Loss: 4.140428
2026-08-17 05:13: Train Epoch 2: 340/821 Loss: 4.130199
2026-08-17 05:13: Train Epoch 2: 360/821 Loss: 4.317634
2026-08-17 05:13: Train Epoch 2: 380/821 Loss: 4.231881
2026-08-17 05:13: Train Epoch 2: 400/821 Loss: 4.170776
2026-08-17 05:13: Train Epoch 2: 420/821 Loss: 3.989731
2026-08-17 05:13: Train Epoch 2: 440/821 Loss: 4.039124
2026-08-17 05:13: Train Epoch 2: 460/821 Loss: 4.191088
2026-08-17 05:13: Train Epoch 2: 480/821 Loss: 4.189708
2026-08-17 05:13: Train Epoch 2: 500/821 Loss: 4.010477
2026-08-17 05:13: Train Epoch 2: 520/821 Loss: 4.080596
2026-08-17 05:13: Train Epoch 2: 540/821 Loss: 3.980680
2026-08-17 05:13: Train Epoch 2: 560/821 Loss: 3.878322
2026-08-17 05:13: Train Epoch 2: 580/821 Loss: 3.971954
2026-08-17 05:13: Train Epoch 2: 600/821 Loss: 3.910427
2026-08-17 05:13: Train Epoch 2: 620/821 Loss: 3.954751
2026-08-17 05:13: Train Epoch 2: 640/821 Loss: 3.992165
2026-08-17 05:13: Train Epoch 2: 660/821 Loss: 3.831875
2026-08-17 05:14: Train Epoch 2: 680/821 Loss: 3.931788
2026-08-17 05:14: Train Epoch 2: 700/821 Loss: 3.665399
2026-08-17 05:14: Train Epoch 2: 720/821 Loss: 3.739875
2026-08-17 05:14: Train Epoch 2: 740/821 Loss: 3.667958
2026-08-17 05:14: Train Epoch 2: 760/821 Loss: 3.673134
2026-08-17 05:14: Train Epoch 2: 780/821 Loss: 3.768519
2026-08-17 05:14: Train Epoch 2: 800/821 Loss: 3.622477
2026-08-17 05:14: Train Epoch 2: 820/821 Loss: 3.315804
2026-08-17 05:14: **********Train Epoch 2: averaged Loss: 4.134851, tf_ratio: 1.000000
2026-08-17 05:14: **********Val Epoch 2: average Loss: 3.354876
2026-08-17 05:14: *********************************Current best model saved!
2026-08-17 05:14: Train Epoch 3: 0/821 Loss: 3.511027
2026-08-17 05:14: Train Epoch 3: 20/821 Loss: 3.507715
2026-08-17 05:14: Train Epoch 3: 40/821 Loss: 3.504569
2026-08-17 05:14: Train Epoch 3: 60/821 Loss: 3.438007
2026-08-17 05:14: Train Epoch 3: 80/821 Loss: 3.387588
2026-08-17 05:14: Train Epoch 3: 100/821 Loss: 3.340407
2026-08-17 05:14: Train Epoch 3: 120/821 Loss: 3.252578
2026-08-17 05:14: Train Epoch 3: 140/821 Loss: 3.155498
2026-08-17 05:14: Train Epoch 3: 160/821 Loss: 3.182903
2026-08-17 05:14: Train Epoch 3: 180/821 Loss: 3.103738
2026-08-17 05:14: Train Epoch 3: 200/821 Loss: 2.988889
2026-08-17 05:15: Train Epoch 3: 220/821 Loss: 3.004214
2026-08-17 05:15: Train Epoch 3: 240/821 Loss: 2.940500
2026-08-17 05:15: Train Epoch 3: 260/821 Loss: 2.885843
2026-08-17 05:15: Train Epoch 3: 280/821 Loss: 2.946814
2026-08-17 05:15: Train Epoch 3: 300/821 Loss: 3.067037
2026-08-17 05:15: Train Epoch 3: 320/821 Loss: 2.833544
2026-08-17 05:15: Train Epoch 3: 340/821 Loss: 2.828974
2026-08-17 05:15: Train Epoch 3: 360/821 Loss: 2.625295
2026-08-17 05:15: Train Epoch 3: 380/821 Loss: 2.738290
2026-08-17 05:15: Train Epoch 3: 400/821 Loss: 2.777293
2026-08-17 05:15: Train Epoch 3: 420/821 Loss: 2.670012
2026-08-17 05:15: Train Epoch 3: 440/821 Loss: 2.782528
2026-08-17 05:15: Train Epoch 3: 460/821 Loss: 2.776873
2026-08-17 05:15: Train Epoch 3: 480/821 Loss: 2.522006
2026-08-17 05:15: Train Epoch 3: 500/821 Loss: 2.656858
2026-08-17 05:15: Train Epoch 3: 520/821 Loss: 2.530800
2026-08-17 05:15: Train Epoch 3: 540/821 Loss: 2.539027
2026-08-17 05:15: Train Epoch 3: 560/821 Loss: 2.581278
2026-08-17 05:15: Train Epoch 3: 580/821 Loss: 2.569120
2026-08-17 05:15: Train Epoch 3: 600/821 Loss: 2.687786
2026-08-17 05:15: Train Epoch 3: 620/821 Loss: 2.550718
2026-08-17 05:15: Train Epoch 3: 640/821 Loss: 2.567513
2026-08-17 05:16: Train Epoch 3: 660/821 Loss: 2.505015
2026-08-17 05:16: Train Epoch 3: 680/821 Loss: 2.441381
2026-08-17 05:16: Train Epoch 3: 700/821 Loss: 2.416218
2026-08-17 05:16: Train Epoch 3: 720/821 Loss: 2.539905
2026-08-17 05:16: Train Epoch 3: 740/821 Loss: 2.535335
2026-08-17 05:16: Train Epoch 3: 760/821 Loss: 2.513457
2026-08-17 05:16: Train Epoch 3: 780/821 Loss: 2.415471
2026-08-17 05:16: Train Epoch 3: 800/821 Loss: 2.481653
2026-08-17 05:16: Train Epoch 3: 820/821 Loss: 2.559877
2026-08-17 05:16: **********Train Epoch 3: averaged Loss: 2.803555, tf_ratio: 1.000000
2026-08-17 05:16: **********Val Epoch 3: average Loss: 2.340976
2026-08-17 05:16: *********************************Current best model saved!
2026-08-17 05:16: Train Epoch 4: 0/821 Loss: 2.377789
2026-08-17 05:16: Train Epoch 4: 20/821 Loss: 2.451906
2026-08-17 05:16: Train Epoch 4: 40/821 Loss: 2.311817
2026-08-17 05:16: Train Epoch 4: 60/821 Loss: 2.371543
2026-08-17 05:16: Train Epoch 4: 80/821 Loss: 2.298864
