Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial29_20260817052039/run.log
2026-08-17 05:20: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial29_20260817052039
2026-08-17 05:20: Train Epoch 1: 0/1642 Loss: 16.775509
2026-08-17 05:20: Train Epoch 1: 20/1642 Loss: 4.912396
2026-08-17 05:20: Train Epoch 1: 40/1642 Loss: 4.448470
2026-08-17 05:20: Train Epoch 1: 60/1642 Loss: 4.378944
2026-08-17 05:20: Train Epoch 1: 80/1642 Loss: 4.587824
2026-08-17 05:20: Train Epoch 1: 100/1642 Loss: 4.082525
2026-08-17 05:20: Train Epoch 1: 120/1642 Loss: 4.252273
2026-08-17 05:20: Train Epoch 1: 140/1642 Loss: 4.183866
2026-08-17 05:20: Train Epoch 1: 160/1642 Loss: 4.351355
2026-08-17 05:20: Train Epoch 1: 180/1642 Loss: 4.125307
2026-08-17 05:20: Train Epoch 1: 200/1642 Loss: 4.853230
2026-08-17 05:20: Train Epoch 1: 220/1642 Loss: 4.302639
2026-08-17 05:20: Train Epoch 1: 240/1642 Loss: 3.947825
2026-08-17 05:21: Train Epoch 1: 260/1642 Loss: 4.048602
2026-08-17 05:21: Train Epoch 1: 280/1642 Loss: 3.885339
2026-08-17 05:21: Train Epoch 1: 300/1642 Loss: 3.482455
2026-08-17 05:21: Train Epoch 1: 320/1642 Loss: 3.807213
2026-08-17 05:21: Train Epoch 1: 340/1642 Loss: 4.130461
2026-08-17 05:21: Train Epoch 1: 360/1642 Loss: 4.332109
2026-08-17 05:21: Train Epoch 1: 380/1642 Loss: 4.204781
2026-08-17 05:21: Train Epoch 1: 400/1642 Loss: 4.182497
2026-08-17 05:21: Train Epoch 1: 420/1642 Loss: 4.310627
2026-08-17 05:21: Train Epoch 1: 440/1642 Loss: 4.257835
2026-08-17 05:21: Train Epoch 1: 460/1642 Loss: 4.268690
2026-08-17 05:21: Train Epoch 1: 480/1642 Loss: 4.278456
2026-08-17 05:21: Train Epoch 1: 500/1642 Loss: 4.625972
2026-08-17 05:21: Train Epoch 1: 520/1642 Loss: 3.966019
2026-08-17 05:21: Train Epoch 1: 540/1642 Loss: 4.271356
2026-08-17 05:21: Train Epoch 1: 560/1642 Loss: 4.686350
2026-08-17 05:21: Train Epoch 1: 580/1642 Loss: 4.800946
2026-08-17 05:21: Train Epoch 1: 600/1642 Loss: 4.420046
2026-08-17 05:21: Train Epoch 1: 620/1642 Loss: 4.235372
2026-08-17 05:21: Train Epoch 1: 640/1642 Loss: 4.593082
2026-08-17 05:21: Train Epoch 1: 660/1642 Loss: 4.345167
2026-08-17 05:21: Train Epoch 1: 680/1642 Loss: 4.027522
2026-08-17 05:21: Train Epoch 1: 700/1642 Loss: 4.816068
2026-08-17 05:21: Train Epoch 1: 720/1642 Loss: 4.226203
2026-08-17 05:21: Train Epoch 1: 740/1642 Loss: 4.110642
2026-08-17 05:21: Train Epoch 1: 760/1642 Loss: 4.856657
2026-08-17 05:21: Train Epoch 1: 780/1642 Loss: 4.103029
2026-08-17 05:21: Train Epoch 1: 800/1642 Loss: 4.293124
2026-08-17 05:21: Train Epoch 1: 820/1642 Loss: 3.753997
2026-08-17 05:21: Train Epoch 1: 840/1642 Loss: 4.168412
2026-08-17 05:21: Train Epoch 1: 860/1642 Loss: 4.623003
2026-08-17 05:21: Train Epoch 1: 880/1642 Loss: 5.459308
2026-08-17 05:21: Train Epoch 1: 900/1642 Loss: 5.289535
2026-08-17 05:21: Train Epoch 1: 920/1642 Loss: 6.307314
2026-08-17 05:21: Train Epoch 1: 940/1642 Loss: 6.152132
2026-08-17 05:21: Train Epoch 1: 960/1642 Loss: 6.303421
2026-08-17 05:21: Train Epoch 1: 980/1642 Loss: 6.760398
2026-08-17 05:21: Train Epoch 1: 1000/1642 Loss: 6.501035
