Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial31_20260817053246/run.log
2026-08-17 05:32: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial31_20260817053246
2026-08-17 05:32: Train Epoch 1: 0/821 Loss: 16.776819
2026-08-17 05:32: Train Epoch 1: 20/821 Loss: 17.560987
2026-08-17 05:32: Train Epoch 1: 40/821 Loss: 15.540248
2026-08-17 05:32: Train Epoch 1: 60/821 Loss: 13.402278
2026-08-17 05:32: Train Epoch 1: 80/821 Loss: 11.084862
2026-08-17 05:32: Train Epoch 1: 100/821 Loss: 9.857639
2026-08-17 05:32: Train Epoch 1: 120/821 Loss: 8.094543
2026-08-17 05:32: Train Epoch 1: 140/821 Loss: 7.667941
2026-08-17 05:33: Train Epoch 1: 160/821 Loss: 7.163061
2026-08-17 05:33: Train Epoch 1: 180/821 Loss: 6.628774
2026-08-17 05:33: Train Epoch 1: 200/821 Loss: 5.766538
2026-08-17 05:33: Train Epoch 1: 220/821 Loss: 5.799478
2026-08-17 05:33: Train Epoch 1: 240/821 Loss: 5.995311
2026-08-17 05:33: Train Epoch 1: 260/821 Loss: 5.175987
2026-08-17 05:33: Train Epoch 1: 280/821 Loss: 5.564999
2026-08-17 05:33: Train Epoch 1: 300/821 Loss: 5.674096
2026-08-17 05:33: Train Epoch 1: 320/821 Loss: 5.490691
2026-08-17 05:33: Train Epoch 1: 340/821 Loss: 5.274872
2026-08-17 05:33: Train Epoch 1: 360/821 Loss: 5.274692
2026-08-17 05:33: Train Epoch 1: 380/821 Loss: 5.283000
2026-08-17 05:33: Train Epoch 1: 400/821 Loss: 5.326071
2026-08-17 05:33: Train Epoch 1: 420/821 Loss: 5.040694
2026-08-17 05:33: Train Epoch 1: 440/821 Loss: 4.939689
2026-08-17 05:33: Train Epoch 1: 460/821 Loss: 4.669880
2026-08-17 05:33: Train Epoch 1: 480/821 Loss: 4.602834
2026-08-17 05:33: Train Epoch 1: 500/821 Loss: 4.618030
2026-08-17 05:33: Train Epoch 1: 520/821 Loss: 4.728586
2026-08-17 05:33: Train Epoch 1: 540/821 Loss: 4.537768
2026-08-17 05:33: Train Epoch 1: 560/821 Loss: 4.751999
2026-08-17 05:33: Train Epoch 1: 580/821 Loss: 4.642831
2026-08-17 05:33: Train Epoch 1: 600/821 Loss: 4.296510
2026-08-17 05:33: Train Epoch 1: 620/821 Loss: 4.394632
2026-08-17 05:33: Train Epoch 1: 640/821 Loss: 4.338207
