Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial1_20260817153931/run.log
2026-08-17 15:39: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial1_20260817153931
2026-08-17 15:39: Train Epoch 1: 0/410 Loss: 0.888641
2026-08-17 15:39: Train Epoch 1: 20/410 Loss: 0.894102
2026-08-17 15:39: Train Epoch 1: 40/410 Loss: 0.895101
2026-08-17 15:39: Train Epoch 1: 60/410 Loss: 0.855245
2026-08-17 15:39: Train Epoch 1: 80/410 Loss: 0.863143
2026-08-17 15:39: Train Epoch 1: 100/410 Loss: 0.830477
2026-08-17 15:39: Train Epoch 1: 120/410 Loss: 0.805163
2026-08-17 15:40: Train Epoch 1: 140/410 Loss: 0.801875
2026-08-17 15:40: Train Epoch 1: 160/410 Loss: 0.767125
2026-08-17 15:40: Train Epoch 1: 180/410 Loss: 0.732354
2026-08-17 15:40: Train Epoch 1: 200/410 Loss: 0.753479
2026-08-17 15:40: Train Epoch 1: 220/410 Loss: 0.728932
2026-08-17 15:40: Train Epoch 1: 240/410 Loss: 0.703838
2026-08-17 15:40: Train Epoch 1: 260/410 Loss: 0.698441
2026-08-17 15:40: Train Epoch 1: 280/410 Loss: 0.703713
2026-08-17 15:40: Train Epoch 1: 300/410 Loss: 0.702905
2026-08-17 15:40: Train Epoch 1: 320/410 Loss: 0.687358
2026-08-17 15:40: Train Epoch 1: 340/410 Loss: 0.710376
2026-08-17 15:40: Train Epoch 1: 360/410 Loss: 0.694591
2026-08-17 15:40: Train Epoch 1: 380/410 Loss: 0.689962
2026-08-17 15:40: Train Epoch 1: 400/410 Loss: 0.682899
2026-08-17 15:40: **********Train Epoch 1: averaged Loss: 0.762386, tf_ratio: 1.000000
2026-08-17 15:41: **********Val Epoch 1: average Loss: 0.655418
2026-08-17 15:41: *********************************Current best model saved!
2026-08-17 15:41: Train Epoch 2: 0/410 Loss: 0.683227
2026-08-17 15:41: Train Epoch 2: 20/410 Loss: 0.674232
2026-08-17 15:41: Train Epoch 2: 40/410 Loss: 0.665430
2026-08-17 15:41: Train Epoch 2: 60/410 Loss: 0.667523
2026-08-17 15:41: Train Epoch 2: 80/410 Loss: 0.680718
2026-08-17 15:41: Train Epoch 2: 100/410 Loss: 0.670127
2026-08-17 15:41: Train Epoch 2: 120/410 Loss: 0.668423
2026-08-17 15:41: Train Epoch 2: 140/410 Loss: 0.663487
2026-08-17 15:41: Train Epoch 2: 160/410 Loss: 0.680492
2026-08-17 15:41: Train Epoch 2: 180/410 Loss: 0.658627
2026-08-17 15:41: Train Epoch 2: 200/410 Loss: 0.647820
2026-08-17 15:41: Train Epoch 2: 220/410 Loss: 0.639429
2026-08-17 15:41: Train Epoch 2: 240/410 Loss: 0.653481
2026-08-17 15:41: Train Epoch 2: 260/410 Loss: 0.641293
2026-08-17 15:41: Train Epoch 2: 280/410 Loss: 0.649756
2026-08-17 15:41: Train Epoch 2: 300/410 Loss: 0.634857
2026-08-17 15:42: Train Epoch 2: 320/410 Loss: 0.655289
2026-08-17 15:42: Train Epoch 2: 340/410 Loss: 0.632334
2026-08-17 15:42: Train Epoch 2: 360/410 Loss: 0.641971
2026-08-17 15:42: Train Epoch 2: 380/410 Loss: 0.644106
2026-08-17 15:42: Train Epoch 2: 400/410 Loss: 0.637007
2026-08-17 15:42: **********Train Epoch 2: averaged Loss: 0.657024, tf_ratio: 1.000000
2026-08-17 15:42: **********Val Epoch 2: average Loss: 0.613527
2026-08-17 15:42: *********************************Current best model saved!
2026-08-17 15:42: Train Epoch 3: 0/410 Loss: 0.620599
2026-08-17 15:42: Train Epoch 3: 20/410 Loss: 0.608997
2026-08-17 15:42: Train Epoch 3: 40/410 Loss: 0.620939
2026-08-17 15:42: Train Epoch 3: 60/410 Loss: 0.627244
2026-08-17 15:42: Train Epoch 3: 80/410 Loss: 0.606858
2026-08-17 15:42: Train Epoch 3: 100/410 Loss: 0.611189
2026-08-17 15:42: Train Epoch 3: 120/410 Loss: 0.595735
2026-08-17 15:42: Train Epoch 3: 140/410 Loss: 0.571718
2026-08-17 15:42: Train Epoch 3: 160/410 Loss: 0.587703
2026-08-17 15:43: Train Epoch 3: 180/410 Loss: 0.581065
2026-08-17 15:43: Train Epoch 3: 200/410 Loss: 0.575563
2026-08-17 15:43: Train Epoch 3: 220/410 Loss: 0.560147
2026-08-17 15:43: Train Epoch 3: 240/410 Loss: 0.555118
2026-08-17 15:43: Train Epoch 3: 260/410 Loss: 0.524247
2026-08-17 15:43: Train Epoch 3: 280/410 Loss: 0.512167
2026-08-17 15:43: Train Epoch 3: 300/410 Loss: 0.523460
2026-08-17 15:43: Train Epoch 3: 320/410 Loss: 0.500093
2026-08-17 15:43: Train Epoch 3: 340/410 Loss: 0.493653
2026-08-17 15:43: Train Epoch 3: 360/410 Loss: 0.485180
2026-08-17 15:43: Train Epoch 3: 380/410 Loss: 0.464629
2026-08-17 15:43: Train Epoch 3: 400/410 Loss: 0.458530
2026-08-17 15:43: **********Train Epoch 3: averaged Loss: 0.554619, tf_ratio: 1.000000
2026-08-17 15:43: **********Val Epoch 3: average Loss: 0.452218
2026-08-17 15:43: *********************************Current best model saved!
2026-08-17 15:43: Train Epoch 4: 0/410 Loss: 0.475586
2026-08-17 15:43: Train Epoch 4: 20/410 Loss: 0.475955
2026-08-17 15:44: Train Epoch 4: 40/410 Loss: 0.452657
2026-08-17 15:44: Train Epoch 4: 60/410 Loss: 0.450401
2026-08-17 15:44: Train Epoch 4: 80/410 Loss: 0.446244
2026-08-17 15:44: Train Epoch 4: 100/410 Loss: 0.437536
2026-08-17 15:44: Train Epoch 4: 120/410 Loss: 0.437200
2026-08-17 15:44: Train Epoch 4: 140/410 Loss: 0.420883
2026-08-17 15:44: Train Epoch 4: 160/410 Loss: 0.420735
2026-08-17 15:44: Train Epoch 4: 180/410 Loss: 0.440673
2026-08-17 15:44: Train Epoch 4: 200/410 Loss: 0.434264
2026-08-17 15:44: Train Epoch 4: 220/410 Loss: 0.437807
2026-08-17 15:44: Train Epoch 4: 240/410 Loss: 0.420602
2026-08-17 15:44: Train Epoch 4: 260/410 Loss: 0.419050
2026-08-17 15:44: Train Epoch 4: 280/410 Loss: 0.418870
2026-08-17 15:44: Train Epoch 4: 300/410 Loss: 0.434359
2026-08-17 15:44: Train Epoch 4: 320/410 Loss: 0.420070
2026-08-17 15:44: Train Epoch 4: 340/410 Loss: 0.415349
2026-08-17 15:45: Train Epoch 4: 360/410 Loss: 0.423529
2026-08-17 15:45: Train Epoch 4: 380/410 Loss: 0.412420
2026-08-17 15:45: Train Epoch 4: 400/410 Loss: 0.408357
2026-08-17 15:45: **********Train Epoch 4: averaged Loss: 0.431760, tf_ratio: 1.000000
2026-08-17 15:45: **********Val Epoch 4: average Loss: 0.402599
2026-08-17 15:45: *********************************Current best model saved!
2026-08-17 15:45: Train Epoch 5: 0/410 Loss: 0.400447
2026-08-17 15:45: Train Epoch 5: 20/410 Loss: 0.413359
2026-08-17 15:45: Train Epoch 5: 40/410 Loss: 0.421439
2026-08-17 15:45: Train Epoch 5: 60/410 Loss: 0.433606
2026-08-17 15:45: Train Epoch 5: 80/410 Loss: 0.422382
2026-08-17 15:45: Train Epoch 5: 100/410 Loss: 0.416273
2026-08-17 15:45: Train Epoch 5: 120/410 Loss: 0.406266
2026-08-17 15:45: Train Epoch 5: 140/410 Loss: 0.414169
2026-08-17 15:45: Train Epoch 5: 160/410 Loss: 0.408730
2026-08-17 15:45: Train Epoch 5: 180/410 Loss: 0.419066
2026-08-17 15:45: Train Epoch 5: 200/410 Loss: 0.417507
2026-08-17 15:46: Train Epoch 5: 220/410 Loss: 0.400650
2026-08-17 15:46: Train Epoch 5: 240/410 Loss: 0.411752
2026-08-17 15:46: Train Epoch 5: 260/410 Loss: 0.399577
2026-08-17 15:46: Train Epoch 5: 280/410 Loss: 0.398955
2026-08-17 15:46: Train Epoch 5: 300/410 Loss: 0.398499
2026-08-17 15:46: Train Epoch 5: 320/410 Loss: 0.400504
2026-08-17 15:46: Train Epoch 5: 340/410 Loss: 0.395239
2026-08-17 15:46: Train Epoch 5: 360/410 Loss: 0.395348
2026-08-17 15:46: Train Epoch 5: 380/410 Loss: 0.408581
2026-08-17 15:46: Train Epoch 5: 400/410 Loss: 0.415931
2026-08-17 15:46: **********Train Epoch 5: averaged Loss: 0.405933, tf_ratio: 1.000000
2026-08-17 15:46: **********Val Epoch 5: average Loss: 0.391233
2026-08-17 15:46: *********************************Current best model saved!
2026-08-17 15:46: Train Epoch 6: 0/410 Loss: 0.391622
2026-08-17 15:46: Train Epoch 6: 20/410 Loss: 0.417887
2026-08-17 15:46: Train Epoch 6: 40/410 Loss: 0.399048
2026-08-17 15:46: Train Epoch 6: 60/410 Loss: 0.391595
2026-08-17 15:47: Train Epoch 6: 80/410 Loss: 0.391427
2026-08-17 15:47: Train Epoch 6: 100/410 Loss: 0.396145
2026-08-17 15:47: Train Epoch 6: 120/410 Loss: 0.398764
2026-08-17 15:47: Train Epoch 6: 140/410 Loss: 0.404850
2026-08-17 15:47: Train Epoch 6: 160/410 Loss: 0.407014
2026-08-17 15:47: Train Epoch 6: 180/410 Loss: 0.383249
2026-08-17 15:47: Train Epoch 6: 200/410 Loss: 0.379018
2026-08-17 15:47: Train Epoch 6: 220/410 Loss: 0.388770
2026-08-17 15:47: Train Epoch 6: 240/410 Loss: 0.394527
2026-08-17 15:47: Train Epoch 6: 260/410 Loss: 0.393376
2026-08-17 15:47: Train Epoch 6: 280/410 Loss: 0.412363
2026-08-17 15:47: Train Epoch 6: 300/410 Loss: 0.382737
2026-08-17 15:47: Train Epoch 6: 320/410 Loss: 0.391614
2026-08-17 15:47: Train Epoch 6: 340/410 Loss: 0.399059
2026-08-17 15:47: Train Epoch 6: 360/410 Loss: 0.395688
2026-08-17 15:48: Train Epoch 6: 380/410 Loss: 0.383172
2026-08-17 15:48: Train Epoch 6: 400/410 Loss: 0.383645
2026-08-17 15:48: **********Train Epoch 6: averaged Loss: 0.393201, tf_ratio: 1.000000
2026-08-17 15:48: **********Val Epoch 6: average Loss: 0.378515
2026-08-17 15:48: *********************************Current best model saved!
2026-08-17 15:48: Train Epoch 7: 0/410 Loss: 0.376798
2026-08-17 15:48: Train Epoch 7: 20/410 Loss: 0.380249
2026-08-17 15:48: Train Epoch 7: 40/410 Loss: 0.369713
2026-08-17 15:48: Train Epoch 7: 60/410 Loss: 0.392549
2026-08-17 15:48: Train Epoch 7: 80/410 Loss: 0.392268
2026-08-17 15:48: Train Epoch 7: 100/410 Loss: 0.395158
2026-08-17 15:48: Train Epoch 7: 120/410 Loss: 0.382146
2026-08-17 15:48: Train Epoch 7: 140/410 Loss: 0.375628
2026-08-17 15:48: Train Epoch 7: 160/410 Loss: 0.392792
2026-08-17 15:48: Train Epoch 7: 180/410 Loss: 0.369340
2026-08-17 15:48: Train Epoch 7: 200/410 Loss: 0.390025
2026-08-17 15:48: Train Epoch 7: 220/410 Loss: 0.392233
2026-08-17 15:49: Train Epoch 7: 240/410 Loss: 0.406248
2026-08-17 15:49: Train Epoch 7: 260/410 Loss: 0.377026
2026-08-17 15:49: Train Epoch 7: 280/410 Loss: 0.368048
2026-08-17 15:49: Train Epoch 7: 300/410 Loss: 0.391064
2026-08-17 15:49: Train Epoch 7: 320/410 Loss: 0.383437
2026-08-17 15:49: Train Epoch 7: 340/410 Loss: 0.385828
2026-08-17 15:49: Train Epoch 7: 360/410 Loss: 0.370153
2026-08-17 15:49: Train Epoch 7: 380/410 Loss: 0.392725
2026-08-17 15:49: Train Epoch 7: 400/410 Loss: 0.378303
2026-08-17 15:49: **********Train Epoch 7: averaged Loss: 0.383964, tf_ratio: 1.000000
2026-08-17 15:49: **********Val Epoch 7: average Loss: 0.373536
2026-08-17 15:49: *********************************Current best model saved!
2026-08-17 15:49: Train Epoch 8: 0/410 Loss: 0.380165
2026-08-17 15:49: Train Epoch 8: 20/410 Loss: 0.389320
2026-08-17 15:49: Train Epoch 8: 40/410 Loss: 0.372527
2026-08-17 15:49: Train Epoch 8: 60/410 Loss: 0.381674
2026-08-17 15:49: Train Epoch 8: 80/410 Loss: 0.370317
2026-08-17 15:50: Train Epoch 8: 100/410 Loss: 0.377105
2026-08-17 15:50: Train Epoch 8: 120/410 Loss: 0.394110
2026-08-17 15:50: Train Epoch 8: 140/410 Loss: 0.356714
2026-08-17 15:50: Train Epoch 8: 160/410 Loss: 0.382730
2026-08-17 15:50: Train Epoch 8: 180/410 Loss: 0.370357
2026-08-17 15:50: Train Epoch 8: 200/410 Loss: 0.370101
2026-08-17 15:50: Train Epoch 8: 220/410 Loss: 0.357548
2026-08-17 15:50: Train Epoch 8: 240/410 Loss: 0.385766
2026-08-17 15:50: Train Epoch 8: 260/410 Loss: 0.373327
2026-08-17 15:50: Train Epoch 8: 280/410 Loss: 0.386519
2026-08-17 15:50: Train Epoch 8: 300/410 Loss: 0.373344
2026-08-17 15:50: Train Epoch 8: 320/410 Loss: 0.374127
2026-08-17 15:50: Train Epoch 8: 340/410 Loss: 0.371656
2026-08-17 15:50: Train Epoch 8: 360/410 Loss: 0.370601
2026-08-17 15:50: Train Epoch 8: 380/410 Loss: 0.368049
2026-08-17 15:50: Train Epoch 8: 400/410 Loss: 0.370997
2026-08-17 15:50: **********Train Epoch 8: averaged Loss: 0.377841, tf_ratio: 1.000000
2026-08-17 15:51: **********Val Epoch 8: average Loss: 0.366512
2026-08-17 15:51: *********************************Current best model saved!
2026-08-17 15:51: Train Epoch 9: 0/410 Loss: 0.381442
2026-08-17 15:51: Train Epoch 9: 20/410 Loss: 0.362474
2026-08-17 15:51: Train Epoch 9: 40/410 Loss: 0.378716
2026-08-17 15:51: Train Epoch 9: 60/410 Loss: 0.378362
2026-08-17 15:51: Train Epoch 9: 80/410 Loss: 0.388240
2026-08-17 15:51: Train Epoch 9: 100/410 Loss: 0.374003
2026-08-17 15:51: Train Epoch 9: 120/410 Loss: 0.369390
2026-08-17 15:51: Train Epoch 9: 140/410 Loss: 0.384451
2026-08-17 15:51: Train Epoch 9: 160/410 Loss: 0.384869
2026-08-17 15:51: Train Epoch 9: 180/410 Loss: 0.379878
2026-08-17 15:51: Train Epoch 9: 200/410 Loss: 0.368675
2026-08-17 15:51: Train Epoch 9: 220/410 Loss: 0.375859
2026-08-17 15:51: Train Epoch 9: 240/410 Loss: 0.361487
2026-08-17 15:51: Train Epoch 9: 260/410 Loss: 0.365279
2026-08-17 15:52: Train Epoch 9: 280/410 Loss: 0.375602
2026-08-17 15:52: Train Epoch 9: 300/410 Loss: 0.363867
2026-08-17 15:52: Train Epoch 9: 320/410 Loss: 0.368639
2026-08-17 15:52: Train Epoch 9: 340/410 Loss: 0.381215
2026-08-17 15:52: Train Epoch 9: 360/410 Loss: 0.362274
2026-08-17 15:52: Train Epoch 9: 380/410 Loss: 0.375097
2026-08-17 15:52: Train Epoch 9: 400/410 Loss: 0.384776
2026-08-17 15:52: **********Train Epoch 9: averaged Loss: 0.373095, tf_ratio: 1.000000
2026-08-17 15:52: **********Val Epoch 9: average Loss: 0.363287
2026-08-17 15:52: *********************************Current best model saved!
2026-08-17 15:52: Train Epoch 10: 0/410 Loss: 0.364050
2026-08-17 15:52: Train Epoch 10: 20/410 Loss: 0.392772
2026-08-17 15:52: Train Epoch 10: 40/410 Loss: 0.361474
2026-08-17 15:52: Train Epoch 10: 60/410 Loss: 0.374063
2026-08-17 15:52: Train Epoch 10: 80/410 Loss: 0.377924
2026-08-17 15:52: Train Epoch 10: 100/410 Loss: 0.370667
2026-08-17 15:52: Train Epoch 10: 120/410 Loss: 0.369687
2026-08-17 15:53: Train Epoch 10: 140/410 Loss: 0.357336
2026-08-17 15:53: Train Epoch 10: 160/410 Loss: 0.359880
2026-08-17 15:53: Train Epoch 10: 180/410 Loss: 0.379019
