Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial3_20260817195731/run.log
2026-08-17 19:57: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial3_20260817195731
2026-08-17 19:57: Train Epoch 1: 0/410 Loss: 0.889850
2026-08-17 19:57: Train Epoch 1: 20/410 Loss: 0.906134
2026-08-17 19:57: Train Epoch 1: 40/410 Loss: 0.920966
2026-08-17 19:57: Train Epoch 1: 60/410 Loss: 0.886206
2026-08-17 19:57: Train Epoch 1: 80/410 Loss: 0.959304
2026-08-17 19:57: Train Epoch 1: 100/410 Loss: 0.932361
2026-08-17 19:57: Train Epoch 1: 120/410 Loss: 0.853316
2026-08-17 19:57: Train Epoch 1: 140/410 Loss: 0.899067
2026-08-17 19:57: Train Epoch 1: 160/410 Loss: 0.910040
2026-08-17 19:57: Train Epoch 1: 180/410 Loss: 0.929858
2026-08-17 19:58: Train Epoch 1: 200/410 Loss: 0.860549
2026-08-17 19:58: Train Epoch 1: 220/410 Loss: 0.858326
2026-08-17 19:58: Train Epoch 1: 240/410 Loss: 0.843504
2026-08-17 19:58: Train Epoch 1: 260/410 Loss: 0.841894
2026-08-17 19:58: Train Epoch 1: 280/410 Loss: 0.804696
2026-08-17 19:58: Train Epoch 1: 300/410 Loss: 0.798045
2026-08-17 19:58: Train Epoch 1: 320/410 Loss: 0.810441
2026-08-17 19:58: Train Epoch 1: 340/410 Loss: 0.786250
2026-08-17 19:58: Train Epoch 1: 360/410 Loss: 0.757149
2026-08-17 19:58: Train Epoch 1: 380/410 Loss: 0.743516
2026-08-17 19:58: Train Epoch 1: 400/410 Loss: 0.771030
2026-08-17 19:58: **********Train Epoch 1: averaged Loss: 0.848791, tf_ratio: 1.000000
2026-08-17 19:58: **********Val Epoch 1: average Loss: 0.729680
2026-08-17 19:58: *********************************Current best model saved!
2026-08-17 19:58: Train Epoch 2: 0/410 Loss: 0.731351
2026-08-17 19:58: Train Epoch 2: 20/410 Loss: 0.719839
2026-08-17 19:58: Train Epoch 2: 40/410 Loss: 0.749120
2026-08-17 19:58: Train Epoch 2: 60/410 Loss: 0.713342
2026-08-17 19:58: Train Epoch 2: 80/410 Loss: 0.734052
2026-08-17 19:58: Train Epoch 2: 100/410 Loss: 0.700388
2026-08-17 19:58: Train Epoch 2: 120/410 Loss: 0.730298
2026-08-17 19:58: Train Epoch 2: 140/410 Loss: 0.698497
2026-08-17 19:58: Train Epoch 2: 160/410 Loss: 0.695902
2026-08-17 19:59: Train Epoch 2: 180/410 Loss: 0.704375
