Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial4_20260817204928/run.log
2026-08-17 20:49: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial4_20260817204928
2026-08-17 20:49: Train Epoch 1: 0/821 Loss: 0.988995
2026-08-17 20:49: Train Epoch 1: 20/821 Loss: 0.632975
2026-08-17 20:49: Train Epoch 1: 40/821 Loss: 0.492173
2026-08-17 20:49: Train Epoch 1: 60/821 Loss: 0.431351
2026-08-17 20:49: Train Epoch 1: 80/821 Loss: 0.412368
2026-08-17 20:49: Train Epoch 1: 100/821 Loss: 0.388344
2026-08-17 20:49: Train Epoch 1: 120/821 Loss: 0.395914
2026-08-17 20:49: Train Epoch 1: 140/821 Loss: 0.354434
2026-08-17 20:49: Train Epoch 1: 160/821 Loss: 0.380540
2026-08-17 20:49: Train Epoch 1: 180/821 Loss: 0.383203
2026-08-17 20:49: Train Epoch 1: 200/821 Loss: 0.378577
2026-08-17 20:49: Train Epoch 1: 220/821 Loss: 0.353904
2026-08-17 20:49: Train Epoch 1: 240/821 Loss: 0.390854
2026-08-17 20:49: Train Epoch 1: 260/821 Loss: 0.362511
2026-08-17 20:49: Train Epoch 1: 280/821 Loss: 0.374205
2026-08-17 20:49: Train Epoch 1: 300/821 Loss: 0.367624
2026-08-17 20:49: Train Epoch 1: 320/821 Loss: 0.373046
2026-08-17 20:49: Train Epoch 1: 340/821 Loss: 0.370740
2026-08-17 20:49: Train Epoch 1: 360/821 Loss: 0.377514
2026-08-17 20:49: Train Epoch 1: 380/821 Loss: 0.352847
2026-08-17 20:50: Train Epoch 1: 400/821 Loss: 0.373981
2026-08-17 20:50: Train Epoch 1: 420/821 Loss: 0.349040
2026-08-17 20:50: Train Epoch 1: 440/821 Loss: 0.360045
2026-08-17 20:50: Train Epoch 1: 460/821 Loss: 0.357516
2026-08-17 20:50: Train Epoch 1: 480/821 Loss: 0.355961
2026-08-17 20:50: Train Epoch 1: 500/821 Loss: 0.358208
2026-08-17 20:50: Train Epoch 1: 520/821 Loss: 0.345989
2026-08-17 20:50: Train Epoch 1: 540/821 Loss: 0.370782
2026-08-17 20:50: Train Epoch 1: 560/821 Loss: 0.347776
2026-08-17 20:50: Train Epoch 1: 580/821 Loss: 0.366069
2026-08-17 20:50: Train Epoch 1: 600/821 Loss: 0.339781
2026-08-17 20:50: Train Epoch 1: 620/821 Loss: 0.360216
2026-08-17 20:50: Train Epoch 1: 640/821 Loss: 0.346838
2026-08-17 20:50: Train Epoch 1: 660/821 Loss: 0.341253
2026-08-17 20:50: Train Epoch 1: 680/821 Loss: 0.350902
