Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial5_20260817211254/run.log
2026-08-17 21:12: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial5_20260817211254
2026-08-17 21:12: Train Epoch 1: 0/1642 Loss: 0.852460
2026-08-17 21:12: Train Epoch 1: 20/1642 Loss: 0.871480
2026-08-17 21:12: Train Epoch 1: 40/1642 Loss: 0.695324
2026-08-17 21:12: Train Epoch 1: 60/1642 Loss: 0.687720
2026-08-17 21:12: Train Epoch 1: 80/1642 Loss: 0.699583
2026-08-17 21:12: Train Epoch 1: 100/1642 Loss: 0.621767
2026-08-17 21:13: Train Epoch 1: 120/1642 Loss: 0.577471
2026-08-17 21:13: Train Epoch 1: 140/1642 Loss: 0.494924
2026-08-17 21:13: Train Epoch 1: 160/1642 Loss: 0.503339
2026-08-17 21:13: Train Epoch 1: 180/1642 Loss: 0.488090
2026-08-17 21:13: Train Epoch 1: 200/1642 Loss: 0.471243
2026-08-17 21:13: Train Epoch 1: 220/1642 Loss: 0.450059
2026-08-17 21:13: Train Epoch 1: 240/1642 Loss: 0.415692
2026-08-17 21:13: Train Epoch 1: 260/1642 Loss: 0.460439
2026-08-17 21:13: Train Epoch 1: 280/1642 Loss: 0.412410
2026-08-17 21:13: Train Epoch 1: 300/1642 Loss: 0.436215
2026-08-17 21:13: Train Epoch 1: 320/1642 Loss: 0.397478
2026-08-17 21:13: Train Epoch 1: 340/1642 Loss: 0.404438
2026-08-17 21:13: Train Epoch 1: 360/1642 Loss: 0.416676
2026-08-17 21:13: Train Epoch 1: 380/1642 Loss: 0.404344
2026-08-17 21:13: Train Epoch 1: 400/1642 Loss: 0.397358
2026-08-17 21:13: Train Epoch 1: 420/1642 Loss: 0.412229
2026-08-17 21:13: Train Epoch 1: 440/1642 Loss: 0.395132
2026-08-17 21:13: Train Epoch 1: 460/1642 Loss: 0.392614
2026-08-17 21:13: Train Epoch 1: 480/1642 Loss: 0.403484
2026-08-17 21:13: Train Epoch 1: 500/1642 Loss: 0.381340
2026-08-17 21:13: Train Epoch 1: 520/1642 Loss: 0.377711
2026-08-17 21:13: Train Epoch 1: 540/1642 Loss: 0.383675
2026-08-17 21:13: Train Epoch 1: 560/1642 Loss: 0.394642
2026-08-17 21:13: Train Epoch 1: 580/1642 Loss: 0.392000
2026-08-17 21:13: Train Epoch 1: 600/1642 Loss: 0.362945
2026-08-17 21:13: Train Epoch 1: 620/1642 Loss: 0.356972
2026-08-17 21:13: Train Epoch 1: 640/1642 Loss: 0.379398
2026-08-17 21:13: Train Epoch 1: 660/1642 Loss: 0.372558
2026-08-17 21:13: Train Epoch 1: 680/1642 Loss: 0.375496
2026-08-17 21:13: Train Epoch 1: 700/1642 Loss: 0.394113
2026-08-17 21:13: Train Epoch 1: 720/1642 Loss: 0.439888
2026-08-17 21:13: Train Epoch 1: 740/1642 Loss: 0.385928
2026-08-17 21:13: Train Epoch 1: 760/1642 Loss: 0.390511
2026-08-17 21:13: Train Epoch 1: 780/1642 Loss: 0.371291
2026-08-17 21:13: Train Epoch 1: 800/1642 Loss: 0.389794
2026-08-17 21:13: Train Epoch 1: 820/1642 Loss: 0.336099
2026-08-17 21:13: Train Epoch 1: 840/1642 Loss: 0.371205
