Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial6_20260817213924/run.log
2026-08-17 21:39: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial6_20260817213924
2026-08-17 21:39: Train Epoch 1: 0/820 Loss: 0.907272
2026-08-17 21:39: Train Epoch 1: 20/820 Loss: 0.928646
2026-08-17 21:39: Train Epoch 1: 40/820 Loss: 0.931283
2026-08-17 21:39: Train Epoch 1: 60/820 Loss: 0.774368
2026-08-17 21:39: Train Epoch 1: 80/820 Loss: 0.767733
2026-08-17 21:39: Train Epoch 1: 100/820 Loss: 0.694657
2026-08-17 21:39: Train Epoch 1: 120/820 Loss: 0.709325
2026-08-17 21:39: Train Epoch 1: 140/820 Loss: 0.717092
2026-08-17 21:39: Train Epoch 1: 160/820 Loss: 0.685263
2026-08-17 21:39: Train Epoch 1: 180/820 Loss: 0.680341
2026-08-17 21:39: Train Epoch 1: 200/820 Loss: 0.667789
2026-08-17 21:39: Train Epoch 1: 220/820 Loss: 0.661576
2026-08-17 21:40: Train Epoch 1: 240/820 Loss: 0.632627
2026-08-17 21:40: Train Epoch 1: 260/820 Loss: 0.630871
2026-08-17 21:40: Train Epoch 1: 280/820 Loss: 0.623443
2026-08-17 21:40: Train Epoch 1: 300/820 Loss: 0.596709
2026-08-17 21:40: Train Epoch 1: 320/820 Loss: 0.606346
2026-08-17 21:40: Train Epoch 1: 340/820 Loss: 0.606799
2026-08-17 21:40: Train Epoch 1: 360/820 Loss: 0.510442
2026-08-17 21:40: Train Epoch 1: 380/820 Loss: 0.522676
2026-08-17 21:40: Train Epoch 1: 400/820 Loss: 0.489045
2026-08-17 21:40: Train Epoch 1: 420/820 Loss: 0.455082
2026-08-17 21:40: Train Epoch 1: 440/820 Loss: 0.423581
2026-08-17 21:40: Train Epoch 1: 460/820 Loss: 0.445998
2026-08-17 21:40: Train Epoch 1: 480/820 Loss: 0.436894
2026-08-17 21:40: Train Epoch 1: 500/820 Loss: 0.408108
2026-08-17 21:40: Train Epoch 1: 520/820 Loss: 0.407298
2026-08-17 21:40: Train Epoch 1: 540/820 Loss: 0.413706
2026-08-17 21:40: Train Epoch 1: 560/820 Loss: 0.409422
2026-08-17 21:40: Train Epoch 1: 580/820 Loss: 0.427707
2026-08-17 21:40: Train Epoch 1: 600/820 Loss: 0.420767
2026-08-17 21:40: Train Epoch 1: 620/820 Loss: 0.403689
2026-08-17 21:40: Train Epoch 1: 640/820 Loss: 0.425051
2026-08-17 21:40: Train Epoch 1: 660/820 Loss: 0.393799
2026-08-17 21:41: Train Epoch 1: 680/820 Loss: 0.383955
2026-08-17 21:41: Train Epoch 1: 700/820 Loss: 0.390549
2026-08-17 21:41: Train Epoch 1: 720/820 Loss: 0.391401
2026-08-17 21:41: Train Epoch 1: 740/820 Loss: 0.400589
2026-08-17 21:41: Train Epoch 1: 760/820 Loss: 0.389339
2026-08-17 21:41: Train Epoch 1: 780/820 Loss: 0.381129
2026-08-17 21:41: Train Epoch 1: 800/820 Loss: 0.386485
2026-08-17 21:41: **********Train Epoch 1: averaged Loss: 0.540340, tf_ratio: 1.000000
2026-08-17 21:41: **********Val Epoch 1: average Loss: 0.380319
2026-08-17 21:41: *********************************Current best model saved!
2026-08-17 21:41: Train Epoch 2: 0/820 Loss: 0.373196
2026-08-17 21:41: Train Epoch 2: 20/820 Loss: 0.388989
2026-08-17 21:41: Train Epoch 2: 40/820 Loss: 0.384065
2026-08-17 21:41: Train Epoch 2: 60/820 Loss: 0.374141
2026-08-17 21:41: Train Epoch 2: 80/820 Loss: 0.359873
2026-08-17 21:41: Train Epoch 2: 100/820 Loss: 0.361039
2026-08-17 21:41: Train Epoch 2: 120/820 Loss: 0.376726
2026-08-17 21:41: Train Epoch 2: 140/820 Loss: 0.378360
2026-08-17 21:41: Train Epoch 2: 160/820 Loss: 0.388975
2026-08-17 21:41: Train Epoch 2: 180/820 Loss: 0.360284
2026-08-17 21:41: Train Epoch 2: 200/820 Loss: 0.395865
2026-08-17 21:42: Train Epoch 2: 220/820 Loss: 0.381696
2026-08-17 21:42: Train Epoch 2: 240/820 Loss: 0.361560
2026-08-17 21:42: Train Epoch 2: 260/820 Loss: 0.372535
2026-08-17 21:42: Train Epoch 2: 280/820 Loss: 0.376656
2026-08-17 21:42: Train Epoch 2: 300/820 Loss: 0.401618
2026-08-17 21:42: Train Epoch 2: 320/820 Loss: 0.371539
2026-08-17 21:42: Train Epoch 2: 340/820 Loss: 0.364883
2026-08-17 21:42: Train Epoch 2: 360/820 Loss: 0.373200
2026-08-17 21:42: Train Epoch 2: 380/820 Loss: 0.378383
2026-08-17 21:42: Train Epoch 2: 400/820 Loss: 0.376392
2026-08-17 21:42: Train Epoch 2: 420/820 Loss: 0.376463
2026-08-17 21:42: Train Epoch 2: 440/820 Loss: 0.351596
2026-08-17 21:42: Train Epoch 2: 460/820 Loss: 0.367403
2026-08-17 21:42: Train Epoch 2: 480/820 Loss: 0.357186
2026-08-17 21:42: Train Epoch 2: 500/820 Loss: 0.382829
2026-08-17 21:42: Train Epoch 2: 520/820 Loss: 0.361214
2026-08-17 21:42: Train Epoch 2: 540/820 Loss: 0.379368
2026-08-17 21:42: Train Epoch 2: 560/820 Loss: 0.345331
2026-08-17 21:42: Train Epoch 2: 580/820 Loss: 0.367555
2026-08-17 21:42: Train Epoch 2: 600/820 Loss: 0.335236
2026-08-17 21:42: Train Epoch 2: 620/820 Loss: 0.347942
2026-08-17 21:43: Train Epoch 2: 640/820 Loss: 0.362788
2026-08-17 21:43: Train Epoch 2: 660/820 Loss: 0.370731
2026-08-17 21:43: Train Epoch 2: 680/820 Loss: 0.371305
2026-08-17 21:43: Train Epoch 2: 700/820 Loss: 0.363515
2026-08-17 21:43: Train Epoch 2: 720/820 Loss: 0.360094
2026-08-17 21:43: Train Epoch 2: 740/820 Loss: 0.353789
2026-08-17 21:43: Train Epoch 2: 760/820 Loss: 0.360960
2026-08-17 21:43: Train Epoch 2: 780/820 Loss: 0.374948
2026-08-17 21:43: Train Epoch 2: 800/820 Loss: 0.343209
2026-08-17 21:43: **********Train Epoch 2: averaged Loss: 0.367882, tf_ratio: 1.000000
2026-08-17 21:43: **********Val Epoch 2: average Loss: 0.346603
2026-08-17 21:43: *********************************Current best model saved!
2026-08-17 21:43: Train Epoch 3: 0/820 Loss: 0.358746
2026-08-17 21:43: Train Epoch 3: 20/820 Loss: 0.360047
2026-08-17 21:43: Train Epoch 3: 40/820 Loss: 0.347020
2026-08-17 21:43: Train Epoch 3: 60/820 Loss: 0.365849
2026-08-17 21:43: Train Epoch 3: 80/820 Loss: 0.361253
2026-08-17 21:43: Train Epoch 3: 100/820 Loss: 0.331901
2026-08-17 21:43: Train Epoch 3: 120/820 Loss: 0.350469
2026-08-17 21:43: Train Epoch 3: 140/820 Loss: 0.341965
2026-08-17 21:44: Train Epoch 3: 160/820 Loss: 0.338241
2026-08-17 21:44: Train Epoch 3: 180/820 Loss: 0.352474
2026-08-17 21:44: Train Epoch 3: 200/820 Loss: 0.356475
2026-08-17 21:44: Train Epoch 3: 220/820 Loss: 0.336584
2026-08-17 21:44: Train Epoch 3: 240/820 Loss: 0.346338
2026-08-17 21:44: Train Epoch 3: 260/820 Loss: 0.343998
2026-08-17 21:44: Train Epoch 3: 280/820 Loss: 0.333177
2026-08-17 21:44: Train Epoch 3: 300/820 Loss: 0.341466
2026-08-17 21:44: Train Epoch 3: 320/820 Loss: 0.364346
2026-08-17 21:44: Train Epoch 3: 340/820 Loss: 0.352875
2026-08-17 21:44: Train Epoch 3: 360/820 Loss: 0.363996
2026-08-17 21:44: Train Epoch 3: 380/820 Loss: 0.331596
2026-08-17 21:44: Train Epoch 3: 400/820 Loss: 0.333918
2026-08-17 21:44: Train Epoch 3: 420/820 Loss: 0.348648
2026-08-17 21:44: Train Epoch 3: 440/820 Loss: 0.357691
2026-08-17 21:44: Train Epoch 3: 460/820 Loss: 0.358362
2026-08-17 21:44: Train Epoch 3: 480/820 Loss: 0.340060
2026-08-17 21:44: Train Epoch 3: 500/820 Loss: 0.359917
2026-08-17 21:44: Train Epoch 3: 520/820 Loss: 0.356744
2026-08-17 21:44: Train Epoch 3: 540/820 Loss: 0.355727
2026-08-17 21:44: Train Epoch 3: 560/820 Loss: 0.346814
2026-08-17 21:44: Train Epoch 3: 580/820 Loss: 0.339814
2026-08-17 21:45: Train Epoch 3: 600/820 Loss: 0.332028
2026-08-17 21:45: Train Epoch 3: 620/820 Loss: 0.348121
2026-08-17 21:45: Train Epoch 3: 640/820 Loss: 0.348941
2026-08-17 21:45: Train Epoch 3: 660/820 Loss: 0.337274
2026-08-17 21:45: Train Epoch 3: 680/820 Loss: 0.368580
2026-08-17 21:45: Train Epoch 3: 700/820 Loss: 0.365275
2026-08-17 21:45: Train Epoch 3: 720/820 Loss: 0.335761
2026-08-17 21:45: Train Epoch 3: 740/820 Loss: 0.331858
2026-08-17 21:45: Train Epoch 3: 760/820 Loss: 0.332568
2026-08-17 21:45: Train Epoch 3: 780/820 Loss: 0.335187
2026-08-17 21:45: Train Epoch 3: 800/820 Loss: 0.332940
2026-08-17 21:45: **********Train Epoch 3: averaged Loss: 0.347692, tf_ratio: 1.000000
