Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial7_20260817223056/run.log
2026-08-17 22:30: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial7_20260817223056
2026-08-17 22:30: Train Epoch 1: 0/410 Loss: 0.883279
2026-08-17 22:31: Train Epoch 1: 20/410 Loss: 0.506121
2026-08-17 22:31: Train Epoch 1: 40/410 Loss: 0.439000
2026-08-17 22:31: Train Epoch 1: 60/410 Loss: 0.395725
2026-08-17 22:31: Train Epoch 1: 80/410 Loss: 0.371038
2026-08-17 22:31: Train Epoch 1: 100/410 Loss: 0.360961
2026-08-17 22:31: Train Epoch 1: 120/410 Loss: 0.367203
2026-08-17 22:31: Train Epoch 1: 140/410 Loss: 0.351849
2026-08-17 22:31: Train Epoch 1: 160/410 Loss: 0.343248
2026-08-17 22:31: Train Epoch 1: 180/410 Loss: 0.359681
2026-08-17 22:31: Train Epoch 1: 200/410 Loss: 0.335164
2026-08-17 22:31: Train Epoch 1: 220/410 Loss: 0.352133
2026-08-17 22:31: Train Epoch 1: 240/410 Loss: 0.347965
2026-08-17 22:31: Train Epoch 1: 260/410 Loss: 0.349512
2026-08-17 22:31: Train Epoch 1: 280/410 Loss: 0.329593
2026-08-17 22:31: Train Epoch 1: 300/410 Loss: 0.345507
2026-08-17 22:31: Train Epoch 1: 320/410 Loss: 0.324966
2026-08-17 22:31: Train Epoch 1: 340/410 Loss: 0.322315
2026-08-17 22:31: Train Epoch 1: 360/410 Loss: 0.337796
2026-08-17 22:31: Train Epoch 1: 380/410 Loss: 0.329994
2026-08-17 22:31: Train Epoch 1: 400/410 Loss: 0.335844
2026-08-17 22:31: **********Train Epoch 1: averaged Loss: 0.372531, tf_ratio: 1.000000
2026-08-17 22:31: **********Val Epoch 1: average Loss: 0.322430
2026-08-17 22:31: *********************************Current best model saved!
2026-08-17 22:31: Train Epoch 2: 0/410 Loss: 0.323166
2026-08-17 22:32: Train Epoch 2: 20/410 Loss: 0.318180
2026-08-17 22:32: Train Epoch 2: 40/410 Loss: 0.320483
2026-08-17 22:32: Train Epoch 2: 60/410 Loss: 0.322815
2026-08-17 22:32: Train Epoch 2: 80/410 Loss: 0.323146
2026-08-17 22:32: Train Epoch 2: 100/410 Loss: 0.313695
2026-08-17 22:32: Train Epoch 2: 120/410 Loss: 0.320360
2026-08-17 22:32: Train Epoch 2: 140/410 Loss: 0.313850
2026-08-17 22:32: Train Epoch 2: 160/410 Loss: 0.308773
2026-08-17 22:32: Train Epoch 2: 180/410 Loss: 0.317223
2026-08-17 22:32: Train Epoch 2: 200/410 Loss: 0.337287
2026-08-17 22:32: Train Epoch 2: 220/410 Loss: 0.314367
2026-08-17 22:32: Train Epoch 2: 240/410 Loss: 0.312482
2026-08-17 22:32: Train Epoch 2: 260/410 Loss: 0.313553
2026-08-17 22:32: Train Epoch 2: 280/410 Loss: 0.311332
2026-08-17 22:32: Train Epoch 2: 300/410 Loss: 0.313960
2026-08-17 22:32: Train Epoch 2: 320/410 Loss: 0.320080
2026-08-17 22:32: Train Epoch 2: 340/410 Loss: 0.316435
2026-08-17 22:32: Train Epoch 2: 360/410 Loss: 0.318609
2026-08-17 22:32: Train Epoch 2: 380/410 Loss: 0.311753
2026-08-17 22:32: Train Epoch 2: 400/410 Loss: 0.309701
2026-08-17 22:32: **********Train Epoch 2: averaged Loss: 0.316845, tf_ratio: 1.000000
2026-08-17 22:32: **********Val Epoch 2: average Loss: 0.323136
2026-08-17 22:32: Train Epoch 3: 0/410 Loss: 0.312024
2026-08-17 22:32: Train Epoch 3: 20/410 Loss: 0.303007
2026-08-17 22:33: Train Epoch 3: 40/410 Loss: 0.305697
2026-08-17 22:33: Train Epoch 3: 60/410 Loss: 0.306406
2026-08-17 22:33: Train Epoch 3: 80/410 Loss: 0.307683
2026-08-17 22:33: Train Epoch 3: 100/410 Loss: 0.306546
2026-08-17 22:33: Train Epoch 3: 120/410 Loss: 0.305804
2026-08-17 22:33: Train Epoch 3: 140/410 Loss: 0.293826
2026-08-17 22:33: Train Epoch 3: 160/410 Loss: 0.299267
2026-08-17 22:33: Train Epoch 3: 180/410 Loss: 0.312026
2026-08-17 22:33: Train Epoch 3: 200/410 Loss: 0.308106
2026-08-17 22:33: Train Epoch 3: 220/410 Loss: 0.303870
2026-08-17 22:33: Train Epoch 3: 240/410 Loss: 0.311648
2026-08-17 22:33: Train Epoch 3: 260/410 Loss: 0.305937
2026-08-17 22:33: Train Epoch 3: 280/410 Loss: 0.301208
2026-08-17 22:33: Train Epoch 3: 300/410 Loss: 0.297645
2026-08-17 22:33: Train Epoch 3: 320/410 Loss: 0.285470
2026-08-17 22:33: Train Epoch 3: 340/410 Loss: 0.304481
2026-08-17 22:33: Train Epoch 3: 360/410 Loss: 0.289825
2026-08-17 22:33: Train Epoch 3: 380/410 Loss: 0.290960
2026-08-17 22:33: Train Epoch 3: 400/410 Loss: 0.294094
2026-08-17 22:33: **********Train Epoch 3: averaged Loss: 0.302769, tf_ratio: 1.000000
2026-08-17 22:33: **********Val Epoch 3: average Loss: 0.318197
2026-08-17 22:33: *********************************Current best model saved!
2026-08-17 22:33: Train Epoch 4: 0/410 Loss: 0.279820
2026-08-17 22:33: Train Epoch 4: 20/410 Loss: 0.295134
2026-08-17 22:33: Train Epoch 4: 40/410 Loss: 0.295265
2026-08-17 22:34: Train Epoch 4: 60/410 Loss: 0.298966
2026-08-17 22:34: Train Epoch 4: 80/410 Loss: 0.301337
2026-08-17 22:34: Train Epoch 4: 100/410 Loss: 0.275467
2026-08-17 22:34: Train Epoch 4: 120/410 Loss: 0.293560
2026-08-17 22:34: Train Epoch 4: 140/410 Loss: 0.302056
2026-08-17 22:34: Train Epoch 4: 160/410 Loss: 0.290879
2026-08-17 22:34: Train Epoch 4: 180/410 Loss: 0.280147
2026-08-17 22:34: Train Epoch 4: 200/410 Loss: 1.107189
2026-08-17 22:34: Train Epoch 4: 220/410 Loss: 0.833623
2026-08-17 22:34: Train Epoch 4: 240/410 Loss: 0.758091
2026-08-17 22:34: Train Epoch 4: 260/410 Loss: 0.752883
2026-08-17 22:34: Train Epoch 4: 280/410 Loss: 0.703923
2026-08-17 22:34: Train Epoch 4: 300/410 Loss: 0.727024
2026-08-17 22:34: Train Epoch 4: 320/410 Loss: 0.723173
2026-08-17 22:34: Train Epoch 4: 340/410 Loss: 0.725951
2026-08-17 22:34: Train Epoch 4: 360/410 Loss: 0.732035
2026-08-17 22:34: Train Epoch 4: 380/410 Loss: 0.713175
2026-08-17 22:34: Train Epoch 4: 400/410 Loss: 0.710824
2026-08-17 22:34: **********Train Epoch 4: averaged Loss: 0.532546, tf_ratio: 1.000000
2026-08-17 22:34: **********Val Epoch 4: average Loss: 0.705716
2026-08-17 22:34: Train Epoch 5: 0/410 Loss: 0.726967
2026-08-17 22:34: Train Epoch 5: 20/410 Loss: 0.736030
2026-08-17 22:34: Train Epoch 5: 40/410 Loss: 0.693701
2026-08-17 22:35: Train Epoch 5: 60/410 Loss: 0.737039
2026-08-17 22:35: Train Epoch 5: 80/410 Loss: 0.700935
2026-08-17 22:35: Train Epoch 5: 100/410 Loss: 0.722153
2026-08-17 22:35: Train Epoch 5: 120/410 Loss: 0.711206
2026-08-17 22:35: Train Epoch 5: 140/410 Loss: 0.749562
2026-08-17 22:35: Train Epoch 5: 160/410 Loss: 0.699718
2026-08-17 22:35: Train Epoch 5: 180/410 Loss: 0.720845
2026-08-17 22:35: Train Epoch 5: 200/410 Loss: 0.747247
2026-08-17 22:35: Train Epoch 5: 220/410 Loss: 0.725217
2026-08-17 22:35: Train Epoch 5: 240/410 Loss: 0.728520
2026-08-17 22:35: Train Epoch 5: 260/410 Loss: 0.722384
2026-08-17 22:35: Train Epoch 5: 280/410 Loss: 0.691077
2026-08-17 22:35: Train Epoch 5: 300/410 Loss: 0.731655
2026-08-17 22:35: Train Epoch 5: 320/410 Loss: 0.730014
2026-08-17 22:35: Train Epoch 5: 340/410 Loss: 0.753076
2026-08-17 22:35: Train Epoch 5: 360/410 Loss: 0.711000
2026-08-17 22:35: Train Epoch 5: 380/410 Loss: 0.720733
2026-08-17 22:35: Train Epoch 5: 400/410 Loss: 0.701329
2026-08-17 22:35: **********Train Epoch 5: averaged Loss: 0.722097, tf_ratio: 1.000000
2026-08-17 22:35: **********Val Epoch 5: average Loss: 0.707479
2026-08-17 22:35: Train Epoch 6: 0/410 Loss: 0.731479
2026-08-17 22:35: Train Epoch 6: 20/410 Loss: 0.688084
2026-08-17 22:35: Train Epoch 6: 40/410 Loss: 0.728062
2026-08-17 22:36: Train Epoch 6: 60/410 Loss: 0.720745
2026-08-17 22:36: Train Epoch 6: 80/410 Loss: 0.716198
2026-08-17 22:36: Train Epoch 6: 100/410 Loss: 0.731529
2026-08-17 22:36: Train Epoch 6: 120/410 Loss: 0.713093
2026-08-17 22:36: Train Epoch 6: 140/410 Loss: 0.735257
2026-08-17 22:36: Train Epoch 6: 160/410 Loss: 0.729239
2026-08-17 22:36: Train Epoch 6: 180/410 Loss: 0.722433
2026-08-17 22:36: Train Epoch 6: 200/410 Loss: 0.733432
2026-08-17 22:36: Train Epoch 6: 220/410 Loss: 0.722959
2026-08-17 22:36: Train Epoch 6: 240/410 Loss: 0.700887
2026-08-17 22:36: Train Epoch 6: 260/410 Loss: 0.709649
2026-08-17 22:36: Train Epoch 6: 280/410 Loss: 0.734594
2026-08-17 22:36: Train Epoch 6: 300/410 Loss: 0.721390
2026-08-17 22:36: Train Epoch 6: 320/410 Loss: 0.720679
2026-08-17 22:36: Train Epoch 6: 340/410 Loss: 0.728969
2026-08-17 22:36: Train Epoch 6: 360/410 Loss: 0.726641
2026-08-17 22:36: Train Epoch 6: 380/410 Loss: 0.708960
2026-08-17 22:36: Train Epoch 6: 400/410 Loss: 0.714216
2026-08-17 22:36: **********Train Epoch 6: averaged Loss: 0.721901, tf_ratio: 1.000000
2026-08-17 22:36: **********Val Epoch 6: average Loss: 0.701751
2026-08-17 22:36: Train Epoch 7: 0/410 Loss: 0.716934
2026-08-17 22:36: Train Epoch 7: 20/410 Loss: 0.709815
2026-08-17 22:36: Train Epoch 7: 40/410 Loss: 0.717146
2026-08-17 22:36: Train Epoch 7: 60/410 Loss: 0.707888
2026-08-17 22:37: Train Epoch 7: 80/410 Loss: 0.737126
2026-08-17 22:37: Train Epoch 7: 100/410 Loss: 0.717734
2026-08-17 22:37: Train Epoch 7: 120/410 Loss: 0.720033
2026-08-17 22:37: Train Epoch 7: 140/410 Loss: 0.695083
2026-08-17 22:37: Train Epoch 7: 160/410 Loss: 0.715479
2026-08-17 22:37: Train Epoch 7: 180/410 Loss: 0.710474
2026-08-17 22:37: Train Epoch 7: 200/410 Loss: 0.712861
2026-08-17 22:37: Train Epoch 7: 220/410 Loss: 0.734209
2026-08-17 22:37: Train Epoch 7: 240/410 Loss: 0.735208
2026-08-17 22:37: Train Epoch 7: 260/410 Loss: 0.738388
2026-08-17 22:37: Train Epoch 7: 280/410 Loss: 0.699217
2026-08-17 22:37: Train Epoch 7: 300/410 Loss: 0.718126
2026-08-17 22:37: Train Epoch 7: 320/410 Loss: 0.713614
2026-08-17 22:37: Train Epoch 7: 340/410 Loss: 0.739093
2026-08-17 22:37: Train Epoch 7: 360/410 Loss: 0.754672
2026-08-17 22:37: Train Epoch 7: 380/410 Loss: 0.699119
2026-08-17 22:37: Train Epoch 7: 400/410 Loss: 0.732792
2026-08-17 22:37: **********Train Epoch 7: averaged Loss: 0.721032, tf_ratio: 1.000000
2026-08-17 22:37: **********Val Epoch 7: average Loss: 0.701793
2026-08-17 22:37: Train Epoch 8: 0/410 Loss: 0.747606
2026-08-17 22:37: Train Epoch 8: 20/410 Loss: 0.731487
2026-08-17 22:37: Train Epoch 8: 40/410 Loss: 0.714442
2026-08-17 22:37: Train Epoch 8: 60/410 Loss: 0.749727
2026-08-17 22:37: Train Epoch 8: 80/410 Loss: 0.722697
2026-08-17 22:38: Train Epoch 8: 100/410 Loss: 0.707787
2026-08-17 22:38: Train Epoch 8: 120/410 Loss: 0.739347
2026-08-17 22:38: Train Epoch 8: 140/410 Loss: 0.741155
2026-08-17 22:38: Train Epoch 8: 160/410 Loss: 0.711471
2026-08-17 22:38: Train Epoch 8: 180/410 Loss: 0.732609
2026-08-17 22:38: Train Epoch 8: 200/410 Loss: 0.723489
2026-08-17 22:38: Train Epoch 8: 220/410 Loss: 0.697775
2026-08-17 22:38: Train Epoch 8: 240/410 Loss: 0.738806
2026-08-17 22:38: Train Epoch 8: 260/410 Loss: 0.726761
2026-08-17 22:38: Train Epoch 8: 280/410 Loss: 0.704639
2026-08-17 22:38: Train Epoch 8: 300/410 Loss: 0.739305
2026-08-17 22:38: Train Epoch 8: 320/410 Loss: 0.717395
2026-08-17 22:38: Train Epoch 8: 340/410 Loss: 0.697571
2026-08-17 22:38: Train Epoch 8: 360/410 Loss: 0.723086
2026-08-17 22:38: Train Epoch 8: 380/410 Loss: 0.717841
2026-08-17 22:38: Train Epoch 8: 400/410 Loss: 0.718641
2026-08-17 22:38: **********Train Epoch 8: averaged Loss: 0.720725, tf_ratio: 1.000000
2026-08-17 22:38: **********Val Epoch 8: average Loss: 0.705905
2026-08-17 22:38: Train Epoch 9: 0/410 Loss: 0.718338
2026-08-17 22:38: Train Epoch 9: 20/410 Loss: 0.706544
2026-08-17 22:38: Train Epoch 9: 40/410 Loss: 0.701987
2026-08-17 22:38: Train Epoch 9: 60/410 Loss: 0.722095
2026-08-17 22:38: Train Epoch 9: 80/410 Loss: 0.700999
2026-08-17 22:39: Train Epoch 9: 100/410 Loss: 0.716346
2026-08-17 22:39: Train Epoch 9: 120/410 Loss: 0.706469
2026-08-17 22:39: Train Epoch 9: 140/410 Loss: 0.694133
2026-08-17 22:39: Train Epoch 9: 160/410 Loss: 0.732570
2026-08-17 22:39: Train Epoch 9: 180/410 Loss: 0.694730
2026-08-17 22:39: Train Epoch 9: 200/410 Loss: 0.737278
2026-08-17 22:39: Train Epoch 9: 220/410 Loss: 0.713445
2026-08-17 22:39: Train Epoch 9: 240/410 Loss: 0.711168
2026-08-17 22:39: Train Epoch 9: 260/410 Loss: 0.720946
2026-08-17 22:39: Train Epoch 9: 280/410 Loss: 0.716376
2026-08-17 22:39: Train Epoch 9: 300/410 Loss: 0.727372
2026-08-17 22:39: Train Epoch 9: 320/410 Loss: 0.682921
