Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial9_20260817233612/run.log
2026-08-17 23:36: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial9_20260817233612
2026-08-17 23:36: Train Epoch 1: 0/410 Loss: 0.880325
2026-08-17 23:36: Train Epoch 1: 20/410 Loss: 0.683508
2026-08-17 23:36: Train Epoch 1: 40/410 Loss: 0.536665
2026-08-17 23:36: Train Epoch 1: 60/410 Loss: 0.434197
2026-08-17 23:36: Train Epoch 1: 80/410 Loss: 0.410684
2026-08-17 23:36: Train Epoch 1: 100/410 Loss: 0.400302
2026-08-17 23:36: Train Epoch 1: 120/410 Loss: 0.403371
2026-08-17 23:36: Train Epoch 1: 140/410 Loss: 0.378100
2026-08-17 23:36: Train Epoch 1: 160/410 Loss: 0.385771
2026-08-17 23:36: Train Epoch 1: 180/410 Loss: 0.401831
2026-08-17 23:36: Train Epoch 1: 200/410 Loss: 0.371801
2026-08-17 23:36: Train Epoch 1: 220/410 Loss: 0.382642
2026-08-17 23:36: Train Epoch 1: 240/410 Loss: 0.371186
2026-08-17 23:36: Train Epoch 1: 260/410 Loss: 0.367741
2026-08-17 23:36: Train Epoch 1: 280/410 Loss: 0.381394
2026-08-17 23:36: Train Epoch 1: 300/410 Loss: 0.382301
2026-08-17 23:36: Train Epoch 1: 320/410 Loss: 0.362193
2026-08-17 23:36: Train Epoch 1: 340/410 Loss: 0.366729
2026-08-17 23:37: Train Epoch 1: 360/410 Loss: 0.362108
2026-08-17 23:37: Train Epoch 1: 380/410 Loss: 0.355663
2026-08-17 23:37: Train Epoch 1: 400/410 Loss: 0.382661
2026-08-17 23:37: **********Train Epoch 1: averaged Loss: 0.419468, tf_ratio: 1.000000
2026-08-17 23:37: **********Val Epoch 1: average Loss: 0.361579
2026-08-17 23:37: *********************************Current best model saved!
2026-08-17 23:37: Train Epoch 2: 0/410 Loss: 0.388600
2026-08-17 23:37: Train Epoch 2: 20/410 Loss: 0.354729
2026-08-17 23:37: Train Epoch 2: 40/410 Loss: 0.349068
2026-08-17 23:37: Train Epoch 2: 60/410 Loss: 0.361623
2026-08-17 23:37: Train Epoch 2: 80/410 Loss: 0.353736
2026-08-17 23:37: Train Epoch 2: 100/410 Loss: 0.367199
2026-08-17 23:37: Train Epoch 2: 120/410 Loss: 0.358725
2026-08-17 23:37: Train Epoch 2: 140/410 Loss: 0.372338
2026-08-17 23:37: Train Epoch 2: 160/410 Loss: 0.357788
2026-08-17 23:37: Train Epoch 2: 180/410 Loss: 0.360644
2026-08-17 23:37: Train Epoch 2: 200/410 Loss: 0.345071
2026-08-17 23:37: Train Epoch 2: 220/410 Loss: 0.345304
2026-08-17 23:37: Train Epoch 2: 240/410 Loss: 0.373696
2026-08-17 23:37: Train Epoch 2: 260/410 Loss: 0.346691
2026-08-17 23:37: Train Epoch 2: 280/410 Loss: 0.354339
2026-08-17 23:37: Train Epoch 2: 300/410 Loss: 0.356548
2026-08-17 23:37: Train Epoch 2: 320/410 Loss: 0.343778
2026-08-17 23:37: Train Epoch 2: 340/410 Loss: 0.359112
2026-08-17 23:38: Train Epoch 2: 360/410 Loss: 0.360930
2026-08-17 23:38: Train Epoch 2: 380/410 Loss: 0.353543
2026-08-17 23:38: Train Epoch 2: 400/410 Loss: 0.361260
2026-08-17 23:38: **********Train Epoch 2: averaged Loss: 0.358662, tf_ratio: 1.000000
2026-08-17 23:38: **********Val Epoch 2: average Loss: 0.344031
2026-08-17 23:38: *********************************Current best model saved!
2026-08-17 23:38: Train Epoch 3: 0/410 Loss: 0.349227
2026-08-17 23:38: Train Epoch 3: 20/410 Loss: 0.360208
2026-08-17 23:38: Train Epoch 3: 40/410 Loss: 0.347460
2026-08-17 23:38: Train Epoch 3: 60/410 Loss: 0.352593
2026-08-17 23:38: Train Epoch 3: 80/410 Loss: 0.353254
2026-08-17 23:38: Train Epoch 3: 100/410 Loss: 0.348815
2026-08-17 23:38: Train Epoch 3: 120/410 Loss: 0.354539
2026-08-17 23:38: Train Epoch 3: 140/410 Loss: 0.366020
2026-08-17 23:38: Train Epoch 3: 160/410 Loss: 0.349739
2026-08-17 23:38: Train Epoch 3: 180/410 Loss: 0.350922
2026-08-17 23:38: Train Epoch 3: 200/410 Loss: 0.363950
2026-08-17 23:38: Train Epoch 3: 220/410 Loss: 0.360424
2026-08-17 23:38: Train Epoch 3: 240/410 Loss: 0.355844
2026-08-17 23:38: Train Epoch 3: 260/410 Loss: 0.345976
2026-08-17 23:38: Train Epoch 3: 280/410 Loss: 0.350591
2026-08-17 23:38: Train Epoch 3: 300/410 Loss: 0.343892
2026-08-17 23:38: Train Epoch 3: 320/410 Loss: 0.360151
2026-08-17 23:38: Train Epoch 3: 340/410 Loss: 0.353072
2026-08-17 23:38: Train Epoch 3: 360/410 Loss: 0.343124
2026-08-17 23:39: Train Epoch 3: 380/410 Loss: 0.358530
2026-08-17 23:39: Train Epoch 3: 400/410 Loss: 0.351972
2026-08-17 23:39: **********Train Epoch 3: averaged Loss: 0.350704, tf_ratio: 1.000000
2026-08-17 23:39: **********Val Epoch 3: average Loss: 0.347135
2026-08-17 23:39: Train Epoch 4: 0/410 Loss: 0.349335
2026-08-17 23:39: Train Epoch 4: 20/410 Loss: 0.349091
2026-08-17 23:39: Train Epoch 4: 40/410 Loss: 0.347516
2026-08-17 23:39: Train Epoch 4: 60/410 Loss: 0.342568
2026-08-17 23:39: Train Epoch 4: 80/410 Loss: 0.355252
2026-08-17 23:39: Train Epoch 4: 100/410 Loss: 0.352061
2026-08-17 23:39: Train Epoch 4: 120/410 Loss: 0.346248
2026-08-17 23:39: Train Epoch 4: 140/410 Loss: 0.343881
2026-08-17 23:39: Train Epoch 4: 160/410 Loss: 0.345237
2026-08-17 23:39: Train Epoch 4: 180/410 Loss: 0.352714
2026-08-17 23:39: Train Epoch 4: 200/410 Loss: 0.339924
2026-08-17 23:39: Train Epoch 4: 220/410 Loss: 0.350603
2026-08-17 23:39: Train Epoch 4: 240/410 Loss: 0.350135
2026-08-17 23:39: Train Epoch 4: 260/410 Loss: 0.350341
2026-08-17 23:39: Train Epoch 4: 280/410 Loss: 0.352365
2026-08-17 23:39: Train Epoch 4: 300/410 Loss: 0.335090
2026-08-17 23:39: Train Epoch 4: 320/410 Loss: 0.341938
2026-08-17 23:39: Train Epoch 4: 340/410 Loss: 0.357867
2026-08-17 23:39: Train Epoch 4: 360/410 Loss: 0.333691
2026-08-17 23:40: Train Epoch 4: 380/410 Loss: 0.337982
2026-08-17 23:40: Train Epoch 4: 400/410 Loss: 0.342466
2026-08-17 23:40: **********Train Epoch 4: averaged Loss: 0.346562, tf_ratio: 1.000000
2026-08-17 23:40: **********Val Epoch 4: average Loss: 0.339878
2026-08-17 23:40: *********************************Current best model saved!
2026-08-17 23:40: Train Epoch 5: 0/410 Loss: 0.339953
2026-08-17 23:40: Train Epoch 5: 20/410 Loss: 0.341666
2026-08-17 23:40: Train Epoch 5: 40/410 Loss: 0.341012
2026-08-17 23:40: Train Epoch 5: 60/410 Loss: 0.345537
2026-08-17 23:40: Train Epoch 5: 80/410 Loss: 0.359610
2026-08-17 23:40: Train Epoch 5: 100/410 Loss: 0.337468
2026-08-17 23:40: Train Epoch 5: 120/410 Loss: 0.338831
2026-08-17 23:40: Train Epoch 5: 140/410 Loss: 0.336030
2026-08-17 23:40: Train Epoch 5: 160/410 Loss: 0.354228
2026-08-17 23:40: Train Epoch 5: 180/410 Loss: 0.336007
2026-08-17 23:40: Train Epoch 5: 200/410 Loss: 0.341468
2026-08-17 23:40: Train Epoch 5: 220/410 Loss: 0.352960
2026-08-17 23:40: Train Epoch 5: 240/410 Loss: 0.350494
2026-08-17 23:40: Train Epoch 5: 260/410 Loss: 0.342456
2026-08-17 23:40: Train Epoch 5: 280/410 Loss: 0.345069
2026-08-17 23:40: Train Epoch 5: 300/410 Loss: 0.331411
2026-08-17 23:40: Train Epoch 5: 320/410 Loss: 0.349531
2026-08-17 23:40: Train Epoch 5: 340/410 Loss: 0.330642
2026-08-17 23:40: Train Epoch 5: 360/410 Loss: 0.338988
2026-08-17 23:40: Train Epoch 5: 380/410 Loss: 0.340362
2026-08-17 23:41: Train Epoch 5: 400/410 Loss: 0.334214
2026-08-17 23:41: **********Train Epoch 5: averaged Loss: 0.343662, tf_ratio: 1.000000
2026-08-17 23:41: **********Val Epoch 5: average Loss: 0.337713
2026-08-17 23:41: *********************************Current best model saved!
2026-08-17 23:41: Train Epoch 6: 0/410 Loss: 0.348145
2026-08-17 23:41: Train Epoch 6: 20/410 Loss: 0.335384
2026-08-17 23:41: Train Epoch 6: 40/410 Loss: 0.345454
2026-08-17 23:41: Train Epoch 6: 60/410 Loss: 0.334937
2026-08-17 23:41: Train Epoch 6: 80/410 Loss: 0.332305
2026-08-17 23:41: Train Epoch 6: 100/410 Loss: 0.333196
2026-08-17 23:41: Train Epoch 6: 120/410 Loss: 0.350618
2026-08-17 23:41: Train Epoch 6: 140/410 Loss: 0.321445
2026-08-17 23:41: Train Epoch 6: 160/410 Loss: 0.345727
2026-08-17 23:41: Train Epoch 6: 180/410 Loss: 0.354261
2026-08-17 23:41: Train Epoch 6: 200/410 Loss: 0.353255
2026-08-17 23:41: Train Epoch 6: 220/410 Loss: 0.349604
2026-08-17 23:41: Train Epoch 6: 240/410 Loss: 0.343262
2026-08-17 23:41: Train Epoch 6: 260/410 Loss: 0.338495
2026-08-17 23:41: Train Epoch 6: 280/410 Loss: 0.348815
2026-08-17 23:41: Train Epoch 6: 300/410 Loss: 0.344921
2026-08-17 23:41: Train Epoch 6: 320/410 Loss: 0.353891
2026-08-17 23:41: Train Epoch 6: 340/410 Loss: 0.345647
2026-08-17 23:41: Train Epoch 6: 360/410 Loss: 0.335808
2026-08-17 23:41: Train Epoch 6: 380/410 Loss: 0.328448
2026-08-17 23:41: Train Epoch 6: 400/410 Loss: 0.335429
2026-08-17 23:42: **********Train Epoch 6: averaged Loss: 0.342170, tf_ratio: 1.000000
2026-08-17 23:42: **********Val Epoch 6: average Loss: 0.338293
2026-08-17 23:42: Train Epoch 7: 0/410 Loss: 0.344604
2026-08-17 23:42: Train Epoch 7: 20/410 Loss: 0.326705
2026-08-17 23:42: Train Epoch 7: 40/410 Loss: 0.343550
2026-08-17 23:42: Train Epoch 7: 60/410 Loss: 0.350189
2026-08-17 23:42: Train Epoch 7: 80/410 Loss: 0.349104
2026-08-17 23:42: Train Epoch 7: 100/410 Loss: 0.346112
2026-08-17 23:42: Train Epoch 7: 120/410 Loss: 0.342160
2026-08-17 23:42: Train Epoch 7: 140/410 Loss: 0.335274
2026-08-17 23:42: Train Epoch 7: 160/410 Loss: 0.357825
2026-08-17 23:42: Train Epoch 7: 180/410 Loss: 0.329352
2026-08-17 23:42: Train Epoch 7: 200/410 Loss: 0.340372
2026-08-17 23:42: Train Epoch 7: 220/410 Loss: 0.342138
2026-08-17 23:42: Train Epoch 7: 240/410 Loss: 0.342169
2026-08-17 23:42: Train Epoch 7: 260/410 Loss: 0.325748
2026-08-17 23:42: Train Epoch 7: 280/410 Loss: 0.342162
2026-08-17 23:42: Train Epoch 7: 300/410 Loss: 0.345811
2026-08-17 23:42: Train Epoch 7: 320/410 Loss: 0.342128
2026-08-17 23:42: Train Epoch 7: 340/410 Loss: 0.326420
2026-08-17 23:42: Train Epoch 7: 360/410 Loss: 0.342303
2026-08-17 23:42: Train Epoch 7: 380/410 Loss: 0.327704
2026-08-17 23:42: Train Epoch 7: 400/410 Loss: 0.343852
2026-08-17 23:42: **********Train Epoch 7: averaged Loss: 0.338680, tf_ratio: 1.000000
2026-08-17 23:43: **********Val Epoch 7: average Loss: 0.336639
2026-08-17 23:43: *********************************Current best model saved!
2026-08-17 23:43: Train Epoch 8: 0/410 Loss: 0.339436
2026-08-17 23:43: Train Epoch 8: 20/410 Loss: 0.340983
2026-08-17 23:43: Train Epoch 8: 40/410 Loss: 0.339066
2026-08-17 23:43: Train Epoch 8: 60/410 Loss: 0.336940
2026-08-17 23:43: Train Epoch 8: 80/410 Loss: 0.338880
2026-08-17 23:43: Train Epoch 8: 100/410 Loss: 0.332315
2026-08-17 23:43: Train Epoch 8: 120/410 Loss: 0.355252
