Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial11_20260818013754/run.log
2026-08-18 01:37: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial11_20260818013754
2026-08-18 01:37: Train Epoch 1: 0/1641 Loss: 0.869661
2026-08-18 01:38: Train Epoch 1: 20/1641 Loss: 0.843046
2026-08-18 01:38: Train Epoch 1: 40/1641 Loss: 0.741272
2026-08-18 01:38: Train Epoch 1: 60/1641 Loss: 0.740764
2026-08-18 01:38: Train Epoch 1: 80/1641 Loss: 0.698952
2026-08-18 01:38: Train Epoch 1: 100/1641 Loss: 0.643071
2026-08-18 01:38: Train Epoch 1: 120/1641 Loss: 0.637244
2026-08-18 01:38: Train Epoch 1: 140/1641 Loss: 0.615518
2026-08-18 01:38: Train Epoch 1: 160/1641 Loss: 0.646301
2026-08-18 01:38: Train Epoch 1: 180/1641 Loss: 0.644304
2026-08-18 01:38: Train Epoch 1: 200/1641 Loss: 0.556546
2026-08-18 01:38: Train Epoch 1: 220/1641 Loss: 0.590015
2026-08-18 01:38: Train Epoch 1: 240/1641 Loss: 0.570363
2026-08-18 01:38: Train Epoch 1: 260/1641 Loss: 0.501767
2026-08-18 01:38: Train Epoch 1: 280/1641 Loss: 0.426796
2026-08-18 01:38: Train Epoch 1: 300/1641 Loss: 0.416547
2026-08-18 01:38: Train Epoch 1: 320/1641 Loss: 0.453436
2026-08-18 01:39: Train Epoch 1: 340/1641 Loss: 0.415134
2026-08-18 01:39: Train Epoch 1: 360/1641 Loss: 0.382490
2026-08-18 01:39: Train Epoch 1: 380/1641 Loss: 0.393098
2026-08-18 01:39: Train Epoch 1: 400/1641 Loss: 0.394073
2026-08-18 01:39: Train Epoch 1: 420/1641 Loss: 0.449439
2026-08-18 01:39: Train Epoch 1: 440/1641 Loss: 0.412180
2026-08-18 01:39: Train Epoch 1: 460/1641 Loss: 0.404374
2026-08-18 01:39: Train Epoch 1: 480/1641 Loss: 0.374371
2026-08-18 01:39: Train Epoch 1: 500/1641 Loss: 0.368332
2026-08-18 01:39: Train Epoch 1: 520/1641 Loss: 0.381448
2026-08-18 01:39: Train Epoch 1: 540/1641 Loss: 0.391952
2026-08-18 01:39: Train Epoch 1: 560/1641 Loss: 0.393483
2026-08-18 01:39: Train Epoch 1: 580/1641 Loss: 0.396840
2026-08-18 01:39: Train Epoch 1: 600/1641 Loss: 0.365587
2026-08-18 01:39: Train Epoch 1: 620/1641 Loss: 0.397935
2026-08-18 01:39: Train Epoch 1: 640/1641 Loss: 0.370048
2026-08-18 01:40: Train Epoch 1: 660/1641 Loss: 0.383504
2026-08-18 01:40: Train Epoch 1: 680/1641 Loss: 0.338184
2026-08-18 01:40: Train Epoch 1: 700/1641 Loss: 0.383331
2026-08-18 01:40: Train Epoch 1: 720/1641 Loss: 0.358367
2026-08-18 01:40: Train Epoch 1: 740/1641 Loss: 0.337259
2026-08-18 01:40: Train Epoch 1: 760/1641 Loss: 0.386448
2026-08-18 01:40: Train Epoch 1: 780/1641 Loss: 0.363574
2026-08-18 01:40: Train Epoch 1: 800/1641 Loss: 0.376149
2026-08-18 01:40: Train Epoch 1: 820/1641 Loss: 0.357362
2026-08-18 01:40: Train Epoch 1: 840/1641 Loss: 0.364397
2026-08-18 01:40: Train Epoch 1: 860/1641 Loss: 0.358517
2026-08-18 01:40: Train Epoch 1: 880/1641 Loss: 0.348482
2026-08-18 01:40: Train Epoch 1: 900/1641 Loss: 0.357409
2026-08-18 01:40: Train Epoch 1: 920/1641 Loss: 0.367801
2026-08-18 01:40: Train Epoch 1: 940/1641 Loss: 0.360805
2026-08-18 01:40: Train Epoch 1: 960/1641 Loss: 0.362266
2026-08-18 01:41: Train Epoch 1: 980/1641 Loss: 0.378343
2026-08-18 01:41: Train Epoch 1: 1000/1641 Loss: 0.374986
2026-08-18 01:41: Train Epoch 1: 1020/1641 Loss: 0.364093
2026-08-18 01:41: Train Epoch 1: 1040/1641 Loss: 0.365980
2026-08-18 01:41: Train Epoch 1: 1060/1641 Loss: 0.360592
2026-08-18 01:41: Train Epoch 1: 1080/1641 Loss: 0.371641
2026-08-18 01:41: Train Epoch 1: 1100/1641 Loss: 0.343816
2026-08-18 01:41: Train Epoch 1: 1120/1641 Loss: 0.323016
2026-08-18 01:41: Train Epoch 1: 1140/1641 Loss: 0.364335
2026-08-18 01:41: Train Epoch 1: 1160/1641 Loss: 0.367244
2026-08-18 01:41: Train Epoch 1: 1180/1641 Loss: 0.369052
2026-08-18 01:41: Train Epoch 1: 1200/1641 Loss: 0.341403
2026-08-18 01:41: Train Epoch 1: 1220/1641 Loss: 0.350312
2026-08-18 01:41: Train Epoch 1: 1240/1641 Loss: 0.357114
2026-08-18 01:41: Train Epoch 1: 1260/1641 Loss: 0.357487
2026-08-18 01:41: Train Epoch 1: 1280/1641 Loss: 0.385135
2026-08-18 01:42: Train Epoch 1: 1300/1641 Loss: 0.369785
2026-08-18 01:42: Train Epoch 1: 1320/1641 Loss: 0.344023
2026-08-18 01:42: Train Epoch 1: 1340/1641 Loss: 0.347941
2026-08-18 01:42: Train Epoch 1: 1360/1641 Loss: 0.351708
2026-08-18 01:42: Train Epoch 1: 1380/1641 Loss: 0.344100
2026-08-18 01:42: Train Epoch 1: 1400/1641 Loss: 0.342399
2026-08-18 01:42: Train Epoch 1: 1420/1641 Loss: 0.376603
2026-08-18 01:42: Train Epoch 1: 1440/1641 Loss: 0.332767
2026-08-18 01:42: Train Epoch 1: 1460/1641 Loss: 0.335441
2026-08-18 01:42: Train Epoch 1: 1480/1641 Loss: 0.348420
2026-08-18 01:42: Train Epoch 1: 1500/1641 Loss: 0.365970
2026-08-18 01:42: Train Epoch 1: 1520/1641 Loss: 0.327986
2026-08-18 01:42: Train Epoch 1: 1540/1641 Loss: 0.364608
2026-08-18 01:42: Train Epoch 1: 1560/1641 Loss: 0.330387
2026-08-18 01:42: Train Epoch 1: 1580/1641 Loss: 0.336505
2026-08-18 01:42: Train Epoch 1: 1600/1641 Loss: 0.364011
2026-08-18 01:43: Train Epoch 1: 1620/1641 Loss: 0.317814
2026-08-18 01:43: Train Epoch 1: 1640/1641 Loss: 0.333557
2026-08-18 01:43: **********Train Epoch 1: averaged Loss: 0.420284, tf_ratio: 1.000000
2026-08-18 01:43: **********Val Epoch 1: average Loss: 0.345930
2026-08-18 01:43: *********************************Current best model saved!
2026-08-18 01:43: Train Epoch 2: 0/1641 Loss: 0.338350
2026-08-18 01:43: Train Epoch 2: 20/1641 Loss: 0.328921
2026-08-18 01:43: Train Epoch 2: 40/1641 Loss: 0.345985
2026-08-18 01:43: Train Epoch 2: 60/1641 Loss: 0.345158
2026-08-18 01:43: Train Epoch 2: 80/1641 Loss: 0.332241
2026-08-18 01:43: Train Epoch 2: 100/1641 Loss: 0.343554
2026-08-18 01:44: Train Epoch 2: 120/1641 Loss: 0.345954
2026-08-18 01:44: Train Epoch 2: 140/1641 Loss: 0.323247
2026-08-18 01:44: Train Epoch 2: 160/1641 Loss: 0.354059
2026-08-18 01:44: Train Epoch 2: 180/1641 Loss: 0.336146
2026-08-18 01:44: Train Epoch 2: 200/1641 Loss: 0.344042
2026-08-18 01:44: Train Epoch 2: 220/1641 Loss: 0.359954
2026-08-18 01:44: Train Epoch 2: 240/1641 Loss: 0.323846
2026-08-18 01:44: Train Epoch 2: 260/1641 Loss: 0.323225
2026-08-18 01:44: Train Epoch 2: 280/1641 Loss: 0.367200
2026-08-18 01:44: Train Epoch 2: 300/1641 Loss: 0.356327
2026-08-18 01:44: Train Epoch 2: 320/1641 Loss: 0.334980
2026-08-18 01:44: Train Epoch 2: 340/1641 Loss: 0.331511
2026-08-18 01:44: Train Epoch 2: 360/1641 Loss: 0.324800
2026-08-18 01:44: Train Epoch 2: 380/1641 Loss: 0.305908
2026-08-18 01:44: Train Epoch 2: 400/1641 Loss: 0.344869
2026-08-18 01:44: Train Epoch 2: 420/1641 Loss: 0.321055
2026-08-18 01:45: Train Epoch 2: 440/1641 Loss: 0.341693
2026-08-18 01:45: Train Epoch 2: 460/1641 Loss: 0.308295
2026-08-18 01:45: Train Epoch 2: 480/1641 Loss: 0.362338
2026-08-18 01:45: Train Epoch 2: 500/1641 Loss: 0.316511
2026-08-18 01:45: Train Epoch 2: 520/1641 Loss: 0.341254
2026-08-18 01:45: Train Epoch 2: 540/1641 Loss: 0.362296
2026-08-18 01:45: Train Epoch 2: 560/1641 Loss: 0.369241
2026-08-18 01:45: Train Epoch 2: 580/1641 Loss: 0.302930
2026-08-18 01:45: Train Epoch 2: 600/1641 Loss: 0.336260
2026-08-18 01:45: Train Epoch 2: 620/1641 Loss: 0.327330
2026-08-18 01:45: Train Epoch 2: 640/1641 Loss: 0.332943
2026-08-18 01:45: Train Epoch 2: 660/1641 Loss: 0.334265
2026-08-18 01:45: Train Epoch 2: 680/1641 Loss: 0.316580
2026-08-18 01:45: Train Epoch 2: 700/1641 Loss: 0.313546
2026-08-18 01:45: Train Epoch 2: 720/1641 Loss: 0.340265
2026-08-18 01:46: Train Epoch 2: 740/1641 Loss: 0.308781
2026-08-18 01:46: Train Epoch 2: 760/1641 Loss: 0.344083
2026-08-18 01:46: Train Epoch 2: 780/1641 Loss: 0.318997
2026-08-18 01:46: Train Epoch 2: 800/1641 Loss: 0.355381
2026-08-18 01:46: Train Epoch 2: 820/1641 Loss: 0.329017
2026-08-18 01:46: Train Epoch 2: 840/1641 Loss: 0.331677
2026-08-18 01:46: Train Epoch 2: 860/1641 Loss: 0.310722
2026-08-18 01:46: Train Epoch 2: 880/1641 Loss: 0.322235
2026-08-18 01:46: Train Epoch 2: 900/1641 Loss: 0.324656
2026-08-18 01:46: Train Epoch 2: 920/1641 Loss: 0.307596
2026-08-18 01:46: Train Epoch 2: 940/1641 Loss: 0.342976
2026-08-18 01:46: Train Epoch 2: 960/1641 Loss: 0.336044
2026-08-18 01:46: Train Epoch 2: 980/1641 Loss: 0.319824
2026-08-18 01:46: Train Epoch 2: 1000/1641 Loss: 0.304061
2026-08-18 01:46: Train Epoch 2: 1020/1641 Loss: 0.312113
2026-08-18 01:46: Train Epoch 2: 1040/1641 Loss: 0.339999
2026-08-18 01:47: Train Epoch 2: 1060/1641 Loss: 0.332534
2026-08-18 01:47: Train Epoch 2: 1080/1641 Loss: 0.354480
2026-08-18 01:47: Train Epoch 2: 1100/1641 Loss: 0.341639
2026-08-18 01:47: Train Epoch 2: 1120/1641 Loss: 0.339482
2026-08-18 01:47: Train Epoch 2: 1140/1641 Loss: 0.349397
2026-08-18 01:47: Train Epoch 2: 1160/1641 Loss: 0.314208
2026-08-18 01:47: Train Epoch 2: 1180/1641 Loss: 0.340504
2026-08-18 01:47: Train Epoch 2: 1200/1641 Loss: 0.307911
2026-08-18 01:47: Train Epoch 2: 1220/1641 Loss: 0.323023
2026-08-18 01:47: Train Epoch 2: 1240/1641 Loss: 0.301220
2026-08-18 01:47: Train Epoch 2: 1260/1641 Loss: 0.319504
2026-08-18 01:47: Train Epoch 2: 1280/1641 Loss: 0.317800
2026-08-18 01:47: Train Epoch 2: 1300/1641 Loss: 0.293907
2026-08-18 01:47: Train Epoch 2: 1320/1641 Loss: 0.304290
2026-08-18 01:47: Train Epoch 2: 1340/1641 Loss: 0.326326
2026-08-18 01:47: Train Epoch 2: 1360/1641 Loss: 0.323538
2026-08-18 01:48: Train Epoch 2: 1380/1641 Loss: 0.333957
2026-08-18 01:48: Train Epoch 2: 1400/1641 Loss: 0.297183
2026-08-18 01:48: Train Epoch 2: 1420/1641 Loss: 0.332324
2026-08-18 01:48: Train Epoch 2: 1440/1641 Loss: 0.338379
2026-08-18 01:48: Train Epoch 2: 1460/1641 Loss: 0.317765
