Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial12_20260818032723/run.log
2026-08-18 03:27: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial12_20260818032723
2026-08-18 03:27: Train Epoch 1: 0/1641 Loss: 0.903014
2026-08-18 03:27: Train Epoch 1: 20/1641 Loss: 0.880507
2026-08-18 03:27: Train Epoch 1: 40/1641 Loss: 0.912721
2026-08-18 03:27: Train Epoch 1: 60/1641 Loss: 0.810119
2026-08-18 03:27: Train Epoch 1: 80/1641 Loss: 0.694636
2026-08-18 03:27: Train Epoch 1: 100/1641 Loss: 0.713645
2026-08-18 03:27: Train Epoch 1: 120/1641 Loss: 0.665734
2026-08-18 03:27: Train Epoch 1: 140/1641 Loss: 0.592796
2026-08-18 03:27: Train Epoch 1: 160/1641 Loss: 0.677755
2026-08-18 03:27: Train Epoch 1: 180/1641 Loss: 0.619467
2026-08-18 03:27: Train Epoch 1: 200/1641 Loss: 0.655005
2026-08-18 03:27: Train Epoch 1: 220/1641 Loss: 0.584348
2026-08-18 03:27: Train Epoch 1: 240/1641 Loss: 0.596109
2026-08-18 03:27: Train Epoch 1: 260/1641 Loss: 0.540035
2026-08-18 03:27: Train Epoch 1: 280/1641 Loss: 0.582312
2026-08-18 03:27: Train Epoch 1: 300/1641 Loss: 0.532467
2026-08-18 03:27: Train Epoch 1: 320/1641 Loss: 0.516549
2026-08-18 03:27: Train Epoch 1: 340/1641 Loss: 0.498899
2026-08-18 03:27: Train Epoch 1: 360/1641 Loss: 0.455176
2026-08-18 03:27: Train Epoch 1: 380/1641 Loss: 0.438427
2026-08-18 03:27: Train Epoch 1: 400/1641 Loss: 0.426217
2026-08-18 03:27: Train Epoch 1: 420/1641 Loss: 0.457383
2026-08-18 03:27: Train Epoch 1: 440/1641 Loss: 0.476672
2026-08-18 03:27: Train Epoch 1: 460/1641 Loss: 0.405373
2026-08-18 03:27: Train Epoch 1: 480/1641 Loss: 0.441103
2026-08-18 03:28: Train Epoch 1: 500/1641 Loss: 0.431338
2026-08-18 03:28: Train Epoch 1: 520/1641 Loss: 0.481955
2026-08-18 03:28: Train Epoch 1: 540/1641 Loss: 0.417222
2026-08-18 03:28: Train Epoch 1: 560/1641 Loss: 0.399023
2026-08-18 03:28: Train Epoch 1: 580/1641 Loss: 0.422682
2026-08-18 03:28: Train Epoch 1: 600/1641 Loss: 0.440803
2026-08-18 03:28: Train Epoch 1: 620/1641 Loss: 0.402810
2026-08-18 03:28: Train Epoch 1: 640/1641 Loss: 0.377430
2026-08-18 03:28: Train Epoch 1: 660/1641 Loss: 0.417338
2026-08-18 03:28: Train Epoch 1: 680/1641 Loss: 0.405925
