Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial13_20260818043552/run.log
2026-08-18 04:35: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial13_20260818043552
2026-08-18 04:35: Train Epoch 1: 0/1641 Loss: 0.999071
2026-08-18 04:35: Train Epoch 1: 20/1641 Loss: 0.872615
2026-08-18 04:35: Train Epoch 1: 40/1641 Loss: 0.941089
2026-08-18 04:35: Train Epoch 1: 60/1641 Loss: 0.860989
2026-08-18 04:35: Train Epoch 1: 80/1641 Loss: 0.815247
2026-08-18 04:36: Train Epoch 1: 100/1641 Loss: 0.755262
2026-08-18 04:36: Train Epoch 1: 120/1641 Loss: 0.788545
2026-08-18 04:36: Train Epoch 1: 140/1641 Loss: 0.824989
2026-08-18 04:36: Train Epoch 1: 160/1641 Loss: 0.733984
2026-08-18 04:36: Train Epoch 1: 180/1641 Loss: 0.684128
2026-08-18 04:36: Train Epoch 1: 200/1641 Loss: 0.684256
2026-08-18 04:36: Train Epoch 1: 220/1641 Loss: 0.670905
2026-08-18 04:36: Train Epoch 1: 240/1641 Loss: 0.701263
2026-08-18 04:36: Train Epoch 1: 260/1641 Loss: 0.694893
2026-08-18 04:36: Train Epoch 1: 280/1641 Loss: 0.660905
2026-08-18 04:36: Train Epoch 1: 300/1641 Loss: 0.700782
2026-08-18 04:36: Train Epoch 1: 320/1641 Loss: 0.673496
2026-08-18 04:36: Train Epoch 1: 340/1641 Loss: 0.658754
2026-08-18 04:36: Train Epoch 1: 360/1641 Loss: 0.643807
2026-08-18 04:36: Train Epoch 1: 380/1641 Loss: 0.680745
2026-08-18 04:36: Train Epoch 1: 400/1641 Loss: 0.673596
2026-08-18 04:36: Train Epoch 1: 420/1641 Loss: 0.677240
2026-08-18 04:36: Train Epoch 1: 440/1641 Loss: 0.652953
2026-08-18 04:36: Train Epoch 1: 460/1641 Loss: 0.705503
2026-08-18 04:36: Train Epoch 1: 480/1641 Loss: 0.671226
2026-08-18 04:36: Train Epoch 1: 500/1641 Loss: 0.692012
2026-08-18 04:36: Train Epoch 1: 520/1641 Loss: 0.634150
2026-08-18 04:36: Train Epoch 1: 540/1641 Loss: 0.686316
2026-08-18 04:36: Train Epoch 1: 560/1641 Loss: 0.615991
2026-08-18 04:36: Train Epoch 1: 580/1641 Loss: 0.654448
2026-08-18 04:36: Train Epoch 1: 600/1641 Loss: 0.661726
2026-08-18 04:36: Train Epoch 1: 620/1641 Loss: 0.661735
2026-08-18 04:36: Train Epoch 1: 640/1641 Loss: 0.657245
2026-08-18 04:36: Train Epoch 1: 660/1641 Loss: 0.651972
2026-08-18 04:36: Train Epoch 1: 680/1641 Loss: 0.637238
2026-08-18 04:36: Train Epoch 1: 700/1641 Loss: 0.639211
2026-08-18 04:36: Train Epoch 1: 720/1641 Loss: 0.589931
2026-08-18 04:36: Train Epoch 1: 740/1641 Loss: 0.605538
