Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial14_20260818060751/run.log
2026-08-18 06:07: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial14_20260818060751
2026-08-18 06:07: Train Epoch 1: 0/410 Loss: 0.931215
2026-08-18 06:07: Train Epoch 1: 20/410 Loss: 0.952530
2026-08-18 06:07: Train Epoch 1: 40/410 Loss: 0.931974
2026-08-18 06:07: Train Epoch 1: 60/410 Loss: 0.912836
2026-08-18 06:07: Train Epoch 1: 80/410 Loss: 0.864927
2026-08-18 06:08: Train Epoch 1: 100/410 Loss: 0.790829
2026-08-18 06:08: Train Epoch 1: 120/410 Loss: 0.772149
2026-08-18 06:08: Train Epoch 1: 140/410 Loss: 0.738509
2026-08-18 06:08: Train Epoch 1: 160/410 Loss: 0.735599
2026-08-18 06:08: Train Epoch 1: 180/410 Loss: 0.735204
2026-08-18 06:08: Train Epoch 1: 200/410 Loss: 0.709649
2026-08-18 06:08: Train Epoch 1: 220/410 Loss: 0.699877
2026-08-18 06:08: Train Epoch 1: 240/410 Loss: 0.695256
2026-08-18 06:08: Train Epoch 1: 260/410 Loss: 0.664863
2026-08-18 06:08: Train Epoch 1: 280/410 Loss: 0.678455
2026-08-18 06:08: Train Epoch 1: 300/410 Loss: 0.681997
2026-08-18 06:08: Train Epoch 1: 320/410 Loss: 0.668065
2026-08-18 06:08: Train Epoch 1: 340/410 Loss: 0.664084
2026-08-18 06:08: Train Epoch 1: 360/410 Loss: 0.652756
2026-08-18 06:08: Train Epoch 1: 380/410 Loss: 0.670270
2026-08-18 06:08: Train Epoch 1: 400/410 Loss: 0.674664
2026-08-18 06:08: **********Train Epoch 1: averaged Loss: 0.746597, tf_ratio: 1.000000
2026-08-18 06:08: **********Val Epoch 1: average Loss: 0.635689
2026-08-18 06:08: *********************************Current best model saved!
2026-08-18 06:08: Train Epoch 2: 0/410 Loss: 0.662146
2026-08-18 06:08: Train Epoch 2: 20/410 Loss: 0.646054
2026-08-18 06:08: Train Epoch 2: 40/410 Loss: 0.649314
2026-08-18 06:08: Train Epoch 2: 60/410 Loss: 0.646195
2026-08-18 06:08: Train Epoch 2: 80/410 Loss: 0.631819
2026-08-18 06:08: Train Epoch 2: 100/410 Loss: 0.645028
2026-08-18 06:08: Train Epoch 2: 120/410 Loss: 0.633831
2026-08-18 06:08: Train Epoch 2: 140/410 Loss: 0.639894
2026-08-18 06:08: Train Epoch 2: 160/410 Loss: 0.621895
2026-08-18 06:08: Train Epoch 2: 180/410 Loss: 0.621694
2026-08-18 06:08: Train Epoch 2: 200/410 Loss: 0.622536
2026-08-18 06:08: Train Epoch 2: 220/410 Loss: 0.623421
2026-08-18 06:08: Train Epoch 2: 240/410 Loss: 0.595554
2026-08-18 06:08: Train Epoch 2: 260/410 Loss: 0.585323
2026-08-18 06:08: Train Epoch 2: 280/410 Loss: 0.581959
2026-08-18 06:08: Train Epoch 2: 300/410 Loss: 0.554865
2026-08-18 06:08: Train Epoch 2: 320/410 Loss: 0.559047
2026-08-18 06:08: Train Epoch 2: 340/410 Loss: 0.519951
2026-08-18 06:08: Train Epoch 2: 360/410 Loss: 0.526388
2026-08-18 06:08: Train Epoch 2: 380/410 Loss: 0.509172
2026-08-18 06:08: Train Epoch 2: 400/410 Loss: 0.503883
2026-08-18 06:08: **********Train Epoch 2: averaged Loss: 0.599696, tf_ratio: 1.000000
2026-08-18 06:08: **********Val Epoch 2: average Loss: 0.466213
2026-08-18 06:08: *********************************Current best model saved!
2026-08-18 06:08: Train Epoch 3: 0/410 Loss: 0.490140
2026-08-18 06:08: Train Epoch 3: 20/410 Loss: 0.465012
2026-08-18 06:08: Train Epoch 3: 40/410 Loss: 0.444294
2026-08-18 06:09: Train Epoch 3: 60/410 Loss: 0.455435
2026-08-18 06:09: Train Epoch 3: 80/410 Loss: 0.437068
2026-08-18 06:09: Train Epoch 3: 100/410 Loss: 0.445280
2026-08-18 06:09: Train Epoch 3: 120/410 Loss: 0.443549
2026-08-18 06:09: Train Epoch 3: 140/410 Loss: 0.434124
2026-08-18 06:09: Train Epoch 3: 160/410 Loss: 0.433347
2026-08-18 06:09: Train Epoch 3: 180/410 Loss: 0.424999
2026-08-18 06:09: Train Epoch 3: 200/410 Loss: 0.418509
2026-08-18 06:09: Train Epoch 3: 220/410 Loss: 0.436563
2026-08-18 06:09: Train Epoch 3: 240/410 Loss: 0.420660
2026-08-18 06:09: Train Epoch 3: 260/410 Loss: 0.418879
2026-08-18 06:09: Train Epoch 3: 280/410 Loss: 0.419762
2026-08-18 06:09: Train Epoch 3: 300/410 Loss: 0.412164
2026-08-18 06:09: Train Epoch 3: 320/410 Loss: 0.421644
2026-08-18 06:09: Train Epoch 3: 340/410 Loss: 0.411294
2026-08-18 06:09: Train Epoch 3: 360/410 Loss: 0.403649
2026-08-18 06:09: Train Epoch 3: 380/410 Loss: 0.420218
2026-08-18 06:09: Train Epoch 3: 400/410 Loss: 0.409725
2026-08-18 06:09: **********Train Epoch 3: averaged Loss: 0.432678, tf_ratio: 1.000000
2026-08-18 06:09: **********Val Epoch 3: average Loss: 0.402576
2026-08-18 06:09: *********************************Current best model saved!
2026-08-18 06:09: Train Epoch 4: 0/410 Loss: 0.405249
2026-08-18 06:09: Train Epoch 4: 20/410 Loss: 0.393598
2026-08-18 06:09: Train Epoch 4: 40/410 Loss: 0.428790
2026-08-18 06:09: Train Epoch 4: 60/410 Loss: 0.410074
2026-08-18 06:09: Train Epoch 4: 80/410 Loss: 0.397469
2026-08-18 06:09: Train Epoch 4: 100/410 Loss: 0.406193
2026-08-18 06:09: Train Epoch 4: 120/410 Loss: 0.401696
2026-08-18 06:09: Train Epoch 4: 140/410 Loss: 0.398223
2026-08-18 06:09: Train Epoch 4: 160/410 Loss: 0.406858
2026-08-18 06:09: Train Epoch 4: 180/410 Loss: 0.398465
2026-08-18 06:09: Train Epoch 4: 200/410 Loss: 0.410083
2026-08-18 06:09: Train Epoch 4: 220/410 Loss: 0.381862
2026-08-18 06:09: Train Epoch 4: 240/410 Loss: 0.390258
2026-08-18 06:09: Train Epoch 4: 260/410 Loss: 0.398109
2026-08-18 06:09: Train Epoch 4: 280/410 Loss: 0.397212
2026-08-18 06:09: Train Epoch 4: 300/410 Loss: 0.396980
2026-08-18 06:09: Train Epoch 4: 320/410 Loss: 0.383485
2026-08-18 06:09: Train Epoch 4: 340/410 Loss: 0.388587
2026-08-18 06:09: Train Epoch 4: 360/410 Loss: 0.390886
2026-08-18 06:09: Train Epoch 4: 380/410 Loss: 0.389112
2026-08-18 06:09: Train Epoch 4: 400/410 Loss: 0.382077
2026-08-18 06:09: **********Train Epoch 4: averaged Loss: 0.398798, tf_ratio: 1.000000
2026-08-18 06:10: **********Val Epoch 4: average Loss: 0.380226
2026-08-18 06:10: *********************************Current best model saved!
2026-08-18 06:10: Train Epoch 5: 0/410 Loss: 0.389607
2026-08-18 06:10: Train Epoch 5: 20/410 Loss: 0.381211
