Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial19_20260818113928/run.log
2026-08-18 11:39: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial19_20260818113928
2026-08-18 11:39: Train Epoch 1: 0/1642 Loss: 0.952352
2026-08-18 11:39: Train Epoch 1: 20/1642 Loss: 0.909272
2026-08-18 11:39: Train Epoch 1: 40/1642 Loss: 0.909367
2026-08-18 11:39: Train Epoch 1: 60/1642 Loss: 0.846048
2026-08-18 11:39: Train Epoch 1: 80/1642 Loss: 0.878095
2026-08-18 11:39: Train Epoch 1: 100/1642 Loss: 0.926523
2026-08-18 11:39: Train Epoch 1: 120/1642 Loss: 0.800335
2026-08-18 11:39: Train Epoch 1: 140/1642 Loss: 0.846078
2026-08-18 11:39: Train Epoch 1: 160/1642 Loss: 0.761130
2026-08-18 11:39: Train Epoch 1: 180/1642 Loss: 0.752070
2026-08-18 11:39: Train Epoch 1: 200/1642 Loss: 0.726833
2026-08-18 11:39: Train Epoch 1: 220/1642 Loss: 0.714997
2026-08-18 11:39: Train Epoch 1: 240/1642 Loss: 0.776759
2026-08-18 11:39: Train Epoch 1: 260/1642 Loss: 0.668519
2026-08-18 11:40: Train Epoch 1: 280/1642 Loss: 0.693404
2026-08-18 11:40: Train Epoch 1: 300/1642 Loss: 0.669811
2026-08-18 11:40: Train Epoch 1: 320/1642 Loss: 0.759502
2026-08-18 11:40: Train Epoch 1: 340/1642 Loss: 0.726058
2026-08-18 11:40: Train Epoch 1: 360/1642 Loss: 0.707049
2026-08-18 11:40: Train Epoch 1: 380/1642 Loss: 0.692335
2026-08-18 11:40: Train Epoch 1: 400/1642 Loss: 0.699577
2026-08-18 11:40: Train Epoch 1: 420/1642 Loss: 0.700166
2026-08-18 11:40: Train Epoch 1: 440/1642 Loss: 0.703995
2026-08-18 11:40: Train Epoch 1: 460/1642 Loss: 0.685787
2026-08-18 11:40: Train Epoch 1: 480/1642 Loss: 0.685502
2026-08-18 11:40: Train Epoch 1: 500/1642 Loss: 0.682565
2026-08-18 11:40: Train Epoch 1: 520/1642 Loss: 0.701348
2026-08-18 11:40: Train Epoch 1: 540/1642 Loss: 0.679660
2026-08-18 11:40: Train Epoch 1: 560/1642 Loss: 0.671744
2026-08-18 11:40: Train Epoch 1: 580/1642 Loss: 0.718047
2026-08-18 11:40: Train Epoch 1: 600/1642 Loss: 0.643018
2026-08-18 11:40: Train Epoch 1: 620/1642 Loss: 0.714946
2026-08-18 11:40: Train Epoch 1: 640/1642 Loss: 0.682747
2026-08-18 11:40: Train Epoch 1: 660/1642 Loss: 0.682998
2026-08-18 11:40: Train Epoch 1: 680/1642 Loss: 0.663621
2026-08-18 11:40: Train Epoch 1: 700/1642 Loss: 0.671739
2026-08-18 11:40: Train Epoch 1: 720/1642 Loss: 0.716502
2026-08-18 11:40: Train Epoch 1: 740/1642 Loss: 0.616236
2026-08-18 11:40: Train Epoch 1: 760/1642 Loss: 0.637035
2026-08-18 11:40: Train Epoch 1: 780/1642 Loss: 0.694843
2026-08-18 11:40: Train Epoch 1: 800/1642 Loss: 0.678774
2026-08-18 11:40: Train Epoch 1: 820/1642 Loss: 0.676984
2026-08-18 11:40: Train Epoch 1: 840/1642 Loss: 0.664428
2026-08-18 11:41: Train Epoch 1: 860/1642 Loss: 0.669628
2026-08-18 11:41: Train Epoch 1: 880/1642 Loss: 0.682096
2026-08-18 11:41: Train Epoch 1: 900/1642 Loss: 0.715928
2026-08-18 11:41: Train Epoch 1: 920/1642 Loss: 0.655358
2026-08-18 11:41: Train Epoch 1: 940/1642 Loss: 0.616387
2026-08-18 11:41: Train Epoch 1: 960/1642 Loss: 0.634200
2026-08-18 11:41: Train Epoch 1: 980/1642 Loss: 0.621596
2026-08-18 11:41: Train Epoch 1: 1000/1642 Loss: 0.613130
2026-08-18 11:41: Train Epoch 1: 1020/1642 Loss: 0.628326
2026-08-18 11:41: Train Epoch 1: 1040/1642 Loss: 0.654290
2026-08-18 11:41: Train Epoch 1: 1060/1642 Loss: 0.608152
2026-08-18 11:41: Train Epoch 1: 1080/1642 Loss: 0.655864
2026-08-18 11:41: Train Epoch 1: 1100/1642 Loss: 0.671269
2026-08-18 11:41: Train Epoch 1: 1120/1642 Loss: 0.623315
2026-08-18 11:41: Train Epoch 1: 1140/1642 Loss: 0.592643
2026-08-18 11:41: Train Epoch 1: 1160/1642 Loss: 0.632043
2026-08-18 11:41: Train Epoch 1: 1180/1642 Loss: 0.583055
2026-08-18 11:41: Train Epoch 1: 1200/1642 Loss: 0.593153
2026-08-18 11:41: Train Epoch 1: 1220/1642 Loss: 0.613684
2026-08-18 11:41: Train Epoch 1: 1240/1642 Loss: 0.632272
2026-08-18 11:41: Train Epoch 1: 1260/1642 Loss: 0.593683
2026-08-18 11:41: Train Epoch 1: 1280/1642 Loss: 0.581425
2026-08-18 11:41: Train Epoch 1: 1300/1642 Loss: 0.577587
2026-08-18 11:41: Train Epoch 1: 1320/1642 Loss: 0.536305
2026-08-18 11:41: Train Epoch 1: 1340/1642 Loss: 0.575543
2026-08-18 11:41: Train Epoch 1: 1360/1642 Loss: 0.546317
2026-08-18 11:41: Train Epoch 1: 1380/1642 Loss: 0.520968
2026-08-18 11:41: Train Epoch 1: 1400/1642 Loss: 0.557897
2026-08-18 11:41: Train Epoch 1: 1420/1642 Loss: 0.580191
2026-08-18 11:42: Train Epoch 1: 1440/1642 Loss: 0.573431
2026-08-18 11:42: Train Epoch 1: 1460/1642 Loss: 0.532587
2026-08-18 11:42: Train Epoch 1: 1480/1642 Loss: 0.572053
2026-08-18 11:42: Train Epoch 1: 1500/1642 Loss: 0.531841
2026-08-18 11:42: Train Epoch 1: 1520/1642 Loss: 0.512235
2026-08-18 11:42: Train Epoch 1: 1540/1642 Loss: 0.526585
2026-08-18 11:42: Train Epoch 1: 1560/1642 Loss: 0.577708
2026-08-18 11:42: Train Epoch 1: 1580/1642 Loss: 0.558113
2026-08-18 11:42: Train Epoch 1: 1600/1642 Loss: 0.512833
2026-08-18 11:42: Train Epoch 1: 1620/1642 Loss: 0.517537
2026-08-18 11:42: Train Epoch 1: 1640/1642 Loss: 0.545315
2026-08-18 11:42: **********Train Epoch 1: averaged Loss: 0.665635, tf_ratio: 1.000000
2026-08-18 11:42: **********Val Epoch 1: average Loss: 0.516371
2026-08-18 11:42: *********************************Current best model saved!
2026-08-18 11:42: Train Epoch 2: 0/1642 Loss: 0.535755
2026-08-18 11:42: Train Epoch 2: 20/1642 Loss: 0.498958
2026-08-18 11:42: Train Epoch 2: 40/1642 Loss: 0.533912
2026-08-18 11:42: Train Epoch 2: 60/1642 Loss: 0.545787
2026-08-18 11:42: Train Epoch 2: 80/1642 Loss: 0.507754
2026-08-18 11:42: Train Epoch 2: 100/1642 Loss: 0.508891
2026-08-18 11:42: Train Epoch 2: 120/1642 Loss: 0.489780
