Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial20_20260818121105/run.log
2026-08-18 12:11: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial20_20260818121105
2026-08-18 12:11: Train Epoch 1: 0/820 Loss: 0.926963
2026-08-18 12:11: Train Epoch 1: 20/820 Loss: 0.902762
2026-08-18 12:11: Train Epoch 1: 40/820 Loss: 0.882585
2026-08-18 12:11: Train Epoch 1: 60/820 Loss: 0.792705
2026-08-18 12:11: Train Epoch 1: 80/820 Loss: 0.753042
2026-08-18 12:11: Train Epoch 1: 100/820 Loss: 0.742682
2026-08-18 12:11: Train Epoch 1: 120/820 Loss: 0.759274
2026-08-18 12:11: Train Epoch 1: 140/820 Loss: 0.738495
2026-08-18 12:11: Train Epoch 1: 160/820 Loss: 0.705322
2026-08-18 12:11: Train Epoch 1: 180/820 Loss: 0.673779
2026-08-18 12:11: Train Epoch 1: 200/820 Loss: 0.678202
2026-08-18 12:12: Train Epoch 1: 220/820 Loss: 0.666852
2026-08-18 12:12: Train Epoch 1: 240/820 Loss: 0.650274
2026-08-18 12:12: Train Epoch 1: 260/820 Loss: 0.657604
2026-08-18 12:12: Train Epoch 1: 280/820 Loss: 0.621388
2026-08-18 12:12: Train Epoch 1: 300/820 Loss: 0.634536
2026-08-18 12:12: Train Epoch 1: 320/820 Loss: 0.647734
2026-08-18 12:12: Train Epoch 1: 340/820 Loss: 0.645408
2026-08-18 12:12: Train Epoch 1: 360/820 Loss: 0.642349
2026-08-18 12:12: Train Epoch 1: 380/820 Loss: 0.616616
2026-08-18 12:12: Train Epoch 1: 400/820 Loss: 0.636484
2026-08-18 12:12: Train Epoch 1: 420/820 Loss: 0.648693
2026-08-18 12:12: Train Epoch 1: 440/820 Loss: 0.640025
2026-08-18 12:13: Train Epoch 1: 460/820 Loss: 0.620725
2026-08-18 12:13: Train Epoch 1: 480/820 Loss: 0.610513
2026-08-18 12:13: Train Epoch 1: 500/820 Loss: 0.566162
2026-08-18 12:13: Train Epoch 1: 520/820 Loss: 0.553052
2026-08-18 12:13: Train Epoch 1: 540/820 Loss: 0.544302
2026-08-18 12:13: Train Epoch 1: 560/820 Loss: 0.519297
2026-08-18 12:13: Train Epoch 1: 580/820 Loss: 0.473071
2026-08-18 12:13: Train Epoch 1: 600/820 Loss: 0.499949
2026-08-18 12:13: Train Epoch 1: 620/820 Loss: 0.475835
2026-08-18 12:13: Train Epoch 1: 640/820 Loss: 0.439121
2026-08-18 12:13: Train Epoch 1: 660/820 Loss: 0.430291
2026-08-18 12:14: Train Epoch 1: 680/820 Loss: 0.453083
2026-08-18 12:14: Train Epoch 1: 700/820 Loss: 0.439617
2026-08-18 12:14: Train Epoch 1: 720/820 Loss: 0.416905
2026-08-18 12:14: Train Epoch 1: 740/820 Loss: 0.428780
2026-08-18 12:14: Train Epoch 1: 760/820 Loss: 0.416712
2026-08-18 12:14: Train Epoch 1: 780/820 Loss: 0.425366
2026-08-18 12:14: Train Epoch 1: 800/820 Loss: 0.443588
2026-08-18 12:14: **********Train Epoch 1: averaged Loss: 0.606334, tf_ratio: 1.000000
2026-08-18 12:14: **********Val Epoch 1: average Loss: 0.414796
2026-08-18 12:14: *********************************Current best model saved!
2026-08-18 12:14: Train Epoch 2: 0/820 Loss: 0.414492
2026-08-18 12:15: Train Epoch 2: 20/820 Loss: 0.431596
2026-08-18 12:15: Train Epoch 2: 40/820 Loss: 0.410741
2026-08-18 12:15: Train Epoch 2: 60/820 Loss: 0.432686
2026-08-18 12:15: Train Epoch 2: 80/820 Loss: 0.427379
2026-08-18 12:15: Train Epoch 2: 100/820 Loss: 0.402436
2026-08-18 12:15: Train Epoch 2: 120/820 Loss: 0.413565
2026-08-18 12:15: Train Epoch 2: 140/820 Loss: 0.401195
2026-08-18 12:15: Train Epoch 2: 160/820 Loss: 0.418797
2026-08-18 12:15: Train Epoch 2: 180/820 Loss: 0.402128
2026-08-18 12:15: Train Epoch 2: 200/820 Loss: 0.398460
2026-08-18 12:15: Train Epoch 2: 220/820 Loss: 0.383257
2026-08-18 12:15: Train Epoch 2: 240/820 Loss: 0.401870
2026-08-18 12:16: Train Epoch 2: 260/820 Loss: 0.422916
2026-08-18 12:16: Train Epoch 2: 280/820 Loss: 0.388962
2026-08-18 12:16: Train Epoch 2: 300/820 Loss: 0.411815
2026-08-18 12:16: Train Epoch 2: 320/820 Loss: 0.390417
2026-08-18 12:16: Train Epoch 2: 340/820 Loss: 0.412920
2026-08-18 12:16: Train Epoch 2: 360/820 Loss: 0.420111
2026-08-18 12:16: Train Epoch 2: 380/820 Loss: 0.393741
2026-08-18 12:16: Train Epoch 2: 400/820 Loss: 0.394507
2026-08-18 12:16: Train Epoch 2: 420/820 Loss: 0.396657
2026-08-18 12:16: Train Epoch 2: 440/820 Loss: 0.412193
