Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial21_20260818142758/run.log
2026-08-18 14:28: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial21_20260818142758
2026-08-18 14:28: Train Epoch 1: 0/820 Loss: 0.870345
2026-08-18 14:28: Train Epoch 1: 20/820 Loss: 0.902985
2026-08-18 14:28: Train Epoch 1: 40/820 Loss: 0.808843
2026-08-18 14:28: Train Epoch 1: 60/820 Loss: 0.801992
2026-08-18 14:28: Train Epoch 1: 80/820 Loss: 0.736604
2026-08-18 14:28: Train Epoch 1: 100/820 Loss: 0.693535
2026-08-18 14:28: Train Epoch 1: 120/820 Loss: 0.677849
2026-08-18 14:28: Train Epoch 1: 140/820 Loss: 0.696472
2026-08-18 14:28: Train Epoch 1: 160/820 Loss: 0.682631
2026-08-18 14:28: Train Epoch 1: 180/820 Loss: 0.649027
2026-08-18 14:28: Train Epoch 1: 200/820 Loss: 0.662255
2026-08-18 14:29: Train Epoch 1: 220/820 Loss: 0.646657
2026-08-18 14:29: Train Epoch 1: 240/820 Loss: 0.628656
2026-08-18 14:29: Train Epoch 1: 260/820 Loss: 0.634009
2026-08-18 14:29: Train Epoch 1: 280/820 Loss: 0.635332
2026-08-18 14:29: Train Epoch 1: 300/820 Loss: 0.642645
2026-08-18 14:29: Train Epoch 1: 320/820 Loss: 0.637172
2026-08-18 14:29: Train Epoch 1: 340/820 Loss: 0.552597
2026-08-18 14:29: Train Epoch 1: 360/820 Loss: 0.526797
2026-08-18 14:29: Train Epoch 1: 380/820 Loss: 0.536392
2026-08-18 14:29: Train Epoch 1: 400/820 Loss: 0.498725
2026-08-18 14:29: Train Epoch 1: 420/820 Loss: 0.475115
2026-08-18 14:30: Train Epoch 1: 440/820 Loss: 0.447386
2026-08-18 14:30: Train Epoch 1: 460/820 Loss: 0.437123
2026-08-18 14:30: Train Epoch 1: 480/820 Loss: 0.438175
2026-08-18 14:30: Train Epoch 1: 500/820 Loss: 0.425229
2026-08-18 14:30: Train Epoch 1: 520/820 Loss: 0.428699
2026-08-18 14:30: Train Epoch 1: 540/820 Loss: 0.423971
2026-08-18 14:30: Train Epoch 1: 560/820 Loss: 0.396668
2026-08-18 14:30: Train Epoch 1: 580/820 Loss: 0.431031
2026-08-18 14:30: Train Epoch 1: 600/820 Loss: 0.423674
2026-08-18 14:30: Train Epoch 1: 620/820 Loss: 0.413749
2026-08-18 14:30: Train Epoch 1: 640/820 Loss: 0.419777
2026-08-18 14:31: Train Epoch 1: 660/820 Loss: 0.394356
2026-08-18 14:31: Train Epoch 1: 680/820 Loss: 0.394377
2026-08-18 14:31: Train Epoch 1: 700/820 Loss: 0.404849
2026-08-18 14:31: Train Epoch 1: 720/820 Loss: 0.398794
2026-08-18 14:31: Train Epoch 1: 740/820 Loss: 0.426342
2026-08-18 14:31: Train Epoch 1: 760/820 Loss: 0.400187
2026-08-18 14:31: Train Epoch 1: 780/820 Loss: 0.377705
2026-08-18 14:31: Train Epoch 1: 800/820 Loss: 0.365160
2026-08-18 14:31: **********Train Epoch 1: averaged Loss: 0.542608, tf_ratio: 1.000000
2026-08-18 14:32: **********Val Epoch 1: average Loss: 0.383301
2026-08-18 14:32: *********************************Current best model saved!
2026-08-18 14:32: Train Epoch 2: 0/820 Loss: 0.400408
2026-08-18 14:32: Train Epoch 2: 20/820 Loss: 0.380457
2026-08-18 14:32: Train Epoch 2: 40/820 Loss: 0.392414
2026-08-18 14:32: Train Epoch 2: 60/820 Loss: 0.430917
2026-08-18 14:32: Train Epoch 2: 80/820 Loss: 0.386307
2026-08-18 14:32: Train Epoch 2: 100/820 Loss: 0.378302
2026-08-18 14:32: Train Epoch 2: 120/820 Loss: 0.367031
2026-08-18 14:32: Train Epoch 2: 140/820 Loss: 0.356026
2026-08-18 14:32: Train Epoch 2: 160/820 Loss: 0.377605
2026-08-18 14:32: Train Epoch 2: 180/820 Loss: 0.363784
2026-08-18 14:32: Train Epoch 2: 200/820 Loss: 0.398467
2026-08-18 14:33: Train Epoch 2: 220/820 Loss: 0.358211
2026-08-18 14:33: Train Epoch 2: 240/820 Loss: 0.374758
2026-08-18 14:33: Train Epoch 2: 260/820 Loss: 0.371844
2026-08-18 14:33: Train Epoch 2: 280/820 Loss: 0.387557
2026-08-18 14:33: Train Epoch 2: 300/820 Loss: 0.374095
2026-08-18 14:33: Train Epoch 2: 320/820 Loss: 0.379011
2026-08-18 14:33: Train Epoch 2: 340/820 Loss: 0.370690
2026-08-18 14:33: Train Epoch 2: 360/820 Loss: 0.369228
2026-08-18 14:33: Train Epoch 2: 380/820 Loss: 0.339084
2026-08-18 14:33: Train Epoch 2: 400/820 Loss: 0.372655
2026-08-18 14:33: Train Epoch 2: 420/820 Loss: 0.366067
2026-08-18 14:34: Train Epoch 2: 440/820 Loss: 0.374839
2026-08-18 14:34: Train Epoch 2: 460/820 Loss: 0.375935
2026-08-18 14:34: Train Epoch 2: 480/820 Loss: 0.384886
2026-08-18 14:34: Train Epoch 2: 500/820 Loss: 0.343076
2026-08-18 14:34: Train Epoch 2: 520/820 Loss: 0.353192
2026-08-18 14:34: Train Epoch 2: 540/820 Loss: 0.347798
2026-08-18 14:34: Train Epoch 2: 560/820 Loss: 0.394844
2026-08-18 14:34: Train Epoch 2: 580/820 Loss: 0.377205
2026-08-18 14:34: Train Epoch 2: 600/820 Loss: 0.344039
2026-08-18 14:34: Train Epoch 2: 620/820 Loss: 0.363306
2026-08-18 14:34: Train Epoch 2: 640/820 Loss: 0.339356
2026-08-18 14:35: Train Epoch 2: 660/820 Loss: 0.358426
2026-08-18 14:35: Train Epoch 2: 680/820 Loss: 0.365621
2026-08-18 14:35: Train Epoch 2: 700/820 Loss: 0.338737
2026-08-18 14:35: Train Epoch 2: 720/820 Loss: 0.372659
2026-08-18 14:35: Train Epoch 2: 740/820 Loss: 0.346151
2026-08-18 14:35: Train Epoch 2: 760/820 Loss: 0.363179
2026-08-18 14:35: Train Epoch 2: 780/820 Loss: 0.356739
2026-08-18 14:35: Train Epoch 2: 800/820 Loss: 0.362378
2026-08-18 14:35: **********Train Epoch 2: averaged Loss: 0.369668, tf_ratio: 1.000000
2026-08-18 14:36: **********Val Epoch 2: average Loss: 0.351611
2026-08-18 14:36: *********************************Current best model saved!
2026-08-18 14:36: Train Epoch 3: 0/820 Loss: 0.351018
2026-08-18 14:36: Train Epoch 3: 20/820 Loss: 0.343450
2026-08-18 14:36: Train Epoch 3: 40/820 Loss: 0.351725
2026-08-18 14:36: Train Epoch 3: 60/820 Loss: 0.358950
2026-08-18 14:36: Train Epoch 3: 80/820 Loss: 0.359255
2026-08-18 14:36: Train Epoch 3: 100/820 Loss: 0.338867
2026-08-18 14:36: Train Epoch 3: 120/820 Loss: 0.366200
2026-08-18 14:36: Train Epoch 3: 140/820 Loss: 0.345432
2026-08-18 14:36: Train Epoch 3: 160/820 Loss: 0.343718
2026-08-18 14:36: Train Epoch 3: 180/820 Loss: 0.364969
2026-08-18 14:36: Train Epoch 3: 200/820 Loss: 0.347273
2026-08-18 14:37: Train Epoch 3: 220/820 Loss: 0.372196
2026-08-18 14:37: Train Epoch 3: 240/820 Loss: 0.340050
2026-08-18 14:37: Train Epoch 3: 260/820 Loss: 0.364545
2026-08-18 14:37: Train Epoch 3: 280/820 Loss: 0.344150
2026-08-18 14:37: Train Epoch 3: 300/820 Loss: 0.361024
2026-08-18 14:37: Train Epoch 3: 320/820 Loss: 0.350666
2026-08-18 14:37: Train Epoch 3: 340/820 Loss: 0.365217
2026-08-18 14:37: Train Epoch 3: 360/820 Loss: 0.358049
2026-08-18 14:37: Train Epoch 3: 380/820 Loss: 0.342375
2026-08-18 14:37: Train Epoch 3: 400/820 Loss: 0.338941
2026-08-18 14:37: Train Epoch 3: 420/820 Loss: 0.390386
2026-08-18 14:38: Train Epoch 3: 440/820 Loss: 0.365436
2026-08-18 14:38: Train Epoch 3: 460/820 Loss: 0.337829
2026-08-18 14:38: Train Epoch 3: 480/820 Loss: 0.347423
2026-08-18 14:38: Train Epoch 3: 500/820 Loss: 0.333830
2026-08-18 14:38: Train Epoch 3: 520/820 Loss: 0.343720
2026-08-18 14:38: Train Epoch 3: 540/820 Loss: 0.330353
2026-08-18 14:38: Train Epoch 3: 560/820 Loss: 0.333565
2026-08-18 14:38: Train Epoch 3: 580/820 Loss: 0.381700
2026-08-18 14:38: Train Epoch 3: 600/820 Loss: 0.333593
2026-08-18 14:38: Train Epoch 3: 620/820 Loss: 0.341363
2026-08-18 14:38: Train Epoch 3: 640/820 Loss: 0.336416
2026-08-18 14:39: Train Epoch 3: 660/820 Loss: 0.333092
2026-08-18 14:39: Train Epoch 3: 680/820 Loss: 0.341420
2026-08-18 14:39: Train Epoch 3: 700/820 Loss: 0.325356
2026-08-18 14:39: Train Epoch 3: 720/820 Loss: 0.337081
2026-08-18 14:39: Train Epoch 3: 740/820 Loss: 0.349237
2026-08-18 14:39: Train Epoch 3: 760/820 Loss: 0.342009
2026-08-18 14:39: Train Epoch 3: 780/820 Loss: 0.346162
2026-08-18 14:39: Train Epoch 3: 800/820 Loss: 0.351410
2026-08-18 14:39: **********Train Epoch 3: averaged Loss: 0.350540, tf_ratio: 1.000000
2026-08-18 14:40: **********Val Epoch 3: average Loss: 0.338304
2026-08-18 14:40: *********************************Current best model saved!
2026-08-18 14:40: Train Epoch 4: 0/820 Loss: 0.345118
2026-08-18 14:40: Train Epoch 4: 20/820 Loss: 0.342048
2026-08-18 14:40: Train Epoch 4: 40/820 Loss: 0.338340
2026-08-18 14:40: Train Epoch 4: 60/820 Loss: 0.341719
2026-08-18 14:40: Train Epoch 4: 80/820 Loss: 0.347676
2026-08-18 14:40: Train Epoch 4: 100/820 Loss: 0.335464
2026-08-18 14:40: Train Epoch 4: 120/820 Loss: 0.338723
2026-08-18 14:40: Train Epoch 4: 140/820 Loss: 0.350297
2026-08-18 14:40: Train Epoch 4: 160/820 Loss: 0.333221
2026-08-18 14:40: Train Epoch 4: 180/820 Loss: 0.354002
2026-08-18 14:41: Train Epoch 4: 200/820 Loss: 0.359725
2026-08-18 14:41: Train Epoch 4: 220/820 Loss: 0.347895
2026-08-18 14:41: Train Epoch 4: 240/820 Loss: 0.330933
2026-08-18 14:41: Train Epoch 4: 260/820 Loss: 0.325460
2026-08-18 14:41: Train Epoch 4: 280/820 Loss: 0.374564
2026-08-18 14:41: Train Epoch 4: 300/820 Loss: 0.334153
2026-08-18 14:41: Train Epoch 4: 320/820 Loss: 0.336855
2026-08-18 14:41: Train Epoch 4: 340/820 Loss: 0.328994
2026-08-18 14:41: Train Epoch 4: 360/820 Loss: 0.335177
2026-08-18 14:41: Train Epoch 4: 380/820 Loss: 0.353539
2026-08-18 14:41: Train Epoch 4: 400/820 Loss: 0.344751
2026-08-18 14:42: Train Epoch 4: 420/820 Loss: 0.340100
2026-08-18 14:42: Train Epoch 4: 440/820 Loss: 0.323522
2026-08-18 14:42: Train Epoch 4: 460/820 Loss: 0.339967
2026-08-18 14:42: Train Epoch 4: 480/820 Loss: 0.320428
2026-08-18 14:42: Train Epoch 4: 500/820 Loss: 0.337935
2026-08-18 14:42: Train Epoch 4: 520/820 Loss: 0.335018
2026-08-18 14:42: Train Epoch 4: 540/820 Loss: 0.346365
2026-08-18 14:42: Train Epoch 4: 560/820 Loss: 0.329270
2026-08-18 14:42: Train Epoch 4: 580/820 Loss: 0.339489
2026-08-18 14:42: Train Epoch 4: 600/820 Loss: 0.315017
2026-08-18 14:42: Train Epoch 4: 620/820 Loss: 0.350172
2026-08-18 14:42: Train Epoch 4: 640/820 Loss: 0.360226
2026-08-18 14:43: Train Epoch 4: 660/820 Loss: 0.332966
2026-08-18 14:43: Train Epoch 4: 680/820 Loss: 0.355465
2026-08-18 14:43: Train Epoch 4: 700/820 Loss: 0.337570
2026-08-18 14:43: Train Epoch 4: 720/820 Loss: 0.336953
2026-08-18 14:43: Train Epoch 4: 740/820 Loss: 0.329972
2026-08-18 14:43: Train Epoch 4: 760/820 Loss: 0.336238
