Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial22_20260818161506/run.log
2026-08-18 16:15: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial22_20260818161506
2026-08-18 16:15: Train Epoch 1: 0/820 Loss: 0.873749
2026-08-18 16:15: Train Epoch 1: 20/820 Loss: 0.986725
2026-08-18 16:15: Train Epoch 1: 40/820 Loss: 0.804614
2026-08-18 16:15: Train Epoch 1: 60/820 Loss: 0.773887
2026-08-18 16:15: Train Epoch 1: 80/820 Loss: 0.795317
2026-08-18 16:15: Train Epoch 1: 100/820 Loss: 0.778869
2026-08-18 16:16: Train Epoch 1: 120/820 Loss: 0.764051
2026-08-18 16:16: Train Epoch 1: 140/820 Loss: 0.713027
2026-08-18 16:16: Train Epoch 1: 160/820 Loss: 0.710861
2026-08-18 16:16: Train Epoch 1: 180/820 Loss: 0.668303
2026-08-18 16:16: Train Epoch 1: 200/820 Loss: 0.634439
2026-08-18 16:16: Train Epoch 1: 220/820 Loss: 0.642645
2026-08-18 16:17: Train Epoch 1: 240/820 Loss: 0.653618
2026-08-18 16:17: Train Epoch 1: 260/820 Loss: 0.652879
2026-08-18 16:17: Train Epoch 1: 280/820 Loss: 0.665882
2026-08-18 16:17: Train Epoch 1: 300/820 Loss: 0.647304
2026-08-18 16:17: Train Epoch 1: 320/820 Loss: 0.616545
2026-08-18 16:17: Train Epoch 1: 340/820 Loss: 0.657710
2026-08-18 16:18: Train Epoch 1: 360/820 Loss: 0.629527
2026-08-18 16:18: Train Epoch 1: 380/820 Loss: 0.632112
2026-08-18 16:18: Train Epoch 1: 400/820 Loss: 0.616289
2026-08-18 16:18: Train Epoch 1: 420/820 Loss: 0.591457
2026-08-18 16:18: Train Epoch 1: 440/820 Loss: 0.615924
2026-08-18 16:18: Train Epoch 1: 460/820 Loss: 0.578587
2026-08-18 16:19: Train Epoch 1: 480/820 Loss: 0.556193
2026-08-18 16:19: Train Epoch 1: 500/820 Loss: 0.545827
2026-08-18 16:19: Train Epoch 1: 520/820 Loss: 0.521251
2026-08-18 16:19: Train Epoch 1: 540/820 Loss: 0.491754
2026-08-18 16:19: Train Epoch 1: 560/820 Loss: 0.451450
2026-08-18 16:19: Train Epoch 1: 580/820 Loss: 0.439734
2026-08-18 16:19: Train Epoch 1: 600/820 Loss: 0.433450
2026-08-18 16:20: Train Epoch 1: 620/820 Loss: 0.442306
2026-08-18 16:20: Train Epoch 1: 640/820 Loss: 0.422091
2026-08-18 16:20: Train Epoch 1: 660/820 Loss: 0.414130
2026-08-18 16:20: Train Epoch 1: 680/820 Loss: 0.397755
2026-08-18 16:20: Train Epoch 1: 700/820 Loss: 0.427347
2026-08-18 16:20: Train Epoch 1: 720/820 Loss: 0.431005
2026-08-18 16:21: Train Epoch 1: 740/820 Loss: 0.417415
2026-08-18 16:21: Train Epoch 1: 760/820 Loss: 0.430791
2026-08-18 16:21: Train Epoch 1: 780/820 Loss: 0.405143
2026-08-18 16:21: Train Epoch 1: 800/820 Loss: 0.404538
2026-08-18 16:21: **********Train Epoch 1: averaged Loss: 0.584567, tf_ratio: 1.000000
2026-08-18 16:22: **********Val Epoch 1: average Loss: 0.393420
2026-08-18 16:22: *********************************Current best model saved!
2026-08-18 16:22: Train Epoch 2: 0/820 Loss: 0.394303
2026-08-18 16:22: Train Epoch 2: 20/820 Loss: 0.417696
2026-08-18 16:22: Train Epoch 2: 40/820 Loss: 0.399268
2026-08-18 16:22: Train Epoch 2: 60/820 Loss: 0.409251
2026-08-18 16:23: Train Epoch 2: 80/820 Loss: 0.406693
2026-08-18 16:23: Train Epoch 2: 100/820 Loss: 0.417505
2026-08-18 16:23: Train Epoch 2: 120/820 Loss: 0.381720
2026-08-18 16:23: Train Epoch 2: 140/820 Loss: 0.378812
2026-08-18 16:23: Train Epoch 2: 160/820 Loss: 0.380739
2026-08-18 16:23: Train Epoch 2: 180/820 Loss: 0.384545
2026-08-18 16:24: Train Epoch 2: 200/820 Loss: 0.377770
2026-08-18 16:24: Train Epoch 2: 220/820 Loss: 0.392777
2026-08-18 16:24: Train Epoch 2: 240/820 Loss: 0.385021
2026-08-18 16:24: Train Epoch 2: 260/820 Loss: 0.377260
2026-08-18 16:24: Train Epoch 2: 280/820 Loss: 0.375499
2026-08-18 16:24: Train Epoch 2: 300/820 Loss: 0.360447
2026-08-18 16:25: Train Epoch 2: 320/820 Loss: 0.375851
2026-08-18 16:25: Train Epoch 2: 340/820 Loss: 0.377555
2026-08-18 16:25: Train Epoch 2: 360/820 Loss: 0.363926
2026-08-18 16:25: Train Epoch 2: 380/820 Loss: 0.388671
2026-08-18 16:25: Train Epoch 2: 400/820 Loss: 0.368219
2026-08-18 16:25: Train Epoch 2: 420/820 Loss: 0.371272
2026-08-18 16:26: Train Epoch 2: 440/820 Loss: 0.341538
2026-08-18 16:26: Train Epoch 2: 460/820 Loss: 0.377009
2026-08-18 16:26: Train Epoch 2: 480/820 Loss: 0.380773
