Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial23_20260818192938/run.log
2026-08-18 19:29: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial23_20260818192938
2026-08-18 19:29: Train Epoch 1: 0/1641 Loss: 0.933351
2026-08-18 19:29: Train Epoch 1: 20/1641 Loss: 0.979008
2026-08-18 19:29: Train Epoch 1: 40/1641 Loss: 0.794710
2026-08-18 19:29: Train Epoch 1: 60/1641 Loss: 0.745653
2026-08-18 19:29: Train Epoch 1: 80/1641 Loss: 0.699446
2026-08-18 19:29: Train Epoch 1: 100/1641 Loss: 0.709880
2026-08-18 19:29: Train Epoch 1: 120/1641 Loss: 0.685556
2026-08-18 19:29: Train Epoch 1: 140/1641 Loss: 0.646262
2026-08-18 19:30: Train Epoch 1: 160/1641 Loss: 0.625624
2026-08-18 19:30: Train Epoch 1: 180/1641 Loss: 0.697195
2026-08-18 19:30: Train Epoch 1: 200/1641 Loss: 0.645561
2026-08-18 19:30: Train Epoch 1: 220/1641 Loss: 0.660609
2026-08-18 19:30: Train Epoch 1: 240/1641 Loss: 0.621151
2026-08-18 19:30: Train Epoch 1: 260/1641 Loss: 0.623831
2026-08-18 19:30: Train Epoch 1: 280/1641 Loss: 0.623083
2026-08-18 19:30: Train Epoch 1: 300/1641 Loss: 0.647844
2026-08-18 19:30: Train Epoch 1: 320/1641 Loss: 0.600701
2026-08-18 19:30: Train Epoch 1: 340/1641 Loss: 0.602893
2026-08-18 19:30: Train Epoch 1: 360/1641 Loss: 0.534948
2026-08-18 19:30: Train Epoch 1: 380/1641 Loss: 0.604697
2026-08-18 19:30: Train Epoch 1: 400/1641 Loss: 0.560018
2026-08-18 19:30: Train Epoch 1: 420/1641 Loss: 0.517314
2026-08-18 19:30: Train Epoch 1: 440/1641 Loss: 0.478406
2026-08-18 19:30: Train Epoch 1: 460/1641 Loss: 0.454541
2026-08-18 19:30: Train Epoch 1: 480/1641 Loss: 0.479925
2026-08-18 19:30: Train Epoch 1: 500/1641 Loss: 0.406471
2026-08-18 19:30: Train Epoch 1: 520/1641 Loss: 0.397306
2026-08-18 19:30: Train Epoch 1: 540/1641 Loss: 0.425581
2026-08-18 19:30: Train Epoch 1: 560/1641 Loss: 0.433166
2026-08-18 19:30: Train Epoch 1: 580/1641 Loss: 0.394446
