Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial29_20260818232353/run.log
2026-08-18 23:23: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial29_20260818232353
2026-08-18 23:23: Train Epoch 1: 0/1640 Loss: 0.925819
2026-08-18 23:24: Train Epoch 1: 20/1640 Loss: 0.960195
2026-08-18 23:24: Train Epoch 1: 40/1640 Loss: 0.788490
2026-08-18 23:24: Train Epoch 1: 60/1640 Loss: 0.727179
2026-08-18 23:24: Train Epoch 1: 80/1640 Loss: 0.730753
2026-08-18 23:24: Train Epoch 1: 100/1640 Loss: 0.687603
2026-08-18 23:24: Train Epoch 1: 120/1640 Loss: 0.653240
2026-08-18 23:24: Train Epoch 1: 140/1640 Loss: 0.655538
2026-08-18 23:24: Train Epoch 1: 160/1640 Loss: 0.666821
2026-08-18 23:24: Train Epoch 1: 180/1640 Loss: 0.603924
2026-08-18 23:24: Train Epoch 1: 200/1640 Loss: 0.622703
2026-08-18 23:24: Train Epoch 1: 220/1640 Loss: 0.605831
2026-08-18 23:24: Train Epoch 1: 240/1640 Loss: 0.616310
2026-08-18 23:25: Train Epoch 1: 260/1640 Loss: 0.601557
2026-08-18 23:25: Train Epoch 1: 280/1640 Loss: 0.600953
2026-08-18 23:25: Train Epoch 1: 300/1640 Loss: 0.546211
2026-08-18 23:25: Train Epoch 1: 320/1640 Loss: 0.517788
2026-08-18 23:25: Train Epoch 1: 340/1640 Loss: 0.525845
2026-08-18 23:25: Train Epoch 1: 360/1640 Loss: 0.447569
2026-08-18 23:25: Train Epoch 1: 380/1640 Loss: 0.440776
2026-08-18 23:25: Train Epoch 1: 400/1640 Loss: 0.435443
2026-08-18 23:25: Train Epoch 1: 420/1640 Loss: 0.444458
2026-08-18 23:25: Train Epoch 1: 440/1640 Loss: 0.421637
2026-08-18 23:25: Train Epoch 1: 460/1640 Loss: 0.411040
2026-08-18 23:26: Train Epoch 1: 480/1640 Loss: 0.410295
2026-08-18 23:26: Train Epoch 1: 500/1640 Loss: 0.380354
2026-08-18 23:26: Train Epoch 1: 520/1640 Loss: 0.419597
2026-08-18 23:26: Train Epoch 1: 540/1640 Loss: 0.410566
2026-08-18 23:26: Train Epoch 1: 560/1640 Loss: 0.381562
2026-08-18 23:26: Train Epoch 1: 580/1640 Loss: 0.421273
2026-08-18 23:26: Train Epoch 1: 600/1640 Loss: 0.403491
2026-08-18 23:26: Train Epoch 1: 620/1640 Loss: 0.389814
2026-08-18 23:26: Train Epoch 1: 640/1640 Loss: 0.408133
2026-08-18 23:26: Train Epoch 1: 660/1640 Loss: 0.386487
2026-08-18 23:26: Train Epoch 1: 680/1640 Loss: 0.375106
2026-08-18 23:27: Train Epoch 1: 700/1640 Loss: 0.386652
2026-08-18 23:27: Train Epoch 1: 720/1640 Loss: 0.364880
2026-08-18 23:27: Train Epoch 1: 740/1640 Loss: 0.399512
2026-08-18 23:27: Train Epoch 1: 760/1640 Loss: 0.401149
2026-08-18 23:27: Train Epoch 1: 780/1640 Loss: 0.421394
2026-08-18 23:27: Train Epoch 1: 800/1640 Loss: 0.408979
2026-08-18 23:27: Train Epoch 1: 820/1640 Loss: 0.365087
