Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260819172806/run.log
2026-08-19 17:28: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260819172806
2026-08-19 17:28: Train Epoch 1: 0/1641 Loss: 0.982353
2026-08-19 17:28: Train Epoch 1: 20/1641 Loss: 0.822335
2026-08-19 17:28: Train Epoch 1: 40/1641 Loss: 0.817811
2026-08-19 17:28: Train Epoch 1: 60/1641 Loss: 0.741381
2026-08-19 17:28: Train Epoch 1: 80/1641 Loss: 0.741469
2026-08-19 17:28: Train Epoch 1: 100/1641 Loss: 0.832618
2026-08-19 17:28: Train Epoch 1: 120/1641 Loss: 0.643793
2026-08-19 17:28: Train Epoch 1: 140/1641 Loss: 0.700787
2026-08-19 17:28: Train Epoch 1: 160/1641 Loss: 0.666230
2026-08-19 17:28: Train Epoch 1: 180/1641 Loss: 0.656945
2026-08-19 17:28: Train Epoch 1: 200/1641 Loss: 0.646095
2026-08-19 17:28: Train Epoch 1: 220/1641 Loss: 0.662657
2026-08-19 17:28: Train Epoch 1: 240/1641 Loss: 0.642760
2026-08-19 17:28: Train Epoch 1: 260/1641 Loss: 0.660616
2026-08-19 17:28: Train Epoch 1: 280/1641 Loss: 0.634059
2026-08-19 17:28: Train Epoch 1: 300/1641 Loss: 0.600516
2026-08-19 17:28: Train Epoch 1: 320/1641 Loss: 0.615870
2026-08-19 17:28: Train Epoch 1: 340/1641 Loss: 0.604087
2026-08-19 17:28: Train Epoch 1: 360/1641 Loss: 0.648288
2026-08-19 17:29: Train Epoch 1: 380/1641 Loss: 0.658657
2026-08-19 17:29: Train Epoch 1: 400/1641 Loss: 0.617602
2026-08-19 17:29: Train Epoch 1: 420/1641 Loss: 0.620618
2026-08-19 17:29: Train Epoch 1: 440/1641 Loss: 0.575860
2026-08-19 17:29: Train Epoch 1: 460/1641 Loss: 0.584497
2026-08-19 17:29: Train Epoch 1: 480/1641 Loss: 0.518380
2026-08-19 17:29: Train Epoch 1: 500/1641 Loss: 0.494458
2026-08-19 17:29: Train Epoch 1: 520/1641 Loss: 0.480654
2026-08-19 17:29: Train Epoch 1: 540/1641 Loss: 0.463296
2026-08-19 17:29: Train Epoch 1: 560/1641 Loss: 0.430885
2026-08-19 17:29: Train Epoch 1: 580/1641 Loss: 0.473117
2026-08-19 17:29: Train Epoch 1: 600/1641 Loss: 0.450978
2026-08-19 17:29: Train Epoch 1: 620/1641 Loss: 0.442115
2026-08-19 17:29: Train Epoch 1: 640/1641 Loss: 0.416937
2026-08-19 17:29: Train Epoch 1: 660/1641 Loss: 0.415014
2026-08-19 17:29: Train Epoch 1: 680/1641 Loss: 0.446092
2026-08-19 17:29: Train Epoch 1: 700/1641 Loss: 0.428343
2026-08-19 17:29: Train Epoch 1: 720/1641 Loss: 0.415686
2026-08-19 17:29: Train Epoch 1: 740/1641 Loss: 0.428942
2026-08-19 17:29: Train Epoch 1: 760/1641 Loss: 0.429420
2026-08-19 17:29: Train Epoch 1: 780/1641 Loss: 0.419713
2026-08-19 17:29: Train Epoch 1: 800/1641 Loss: 0.400278
2026-08-19 17:29: Train Epoch 1: 820/1641 Loss: 0.393468
2026-08-19 17:30: Train Epoch 1: 840/1641 Loss: 0.400073
2026-08-19 17:30: Train Epoch 1: 860/1641 Loss: 0.406859
2026-08-19 17:30: Train Epoch 1: 880/1641 Loss: 0.377575
2026-08-19 17:30: Train Epoch 1: 900/1641 Loss: 0.416116
2026-08-19 17:30: Train Epoch 1: 920/1641 Loss: 0.364211
2026-08-19 17:30: Train Epoch 1: 940/1641 Loss: 0.386948
2026-08-19 17:30: Train Epoch 1: 960/1641 Loss: 0.391875
2026-08-19 17:30: Train Epoch 1: 980/1641 Loss: 0.410981
2026-08-19 17:30: Train Epoch 1: 1000/1641 Loss: 0.377434
2026-08-19 17:30: Train Epoch 1: 1020/1641 Loss: 0.378674
2026-08-19 17:30: Train Epoch 1: 1040/1641 Loss: 0.365372
2026-08-19 17:30: Train Epoch 1: 1060/1641 Loss: 0.377217
2026-08-19 17:30: Train Epoch 1: 1080/1641 Loss: 0.376732
2026-08-19 17:30: Train Epoch 1: 1100/1641 Loss: 0.374647
2026-08-19 17:30: Train Epoch 1: 1120/1641 Loss: 0.352048
2026-08-19 17:30: Train Epoch 1: 1140/1641 Loss: 0.390481
2026-08-19 17:30: Train Epoch 1: 1160/1641 Loss: 0.350962
2026-08-19 17:30: Train Epoch 1: 1180/1641 Loss: 0.374202
2026-08-19 17:30: Train Epoch 1: 1200/1641 Loss: 0.419482
2026-08-19 17:30: Train Epoch 1: 1220/1641 Loss: 0.396573
2026-08-19 17:30: Train Epoch 1: 1240/1641 Loss: 0.412879
2026-08-19 17:30: Train Epoch 1: 1260/1641 Loss: 0.363266
2026-08-19 17:31: Train Epoch 1: 1280/1641 Loss: 0.404791
2026-08-19 17:31: Train Epoch 1: 1300/1641 Loss: 0.361541
2026-08-19 17:31: Train Epoch 1: 1320/1641 Loss: 0.388663
2026-08-19 17:31: Train Epoch 1: 1340/1641 Loss: 0.356900
2026-08-19 17:31: Train Epoch 1: 1360/1641 Loss: 0.388263
2026-08-19 17:31: Train Epoch 1: 1380/1641 Loss: 0.359012
2026-08-19 17:31: Train Epoch 1: 1400/1641 Loss: 0.355253
2026-08-19 17:31: Train Epoch 1: 1420/1641 Loss: 0.350383
2026-08-19 17:31: Train Epoch 1: 1440/1641 Loss: 0.358497
2026-08-19 17:31: Train Epoch 1: 1460/1641 Loss: 0.359878
2026-08-19 17:31: Train Epoch 1: 1480/1641 Loss: 0.365799
2026-08-19 17:31: Train Epoch 1: 1500/1641 Loss: 0.375948
2026-08-19 17:31: Train Epoch 1: 1520/1641 Loss: 0.372479
2026-08-19 17:31: Train Epoch 1: 1540/1641 Loss: 0.346108
2026-08-19 17:31: Train Epoch 1: 1560/1641 Loss: 0.387543
2026-08-19 17:31: Train Epoch 1: 1580/1641 Loss: 0.359367
2026-08-19 17:31: Train Epoch 1: 1600/1641 Loss: 0.345245
2026-08-19 17:31: Train Epoch 1: 1620/1641 Loss: 0.353112
2026-08-19 17:31: Train Epoch 1: 1640/1641 Loss: 0.370482
2026-08-19 17:31: **********Train Epoch 1: averaged Loss: 0.476140, tf_ratio: 0.998866
2026-08-19 17:32: **********Val Epoch 1: average Loss: 0.355291
2026-08-19 17:32: *********************************Current best model saved!
2026-08-19 17:32: Train Epoch 2: 0/1641 Loss: 0.376403
2026-08-19 17:32: Train Epoch 2: 20/1641 Loss: 0.364505
2026-08-19 17:32: Train Epoch 2: 40/1641 Loss: 0.346671
2026-08-19 17:32: Train Epoch 2: 60/1641 Loss: 0.337495
2026-08-19 17:32: Train Epoch 2: 80/1641 Loss: 0.349620
2026-08-19 17:32: Train Epoch 2: 100/1641 Loss: 0.337677
2026-08-19 17:32: Train Epoch 2: 120/1641 Loss: 0.367702
2026-08-19 17:32: Train Epoch 2: 140/1641 Loss: 0.374507
2026-08-19 17:32: Train Epoch 2: 160/1641 Loss: 0.346839
2026-08-19 17:32: Train Epoch 2: 180/1641 Loss: 0.332952
2026-08-19 17:32: Train Epoch 2: 200/1641 Loss: 0.344901
2026-08-19 17:32: Train Epoch 2: 220/1641 Loss: 0.336299
2026-08-19 17:32: Train Epoch 2: 240/1641 Loss: 0.372818
2026-08-19 17:32: Train Epoch 2: 260/1641 Loss: 0.347274
2026-08-19 17:32: Train Epoch 2: 280/1641 Loss: 0.352248
2026-08-19 17:32: Train Epoch 2: 300/1641 Loss: 0.362987
2026-08-19 17:32: Train Epoch 2: 320/1641 Loss: 0.366195
2026-08-19 17:32: Train Epoch 2: 340/1641 Loss: 0.342452
2026-08-19 17:32: Train Epoch 2: 360/1641 Loss: 0.354488
2026-08-19 17:33: Train Epoch 2: 380/1641 Loss: 0.364551
2026-08-19 17:33: Train Epoch 2: 400/1641 Loss: 0.355759
2026-08-19 17:33: Train Epoch 2: 420/1641 Loss: 0.354331
2026-08-19 17:33: Train Epoch 2: 440/1641 Loss: 0.352440
2026-08-19 17:33: Train Epoch 2: 460/1641 Loss: 0.336883
2026-08-19 17:33: Train Epoch 2: 480/1641 Loss: 0.368797
2026-08-19 17:33: Train Epoch 2: 500/1641 Loss: 0.341913
2026-08-19 17:33: Train Epoch 2: 520/1641 Loss: 0.334230
2026-08-19 17:33: Train Epoch 2: 540/1641 Loss: 0.348753
2026-08-19 17:33: Train Epoch 2: 560/1641 Loss: 0.344138
2026-08-19 17:33: Train Epoch 2: 580/1641 Loss: 0.369503
2026-08-19 17:33: Train Epoch 2: 600/1641 Loss: 0.336417
2026-08-19 17:33: Train Epoch 2: 620/1641 Loss: 0.400814
2026-08-19 17:33: Train Epoch 2: 640/1641 Loss: 0.368673
2026-08-19 17:33: Train Epoch 2: 660/1641 Loss: 0.328271
2026-08-19 17:33: Train Epoch 2: 680/1641 Loss: 0.344300
2026-08-19 17:33: Train Epoch 2: 700/1641 Loss: 0.324191
2026-08-19 17:33: Train Epoch 2: 720/1641 Loss: 0.373265
2026-08-19 17:33: Train Epoch 2: 740/1641 Loss: 0.374842
2026-08-19 17:33: Train Epoch 2: 760/1641 Loss: 0.388356
2026-08-19 17:33: Train Epoch 2: 780/1641 Loss: 0.340268
2026-08-19 17:33: Train Epoch 2: 800/1641 Loss: 0.345983
2026-08-19 17:34: Train Epoch 2: 820/1641 Loss: 0.322136
2026-08-19 17:34: Train Epoch 2: 840/1641 Loss: 0.360508
2026-08-19 17:34: Train Epoch 2: 860/1641 Loss: 0.378010
2026-08-19 17:34: Train Epoch 2: 880/1641 Loss: 0.347557
2026-08-19 17:34: Train Epoch 2: 900/1641 Loss: 0.368101
2026-08-19 17:34: Train Epoch 2: 920/1641 Loss: 0.352274
2026-08-19 17:34: Train Epoch 2: 940/1641 Loss: 0.363382
2026-08-19 17:34: Train Epoch 2: 960/1641 Loss: 0.358641
2026-08-19 17:34: Train Epoch 2: 980/1641 Loss: 0.329752
2026-08-19 17:34: Train Epoch 2: 1000/1641 Loss: 0.341994
2026-08-19 17:34: Train Epoch 2: 1020/1641 Loss: 0.323209
2026-08-19 17:34: Train Epoch 2: 1040/1641 Loss: 0.338890
2026-08-19 17:34: Train Epoch 2: 1060/1641 Loss: 0.359071
2026-08-19 17:34: Train Epoch 2: 1080/1641 Loss: 0.347960
2026-08-19 17:34: Train Epoch 2: 1100/1641 Loss: 0.334751
2026-08-19 17:34: Train Epoch 2: 1120/1641 Loss: 0.340861
2026-08-19 17:34: Train Epoch 2: 1140/1641 Loss: 0.327667
2026-08-19 17:34: Train Epoch 2: 1160/1641 Loss: 0.370152
2026-08-19 17:34: Train Epoch 2: 1180/1641 Loss: 0.344529
2026-08-19 17:34: Train Epoch 2: 1200/1641 Loss: 0.344248
2026-08-19 17:34: Train Epoch 2: 1220/1641 Loss: 0.333187
2026-08-19 17:34: Train Epoch 2: 1240/1641 Loss: 0.331564
2026-08-19 17:34: Train Epoch 2: 1260/1641 Loss: 0.336790
2026-08-19 17:35: Train Epoch 2: 1280/1641 Loss: 0.362708
2026-08-19 17:35: Train Epoch 2: 1300/1641 Loss: 0.333405
2026-08-19 17:35: Train Epoch 2: 1320/1641 Loss: 0.357510
2026-08-19 17:35: Train Epoch 2: 1340/1641 Loss: 0.333756
2026-08-19 17:35: Train Epoch 2: 1360/1641 Loss: 0.353360
2026-08-19 17:35: Train Epoch 2: 1380/1641 Loss: 0.342293
2026-08-19 17:35: Train Epoch 2: 1400/1641 Loss: 0.342772
2026-08-19 17:35: Train Epoch 2: 1420/1641 Loss: 0.324907
2026-08-19 17:35: Train Epoch 2: 1440/1641 Loss: 0.358654
2026-08-19 17:35: Train Epoch 2: 1460/1641 Loss: 0.353393
2026-08-19 17:35: Train Epoch 2: 1480/1641 Loss: 0.337856
2026-08-19 17:35: Train Epoch 2: 1500/1641 Loss: 0.333862
2026-08-19 17:35: Train Epoch 2: 1520/1641 Loss: 0.348174
2026-08-19 17:35: Train Epoch 2: 1540/1641 Loss: 0.325227
2026-08-19 17:35: Train Epoch 2: 1560/1641 Loss: 0.320022
2026-08-19 17:35: Train Epoch 2: 1580/1641 Loss: 0.330548
2026-08-19 17:35: Train Epoch 2: 1600/1641 Loss: 0.339024
2026-08-19 17:35: Train Epoch 2: 1620/1641 Loss: 0.320998
2026-08-19 17:35: Train Epoch 2: 1640/1641 Loss: 0.330950
2026-08-19 17:35: **********Train Epoch 2: averaged Loss: 0.347768, tf_ratio: 0.997428
2026-08-19 17:36: **********Val Epoch 2: average Loss: 0.338678
2026-08-19 17:36: *********************************Current best model saved!
2026-08-19 17:36: Train Epoch 3: 0/1641 Loss: 0.332877
2026-08-19 17:36: Train Epoch 3: 20/1641 Loss: 0.331142
2026-08-19 17:36: Train Epoch 3: 40/1641 Loss: 0.339462
2026-08-19 17:36: Train Epoch 3: 60/1641 Loss: 0.314584
2026-08-19 17:36: Train Epoch 3: 80/1641 Loss: 0.317672
2026-08-19 17:36: Train Epoch 3: 100/1641 Loss: 0.344843
2026-08-19 17:36: Train Epoch 3: 120/1641 Loss: 0.306571
2026-08-19 17:36: Train Epoch 3: 140/1641 Loss: 0.329095
2026-08-19 17:36: Train Epoch 3: 160/1641 Loss: 0.359115
2026-08-19 17:36: Train Epoch 3: 180/1641 Loss: 0.341456
2026-08-19 17:36: Train Epoch 3: 200/1641 Loss: 0.334101
2026-08-19 17:36: Train Epoch 3: 220/1641 Loss: 0.346573
2026-08-19 17:36: Train Epoch 3: 240/1641 Loss: 0.317862
2026-08-19 17:36: Train Epoch 3: 260/1641 Loss: 0.316706
2026-08-19 17:36: Train Epoch 3: 280/1641 Loss: 0.287866
2026-08-19 17:36: Train Epoch 3: 300/1641 Loss: 0.339586
2026-08-19 17:36: Train Epoch 3: 320/1641 Loss: 0.328166
2026-08-19 17:36: Train Epoch 3: 340/1641 Loss: 0.346564
2026-08-19 17:37: Train Epoch 3: 360/1641 Loss: 0.306653
2026-08-19 17:37: Train Epoch 3: 380/1641 Loss: 0.324514
2026-08-19 17:37: Train Epoch 3: 400/1641 Loss: 0.340947
2026-08-19 17:37: Train Epoch 3: 420/1641 Loss: 0.334889
2026-08-19 17:37: Train Epoch 3: 440/1641 Loss: 0.327833
2026-08-19 17:37: Train Epoch 3: 460/1641 Loss: 0.347597
2026-08-19 17:37: Train Epoch 3: 480/1641 Loss: 0.334440
2026-08-19 17:37: Train Epoch 3: 500/1641 Loss: 0.322683
2026-08-19 17:37: Train Epoch 3: 520/1641 Loss: 0.323147
2026-08-19 17:37: Train Epoch 3: 540/1641 Loss: 0.332541
2026-08-19 17:37: Train Epoch 3: 560/1641 Loss: 0.349930
2026-08-19 17:37: Train Epoch 3: 580/1641 Loss: 0.328227
2026-08-19 17:37: Train Epoch 3: 600/1641 Loss: 0.316606
2026-08-19 17:37: Train Epoch 3: 620/1641 Loss: 0.329097
2026-08-19 17:37: Train Epoch 3: 640/1641 Loss: 0.356549
2026-08-19 17:37: Train Epoch 3: 660/1641 Loss: 0.352646
2026-08-19 17:37: Train Epoch 3: 680/1641 Loss: 0.347088
2026-08-19 17:37: Train Epoch 3: 700/1641 Loss: 0.324231
2026-08-19 17:37: Train Epoch 3: 720/1641 Loss: 0.358871
2026-08-19 17:37: Train Epoch 3: 740/1641 Loss: 0.329296
2026-08-19 17:37: Train Epoch 3: 760/1641 Loss: 0.350895
2026-08-19 17:37: Train Epoch 3: 780/1641 Loss: 0.330979
2026-08-19 17:38: Train Epoch 3: 800/1641 Loss: 0.338570
2026-08-19 17:38: Train Epoch 3: 820/1641 Loss: 0.353162
2026-08-19 17:38: Train Epoch 3: 840/1641 Loss: 0.319343
2026-08-19 17:38: Train Epoch 3: 860/1641 Loss: 0.342790
2026-08-19 17:38: Train Epoch 3: 880/1641 Loss: 0.309873
2026-08-19 17:38: Train Epoch 3: 900/1641 Loss: 0.338971
2026-08-19 17:38: Train Epoch 3: 920/1641 Loss: 0.339512
2026-08-19 17:38: Train Epoch 3: 940/1641 Loss: 0.305145
2026-08-19 17:38: Train Epoch 3: 960/1641 Loss: 0.287203
2026-08-19 17:38: Train Epoch 3: 980/1641 Loss: 0.336193
2026-08-19 17:38: Train Epoch 3: 1000/1641 Loss: 0.323919
2026-08-19 17:38: Train Epoch 3: 1020/1641 Loss: 0.323993
2026-08-19 17:38: Train Epoch 3: 1040/1641 Loss: 0.375187
2026-08-19 17:38: Train Epoch 3: 1060/1641 Loss: 0.308474
2026-08-19 17:38: Train Epoch 3: 1080/1641 Loss: 0.321977
2026-08-19 17:38: Train Epoch 3: 1100/1641 Loss: 0.343023
2026-08-19 17:38: Train Epoch 3: 1120/1641 Loss: 0.321998
2026-08-19 17:38: Train Epoch 3: 1140/1641 Loss: 0.357544
2026-08-19 17:38: Train Epoch 3: 1160/1641 Loss: 0.330825
2026-08-19 17:38: Train Epoch 3: 1180/1641 Loss: 0.327234
2026-08-19 17:38: Train Epoch 3: 1200/1641 Loss: 0.336299
2026-08-19 17:38: Train Epoch 3: 1220/1641 Loss: 0.317699
2026-08-19 17:39: Train Epoch 3: 1240/1641 Loss: 0.324262
2026-08-19 17:39: Train Epoch 3: 1260/1641 Loss: 0.313541
2026-08-19 17:39: Train Epoch 3: 1280/1641 Loss: 0.349755
2026-08-19 17:39: Train Epoch 3: 1300/1641 Loss: 0.335114
2026-08-19 17:39: Train Epoch 3: 1320/1641 Loss: 0.361507
2026-08-19 17:39: Train Epoch 3: 1340/1641 Loss: 0.334797
2026-08-19 17:39: Train Epoch 3: 1360/1641 Loss: 0.336655
2026-08-19 17:39: Train Epoch 3: 1380/1641 Loss: 0.337227
2026-08-19 17:39: Train Epoch 3: 1400/1641 Loss: 0.337605
2026-08-19 17:39: Train Epoch 3: 1420/1641 Loss: 0.362417
2026-08-19 17:39: Train Epoch 3: 1440/1641 Loss: 0.341408
2026-08-19 17:39: Train Epoch 3: 1460/1641 Loss: 0.329430
2026-08-19 17:39: Train Epoch 3: 1480/1641 Loss: 0.350285
2026-08-19 17:39: Train Epoch 3: 1500/1641 Loss: 0.322011
2026-08-19 17:39: Train Epoch 3: 1520/1641 Loss: 0.344182
2026-08-19 17:39: Train Epoch 3: 1540/1641 Loss: 0.315666
2026-08-19 17:39: Train Epoch 3: 1560/1641 Loss: 0.321774
2026-08-19 17:39: Train Epoch 3: 1580/1641 Loss: 0.330247
2026-08-19 17:39: Train Epoch 3: 1600/1641 Loss: 0.337305
2026-08-19 17:39: Train Epoch 3: 1620/1641 Loss: 0.333258
2026-08-19 17:39: Train Epoch 3: 1640/1641 Loss: 0.336597
2026-08-19 17:39: **********Train Epoch 3: averaged Loss: 0.333577, tf_ratio: 0.994176
2026-08-19 17:40: **********Val Epoch 3: average Loss: 0.328618
2026-08-19 17:40: *********************************Current best model saved!
2026-08-19 17:40: Train Epoch 4: 0/1641 Loss: 0.298842
2026-08-19 17:40: Train Epoch 4: 20/1641 Loss: 0.303823
2026-08-19 17:40: Train Epoch 4: 40/1641 Loss: 0.325758
