Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260819222740/run.log
2026-08-19 22:27: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260819222740
2026-08-19 22:27: Train Epoch 1: 0/1641 Loss: 0.977144
2026-08-19 22:27: Train Epoch 1: 20/1641 Loss: 0.819538
2026-08-19 22:27: Train Epoch 1: 40/1641 Loss: 0.886769
2026-08-19 22:27: Train Epoch 1: 60/1641 Loss: 0.776601
2026-08-19 22:27: Train Epoch 1: 80/1641 Loss: 0.771342
2026-08-19 22:27: Train Epoch 1: 100/1641 Loss: 0.877310
2026-08-19 22:27: Train Epoch 1: 120/1641 Loss: 0.711920
2026-08-19 22:28: Train Epoch 1: 140/1641 Loss: 0.767114
2026-08-19 22:28: Train Epoch 1: 160/1641 Loss: 0.768289
2026-08-19 22:28: Train Epoch 1: 180/1641 Loss: 0.751227
2026-08-19 22:28: Train Epoch 1: 200/1641 Loss: 0.747314
2026-08-19 22:28: Train Epoch 1: 220/1641 Loss: 0.743506
2026-08-19 22:28: Train Epoch 1: 240/1641 Loss: 0.740148
2026-08-19 22:28: Train Epoch 1: 260/1641 Loss: 0.718938
2026-08-19 22:28: Train Epoch 1: 280/1641 Loss: 0.697700
2026-08-19 22:28: Train Epoch 1: 300/1641 Loss: 0.656179
2026-08-19 22:28: Train Epoch 1: 320/1641 Loss: 0.646524
2026-08-19 22:28: Train Epoch 1: 340/1641 Loss: 0.610710
2026-08-19 22:28: Train Epoch 1: 360/1641 Loss: 0.604593
2026-08-19 22:28: Train Epoch 1: 380/1641 Loss: 0.615193
2026-08-19 22:28: Train Epoch 1: 400/1641 Loss: 0.548185
2026-08-19 22:28: Train Epoch 1: 420/1641 Loss: 0.541972
2026-08-19 22:28: Train Epoch 1: 440/1641 Loss: 0.552603
2026-08-19 22:28: Train Epoch 1: 460/1641 Loss: 0.529136
2026-08-19 22:28: Train Epoch 1: 480/1641 Loss: 0.502664
2026-08-19 22:28: Train Epoch 1: 500/1641 Loss: 0.511004
2026-08-19 22:28: Train Epoch 1: 520/1641 Loss: 0.483035
2026-08-19 22:28: Train Epoch 1: 540/1641 Loss: 0.485905
2026-08-19 22:28: Train Epoch 1: 560/1641 Loss: 0.485161
2026-08-19 22:29: Train Epoch 1: 580/1641 Loss: 0.516852
2026-08-19 22:29: Train Epoch 1: 600/1641 Loss: 0.492092
2026-08-19 22:29: Train Epoch 1: 620/1641 Loss: 0.502109
2026-08-19 22:29: Train Epoch 1: 640/1641 Loss: 0.469038
2026-08-19 22:29: Train Epoch 1: 660/1641 Loss: 0.485391
2026-08-19 22:29: Train Epoch 1: 680/1641 Loss: 0.520999
2026-08-19 22:29: Train Epoch 1: 700/1641 Loss: 0.488910
2026-08-19 22:29: Train Epoch 1: 720/1641 Loss: 0.460971
2026-08-19 22:29: Train Epoch 1: 740/1641 Loss: 0.492307
2026-08-19 22:29: Train Epoch 1: 760/1641 Loss: 0.491963
2026-08-19 22:29: Train Epoch 1: 780/1641 Loss: 0.495211
2026-08-19 22:29: Train Epoch 1: 800/1641 Loss: 0.494164
2026-08-19 22:29: Train Epoch 1: 820/1641 Loss: 0.464191
2026-08-19 22:29: Train Epoch 1: 840/1641 Loss: 0.490690
2026-08-19 22:29: Train Epoch 1: 860/1641 Loss: 0.484174
2026-08-19 22:29: Train Epoch 1: 880/1641 Loss: 0.451488
2026-08-19 22:29: Train Epoch 1: 900/1641 Loss: 0.470625
2026-08-19 22:29: Train Epoch 1: 920/1641 Loss: 0.444268
2026-08-19 22:29: Train Epoch 1: 940/1641 Loss: 0.457980
2026-08-19 22:29: Train Epoch 1: 960/1641 Loss: 0.471049
2026-08-19 22:29: Train Epoch 1: 980/1641 Loss: 0.495979
2026-08-19 22:29: Train Epoch 1: 1000/1641 Loss: 0.459843
2026-08-19 22:30: Train Epoch 1: 1020/1641 Loss: 0.473165
2026-08-19 22:30: Train Epoch 1: 1040/1641 Loss: 0.467801
