Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260820003627/run.log
2026-08-20 00:36: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260820003627
2026-08-20 00:36: Train Epoch 1: 0/1641 Loss: 0.911850
2026-08-20 00:36: Train Epoch 1: 20/1641 Loss: 0.955023
2026-08-20 00:36: Train Epoch 1: 40/1641 Loss: 0.955292
2026-08-20 00:36: Train Epoch 1: 60/1641 Loss: 0.828685
2026-08-20 00:36: Train Epoch 1: 80/1641 Loss: 0.790582
2026-08-20 00:36: Train Epoch 1: 100/1641 Loss: 0.839378
2026-08-20 00:36: Train Epoch 1: 120/1641 Loss: 0.747687
2026-08-20 00:36: Train Epoch 1: 140/1641 Loss: 0.756422
2026-08-20 00:36: Train Epoch 1: 160/1641 Loss: 0.711737
2026-08-20 00:36: Train Epoch 1: 180/1641 Loss: 0.751134
2026-08-20 00:36: Train Epoch 1: 200/1641 Loss: 0.752983
2026-08-20 00:36: Train Epoch 1: 220/1641 Loss: 0.711032
2026-08-20 00:37: Train Epoch 1: 240/1641 Loss: 0.713049
2026-08-20 00:37: Train Epoch 1: 260/1641 Loss: 0.692746
2026-08-20 00:37: Train Epoch 1: 280/1641 Loss: 0.711676
2026-08-20 00:37: Train Epoch 1: 300/1641 Loss: 0.669935
2026-08-20 00:37: Train Epoch 1: 320/1641 Loss: 0.641725
2026-08-20 00:37: Train Epoch 1: 340/1641 Loss: 0.646809
2026-08-20 00:37: Train Epoch 1: 360/1641 Loss: 0.595526
2026-08-20 00:37: Train Epoch 1: 380/1641 Loss: 0.553147
2026-08-20 00:37: Train Epoch 1: 400/1641 Loss: 0.561419
2026-08-20 00:37: Train Epoch 1: 420/1641 Loss: 0.570985
2026-08-20 00:37: Train Epoch 1: 440/1641 Loss: 0.514618
2026-08-20 00:37: Train Epoch 1: 460/1641 Loss: 0.493576
2026-08-20 00:37: Train Epoch 1: 480/1641 Loss: 0.524785
2026-08-20 00:37: Train Epoch 1: 500/1641 Loss: 0.514676
2026-08-20 00:37: Train Epoch 1: 520/1641 Loss: 0.506203
2026-08-20 00:37: Train Epoch 1: 540/1641 Loss: 0.485871
2026-08-20 00:37: Train Epoch 1: 560/1641 Loss: 0.518923
2026-08-20 00:37: Train Epoch 1: 580/1641 Loss: 0.520739
2026-08-20 00:37: Train Epoch 1: 600/1641 Loss: 0.506584
2026-08-20 00:37: Train Epoch 1: 620/1641 Loss: 0.468610
2026-08-20 00:37: Train Epoch 1: 640/1641 Loss: 0.465893
2026-08-20 00:37: Train Epoch 1: 660/1641 Loss: 0.507632
2026-08-20 00:38: Train Epoch 1: 680/1641 Loss: 0.493068
2026-08-20 00:38: Train Epoch 1: 700/1641 Loss: 0.492410
2026-08-20 00:38: Train Epoch 1: 720/1641 Loss: 0.448561
2026-08-20 00:38: Train Epoch 1: 740/1641 Loss: 0.521520
2026-08-20 00:38: Train Epoch 1: 760/1641 Loss: 0.506382
2026-08-20 00:38: Train Epoch 1: 780/1641 Loss: 0.451124
2026-08-20 00:38: Train Epoch 1: 800/1641 Loss: 0.503747
2026-08-20 00:38: Train Epoch 1: 820/1641 Loss: 0.489072
2026-08-20 00:38: Train Epoch 1: 840/1641 Loss: 0.473419
2026-08-20 00:38: Train Epoch 1: 860/1641 Loss: 0.458815
2026-08-20 00:38: Train Epoch 1: 880/1641 Loss: 0.482174
2026-08-20 00:38: Train Epoch 1: 900/1641 Loss: 0.454251
2026-08-20 00:38: Train Epoch 1: 920/1641 Loss: 0.445503
2026-08-20 00:38: Train Epoch 1: 940/1641 Loss: 0.429493
2026-08-20 00:38: Train Epoch 1: 960/1641 Loss: 0.472728
2026-08-20 00:38: Train Epoch 1: 980/1641 Loss: 0.462896
2026-08-20 00:38: Train Epoch 1: 1000/1641 Loss: 0.478841
2026-08-20 00:38: Train Epoch 1: 1020/1641 Loss: 0.466863
2026-08-20 00:38: Train Epoch 1: 1040/1641 Loss: 0.476666
2026-08-20 00:38: Train Epoch 1: 1060/1641 Loss: 0.458975
2026-08-20 00:38: Train Epoch 1: 1080/1641 Loss: 0.428735
2026-08-20 00:38: Train Epoch 1: 1100/1641 Loss: 0.472396
2026-08-20 00:39: Train Epoch 1: 1120/1641 Loss: 0.501588
2026-08-20 00:39: Train Epoch 1: 1140/1641 Loss: 0.462584
