data.name,model,model.N,model.epsilon_theta,model.d_h,model.T_h,model.T_p,model.sample_strategy,model.sample_steps,model.beta_end,n_samples,epoch,best_epoch,batch_size,lr,wd,early_stop,is_test,log_time,mae,rmse,mape,crps,mis,time,model_path,log_path,forecast_path
PEMS08,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,0,8,0.002,1e-05,10,True,1:21:2,348.21887,441.28482,236.91806,0.7915482270090204,1939.6548,3232.9333886131644,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8N-200+T_h-12+T_p-12+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.pkl
SAWS,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,0,8,0.002,1e-05,10,True,5:15:30,16.556593,21.255888,82.21579,0.6312014429192794,102.72953,0.8570211260812357,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+SAWS+0.0+True+False+0.002+8N-200+T_h-12+T_p-12+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+12+8+True+SAWS+0.0+True+False+0.002+8.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+SAWS+0.0+True+False+0.002+8.pkl
SAWS,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,3,8,0.002,1e-05,10,True,5:31:46,14.413685,18.51333,71.82186,0.5807874077244809,96.70754,0.7964363899081945,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+SAWS+0.0+True+False+0.002+8N-200+T_h-12+T_p-12+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+12+8+True+SAWS+0.0+True+False+0.002+8.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+SAWS+0.0+True+False+0.002+8.pkl
SAWS,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,3,8,0.002,1e-05,10,True,5:46:45,14.916692,18.933887,78.698135,0.5992523996453536,95.51162,3.281179280951619,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+SAWS+0.0+True+False+0.002+8N-200+T_h-12+T_p-12+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+12+8+True+SAWS+0.0+True+False+0.002+8.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+SAWS+0.0+True+False+0.002+8.pkl
SAWS,UGnet,200,UGnet,16,24,24,ddim_multi,40,0.2,16,300,71,8,0.002,1e-05,10,False,1:59:54,2.6466348,3.5299444,26.360914,0.12122809259515059,35.90353,1800.223302296945,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+16+200+quad+0.2+100+ddpm+24+16+True+SAWS+0.75+False+False+0.002+8+5+diffstg_saws_tuning+NoneN-200+T_h-24+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+16+200+quad+0.2+100+ddpm+24+16+True+SAWS+0.75+False+False+0.002+8+5+diffstg_saws_tuning+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+16+200+quad+0.2+100+ddpm+24+16+True+SAWS+0.75+False+False+0.002+8+5+diffstg_saws_tuning+None.pkl
SAWS,UGnet,100,UGnet,64,24,24,ddim_multi,40,0.2,16,30,26,8,0.002,1e-05,10,False,15:19:42,3.0468554,4.035193,39.380722,0.14032017557244553,43.609875,7466.072394592746,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+64+100+quad+0.2+50+ddpm+24+16+True+SAWS+0.75+False+False+0.002+8+30+diffstg_saws_tuning+NoneN-100+T_h-24+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+64+100+quad+0.2+50+ddpm+24+16+True+SAWS+0.75+False+False+0.002+8+30+diffstg_saws_tuning+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+64+100+quad+0.2+50+ddpm+24+16+True+SAWS+0.75+False+False+0.002+8+30+diffstg_saws_tuning+None.pkl
SAWS,UGnet,200,UGnet,64,48,24,ddim_multi,40,0.4,16,30,2,8,0.002,1e-05,10,False,8:44:20,24569044000000.0,33820510000000.0,207960860000000.0,1008581766090.1052,274812660000000.0,11539.643576378847,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+64+200+quad+0.4+50+ddpm+48+16+True+SAWS+0.0+False+False+0.002+8+30+diffstg_saws_tuning+NoneN-200+T_h-48+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+64+200+quad+0.4+50+ddpm+48+16+True+SAWS+0.0+False+False+0.002+8+30+diffstg_saws_tuning+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+64+200+quad+0.4+50+ddpm+48+16+True+SAWS+0.0+False+False+0.002+8+30+diffstg_saws_tuning+None.pkl
SAWS,UGnet,300,UGnet,64,12,24,ddim_multi,40,0.1,16,30,0,8,0.002,1e-05,10,False,19:26:26,3.665958,4.8911533,43.015533,0.1641680692371569,34.78088,5651.193354316027,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+64+300+quad+0.1+100+ddpm+12+16+True+SAWS+0.0+False+False+0.002+8+30+diffstg_saws_tuning+NoneN-300+T_h-12+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+64+300+quad+0.1+100+ddpm+12+16+True+SAWS+0.0+False+False+0.002+8+30+diffstg_saws_tuning+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+64+300+quad+0.1+100+ddpm+12+16+True+SAWS+0.0+False+False+0.002+8+30+diffstg_saws_tuning+None.pkl
SAWS,UGnet,200,UGnet,32,24,24,ddim_multi,40,0.1,8,30,28,8,0.002,1e-05,10,False,18:19:3,3.330822,4.4308186,inf,0.15884272675765188,62.515762,1773.4742885837331,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+200+quad+0.1+50+ddpm+24+8+True+SAWS+0.75+False+False+0.002+8+30+diffstg_saws_tuning_v2+NoneN-200+T_h-24+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+200+quad+0.1+50+ddpm+24+8+True+SAWS+0.75+False+False+0.002+8+30+diffstg_saws_tuning_v2+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+50+ddpm+24+8+True+SAWS+0.75+False+False+0.002+8+30+diffstg_saws_tuning_v2+None.pkl
SAWS,UGnet,300,UGnet,32,24,24,ddim_multi,40,0.1,8,30,25,8,0.002,1e-05,10,False,10:15:17,2.0518172,2.776367,inf,0.09257699941333972,26.345173,1769.5388827926945,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+30+diffstg_saws_tuning_v2+NoneN-300+T_h-24+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+30+diffstg_saws_tuning_v2+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+30+diffstg_saws_tuning_v2+None.pkl
