id,latitude,longitude
0,-22.0,15.0
1,-22.0,15.5
2,-22.0,16.0
3,-22.0,16.5
4,-22.0,17.0
5,-22.0,17.5
6,-22.0,18.0
7,-22.0,18.5
8,-22.0,19.0
9,-22.0,19.5
10,-22.0,20.0
11,-22.0,20.5
12,-22.0,21.0
13,-22.0,21.5
14,-22.0,22.0
15,-22.0,22.5
16,-22.0,23.0
17,-22.0,23.5
18,-22.0,24.0
19,-22.0,24.5
20,-22.0,25.0
21,-22.0,25.5
22,-22.0,26.0
23,-22.0,26.5
24,-22.0,27.0
25,-22.0,27.5
26,-22.0,28.0
27,-22.0,28.5
28,-22.0,29.0
29,-22.0,29.5
30,-22.0,30.0
31,-22.0,30.5
32,-22.0,31.0
33,-22.0,31.5
34,-22.0,32.0
35,-22.0,32.5
36,-22.0,33.0
37,-22.5,15.0
38,-22.5,15.5
39,-22.5,16.0
40,-22.5,16.5
41,-22.5,17.0
42,-22.5,17.5
43,-22.5,18.0
44,-22.5,18.5
45,-22.5,19.0
46,-22.5,19.5
47,-22.5,20.0
48,-22.5,20.5
49,-22.5,21.0
50,-22.5,21.5
51,-22.5,22.0
52,-22.5,22.5
53,-22.5,23.0
54,-22.5,23.5
55,-22.5,24.0
56,-22.5,24.5
57,-22.5,25.0
58,-22.5,25.5
59,-22.5,26.0
60,-22.5,26.5
61,-22.5,27.0
62,-22.5,27.5
63,-22.5,28.0
64,-22.5,28.5
65,-22.5,29.0
66,-22.5,29.5
67,-22.5,30.0
68,-22.5,30.5
69,-22.5,31.0
70,-22.5,31.5
71,-22.5,32.0
72,-22.5,32.5
73,-22.5,33.0
74,-23.0,15.0
75,-23.0,15.5
76,-23.0,16.0
77,-23.0,16.5
78,-23.0,17.0
79,-23.0,17.5
80,-23.0,18.0
81,-23.0,18.5
82,-23.0,19.0
83,-23.0,19.5
84,-23.0,20.0
85,-23.0,20.5
86,-23.0,21.0
87,-23.0,21.5
88,-23.0,22.0
89,-23.0,22.5
90,-23.0,23.0
91,-23.0,23.5
92,-23.0,24.0
93,-23.0,24.5
94,-23.0,25.0
95,-23.0,25.5
96,-23.0,26.0
97,-23.0,26.5
98,-23.0,27.0
99,-23.0,27.5
100,-23.0,28.0
101,-23.0,28.5
102,-23.0,29.0
103,-23.0,29.5
104,-23.0,30.0
105,-23.0,30.5
106,-23.0,31.0
107,-23.0,31.5
108,-23.0,32.0
109,-23.0,32.5
110,-23.0,33.0
111,-23.5,15.0
112,-23.5,15.5
113,-23.5,16.0
114,-23.5,16.5
115,-23.5,17.0
116,-23.5,17.5
117,-23.5,18.0
118,-23.5,18.5
119,-23.5,19.0
120,-23.5,19.5
121,-23.5,20.0
122,-23.5,20.5
123,-23.5,21.0
124,-23.5,21.5
125,-23.5,22.0
126,-23.5,22.5
127,-23.5,23.0
128,-23.5,23.5
129,-23.5,24.0
130,-23.5,24.5
131,-23.5,25.0
132,-23.5,25.5
133,-23.5,26.0
134,-23.5,26.5
135,-23.5,27.0
136,-23.5,27.5
137,-23.5,28.0
138,-23.5,28.5
139,-23.5,29.0
140,-23.5,29.5
141,-23.5,30.0
142,-23.5,30.5
143,-23.5,31.0
144,-23.5,31.5
145,-23.5,32.0
146,-23.5,32.5
147,-23.5,33.0
148,-24.0,15.0
149,-24.0,15.5
150,-24.0,16.0
151,-24.0,16.5
152,-24.0,17.0
153,-24.0,17.5
154,-24.0,18.0
155,-24.0,18.5
156,-24.0,19.0
157,-24.0,19.5
158,-24.0,20.0
159,-24.0,20.5
160,-24.0,21.0
161,-24.0,21.5
162,-24.0,22.0
163,-24.0,22.5
164,-24.0,23.0
165,-24.0,23.5
166,-24.0,24.0
167,-24.0,24.5
168,-24.0,25.0
169,-24.0,25.5
170,-24.0,26.0
171,-24.0,26.5
172,-24.0,27.0
173,-24.0,27.5
174,-24.0,28.0
175,-24.0,28.5
176,-24.0,29.0
177,-24.0,29.5
178,-24.0,30.0
179,-24.0,30.5
180,-24.0,31.0
181,-24.0,31.5
182,-24.0,32.0
183,-24.0,32.5
184,-24.0,33.0
185,-24.5,15.0
186,-24.5,15.5
187,-24.5,16.0
188,-24.5,16.5
189,-24.5,17.0
190,-24.5,17.5
191,-24.5,18.0
192,-24.5,18.5
193,-24.5,19.0
194,-24.5,19.5
195,-24.5,20.0
196,-24.5,20.5
197,-24.5,21.0
198,-24.5,21.5
199,-24.5,22.0
200,-24.5,22.5
201,-24.5,23.0
202,-24.5,23.5
203,-24.5,24.0
204,-24.5,24.5
205,-24.5,25.0
206,-24.5,25.5
207,-24.5,26.0
208,-24.5,26.5
209,-24.5,27.0
210,-24.5,27.5
211,-24.5,28.0
212,-24.5,28.5
213,-24.5,29.0
214,-24.5,29.5
215,-24.5,30.0
216,-24.5,30.5
217,-24.5,31.0
218,-24.5,31.5
219,-24.5,32.0
220,-24.5,32.5
221,-24.5,33.0
222,-25.0,15.0
223,-25.0,15.5
224,-25.0,16.0
225,-25.0,16.5
226,-25.0,17.0
227,-25.0,17.5
228,-25.0,18.0
229,-25.0,18.5
230,-25.0,19.0
231,-25.0,19.5
232,-25.0,20.0
233,-25.0,20.5
234,-25.0,21.0
235,-25.0,21.5
236,-25.0,22.0
237,-25.0,22.5
238,-25.0,23.0
239,-25.0,23.5
240,-25.0,24.0
241,-25.0,24.5
242,-25.0,25.0
243,-25.0,25.5
244,-25.0,26.0
245,-25.0,26.5
246,-25.0,27.0
247,-25.0,27.5
248,-25.0,28.0
249,-25.0,28.5
250,-25.0,29.0
251,-25.0,29.5
252,-25.0,30.0
253,-25.0,30.5
254,-25.0,31.0
255,-25.0,31.5
256,-25.0,32.0
257,-25.0,32.5
258,-25.0,33.0
259,-25.5,15.0
260,-25.5,15.5
261,-25.5,16.0
262,-25.5,16.5
263,-25.5,17.0
264,-25.5,17.5
265,-25.5,18.0
266,-25.5,18.5
267,-25.5,19.0
268,-25.5,19.5
269,-25.5,20.0
270,-25.5,20.5
271,-25.5,21.0
272,-25.5,21.5
273,-25.5,22.0
274,-25.5,22.5
275,-25.5,23.0
276,-25.5,23.5
277,-25.5,24.0
278,-25.5,24.5
279,-25.5,25.0
280,-25.5,25.5
281,-25.5,26.0
282,-25.5,26.5
283,-25.5,27.0
284,-25.5,27.5
285,-25.5,28.0
286,-25.5,28.5
287,-25.5,29.0
288,-25.5,29.5
289,-25.5,30.0
290,-25.5,30.5
291,-25.5,31.0
292,-25.5,31.5
293,-25.5,32.0
294,-25.5,32.5
295,-25.5,33.0
296,-26.0,15.0
297,-26.0,15.5
298,-26.0,16.0
299,-26.0,16.5
300,-26.0,17.0
301,-26.0,17.5
302,-26.0,18.0
303,-26.0,18.5
304,-26.0,19.0
305,-26.0,19.5
306,-26.0,20.0
307,-26.0,20.5
308,-26.0,21.0
309,-26.0,21.5
310,-26.0,22.0
311,-26.0,22.5
312,-26.0,23.0
313,-26.0,23.5
314,-26.0,24.0
315,-26.0,24.5
316,-26.0,25.0
317,-26.0,25.5
318,-26.0,26.0
319,-26.0,26.5
320,-26.0,27.0
321,-26.0,27.5
322,-26.0,28.0
323,-26.0,28.5
324,-26.0,29.0
325,-26.0,29.5
326,-26.0,30.0
327,-26.0,30.5
328,-26.0,31.0
329,-26.0,31.5
330,-26.0,32.0
331,-26.0,32.5
332,-26.0,33.0
333,-26.5,15.0
334,-26.5,15.5
335,-26.5,16.0
336,-26.5,16.5
337,-26.5,17.0
338,-26.5,17.5
339,-26.5,18.0
340,-26.5,18.5
341,-26.5,19.0
342,-26.5,19.5
343,-26.5,20.0
344,-26.5,20.5
345,-26.5,21.0
346,-26.5,21.5
347,-26.5,22.0
348,-26.5,22.5
349,-26.5,23.0
350,-26.5,23.5
351,-26.5,24.0
352,-26.5,24.5
353,-26.5,25.0
354,-26.5,25.5
355,-26.5,26.0
356,-26.5,26.5
357,-26.5,27.0
358,-26.5,27.5
359,-26.5,28.0
360,-26.5,28.5
361,-26.5,29.0
362,-26.5,29.5
363,-26.5,30.0
364,-26.5,30.5
365,-26.5,31.0
366,-26.5,31.5
367,-26.5,32.0
368,-26.5,32.5
369,-26.5,33.0
370,-27.0,15.0
371,-27.0,15.5
372,-27.0,16.0
373,-27.0,16.5
374,-27.0,17.0
375,-27.0,17.5
376,-27.0,18.0
377,-27.0,18.5
378,-27.0,19.0
379,-27.0,19.5
380,-27.0,20.0
381,-27.0,20.5
382,-27.0,21.0
383,-27.0,21.5
384,-27.0,22.0
385,-27.0,22.5
386,-27.0,23.0
387,-27.0,23.5
388,-27.0,24.0
389,-27.0,24.5
390,-27.0,25.0
391,-27.0,25.5
392,-27.0,26.0
393,-27.0,26.5
394,-27.0,27.0
395,-27.0,27.5
396,-27.0,28.0
397,-27.0,28.5
398,-27.0,29.0
399,-27.0,29.5
400,-27.0,30.0
401,-27.0,30.5
402,-27.0,31.0
403,-27.0,31.5
404,-27.0,32.0
405,-27.0,32.5
406,-27.0,33.0
407,-27.5,15.0
408,-27.5,15.5
409,-27.5,16.0
410,-27.5,16.5
411,-27.5,17.0
412,-27.5,17.5
413,-27.5,18.0
414,-27.5,18.5
415,-27.5,19.0
416,-27.5,19.5
417,-27.5,20.0
418,-27.5,20.5
419,-27.5,21.0
420,-27.5,21.5
421,-27.5,22.0
422,-27.5,22.5
423,-27.5,23.0
424,-27.5,23.5
425,-27.5,24.0
426,-27.5,24.5
427,-27.5,25.0
428,-27.5,25.5
429,-27.5,26.0
430,-27.5,26.5
431,-27.5,27.0
432,-27.5,27.5
433,-27.5,28.0
434,-27.5,28.5
435,-27.5,29.0
436,-27.5,29.5
437,-27.5,30.0
438,-27.5,30.5
439,-27.5,31.0
440,-27.5,31.5
441,-27.5,32.0
442,-27.5,32.5
443,-27.5,33.0
444,-28.0,15.0
445,-28.0,15.5
446,-28.0,16.0
447,-28.0,16.5
448,-28.0,17.0
449,-28.0,17.5
450,-28.0,18.0
451,-28.0,18.5
452,-28.0,19.0
453,-28.0,19.5
454,-28.0,20.0
455,-28.0,20.5
456,-28.0,21.0
457,-28.0,21.5
458,-28.0,22.0
459,-28.0,22.5
460,-28.0,23.0
461,-28.0,23.5
462,-28.0,24.0
463,-28.0,24.5
464,-28.0,25.0
465,-28.0,25.5
466,-28.0,26.0
467,-28.0,26.5
468,-28.0,27.0
469,-28.0,27.5
470,-28.0,28.0
471,-28.0,28.5
472,-28.0,29.0
473,-28.0,29.5
474,-28.0,30.0
475,-28.0,30.5
476,-28.0,31.0
477,-28.0,31.5
478,-28.0,32.0
479,-28.0,32.5
480,-28.0,33.0
481,-28.5,15.0
482,-28.5,15.5
483,-28.5,16.0
484,-28.5,16.5
485,-28.5,17.0
486,-28.5,17.5
487,-28.5,18.0
488,-28.5,18.5
489,-28.5,19.0
490,-28.5,19.5
491,-28.5,20.0
492,-28.5,20.5
493,-28.5,21.0
494,-28.5,21.5
495,-28.5,22.0
496,-28.5,22.5
497,-28.5,23.0
498,-28.5,23.5
499,-28.5,24.0
500,-28.5,24.5
501,-28.5,25.0
502,-28.5,25.5
503,-28.5,26.0
504,-28.5,26.5
505,-28.5,27.0
506,-28.5,27.5
507,-28.5,28.0
508,-28.5,28.5
509,-28.5,29.0
510,-28.5,29.5
511,-28.5,30.0
512,-28.5,30.5
513,-28.5,31.0
514,-28.5,31.5
515,-28.5,32.0
516,-28.5,32.5
517,-28.5,33.0
518,-29.0,15.0
519,-29.0,15.5
520,-29.0,16.0
521,-29.0,16.5
522,-29.0,17.0
523,-29.0,17.5
524,-29.0,18.0
525,-29.0,18.5
526,-29.0,19.0
527,-29.0,19.5
528,-29.0,20.0
529,-29.0,20.5
530,-29.0,21.0
531,-29.0,21.5
532,-29.0,22.0
533,-29.0,22.5
534,-29.0,23.0
535,-29.0,23.5
536,-29.0,24.0
537,-29.0,24.5
538,-29.0,25.0
539,-29.0,25.5
540,-29.0,26.0
541,-29.0,26.5
542,-29.0,27.0
543,-29.0,27.5
544,-29.0,28.0
545,-29.0,28.5
546,-29.0,29.0
547,-29.0,29.5
548,-29.0,30.0
549,-29.0,30.5
550,-29.0,31.0
551,-29.0,31.5
552,-29.0,32.0
553,-29.0,32.5
554,-29.0,33.0
555,-29.5,15.0
556,-29.5,15.5
557,-29.5,16.0
558,-29.5,16.5
559,-29.5,17.0
560,-29.5,17.5
561,-29.5,18.0
562,-29.5,18.5
563,-29.5,19.0
564,-29.5,19.5
565,-29.5,20.0
566,-29.5,20.5
567,-29.5,21.0
568,-29.5,21.5
569,-29.5,22.0
570,-29.5,22.5
571,-29.5,23.0
572,-29.5,23.5
573,-29.5,24.0
574,-29.5,24.5
575,-29.5,25.0
576,-29.5,25.5
577,-29.5,26.0
578,-29.5,26.5
579,-29.5,27.0
580,-29.5,27.5
581,-29.5,28.0
582,-29.5,28.5
583,-29.5,29.0
584,-29.5,29.5
585,-29.5,30.0
586,-29.5,30.5
587,-29.5,31.0
588,-29.5,31.5
589,-29.5,32.0
590,-29.5,32.5
591,-29.5,33.0
592,-30.0,15.0
593,-30.0,15.5
594,-30.0,16.0
595,-30.0,16.5
596,-30.0,17.0
597,-30.0,17.5
598,-30.0,18.0
599,-30.0,18.5
600,-30.0,19.0
601,-30.0,19.5
602,-30.0,20.0
603,-30.0,20.5
604,-30.0,21.0
605,-30.0,21.5
606,-30.0,22.0
607,-30.0,22.5
608,-30.0,23.0
609,-30.0,23.5
610,-30.0,24.0
611,-30.0,24.5
612,-30.0,25.0
613,-30.0,25.5
614,-30.0,26.0
615,-30.0,26.5
616,-30.0,27.0
617,-30.0,27.5
618,-30.0,28.0
619,-30.0,28.5
620,-30.0,29.0
621,-30.0,29.5
622,-30.0,30.0
623,-30.0,30.5
624,-30.0,31.0
625,-30.0,31.5
626,-30.0,32.0
627,-30.0,32.5
628,-30.0,33.0
629,-30.5,15.0
