Temperature,Humidity,Pressure,Rain,Wind Direction,Wind Speed
21.8,82.0,998.5,0.0,90.0,1.4
21.3,83.0,997.9,0.0,130.0,1.1
22.0,82.0,997.3,0.0,0.0,0.0
22.1,81.0,997.0,0.0,80.0,1.4
22.5,81.0,998.1,0.0,100.0,1.3
22.8,81.0,998.9,0.0,0.0,0.0
21.9,89.0,999.4,0.0,180.0,1.1
22.1,87.0,999.9,0.0,0.0,0.0
23.9,78.0,999.7,0.0,210.0,1.6
24.0,76.0,999.3,0.0,190.0,2.5
27.5,60.0,998.7,0.0,180.0,2.5
30.4,49.0,998.0,0.0,100.0,1.6
31.8,47.0,997.1,0.0,150.0,2.0
33.5,41.0,996.6,0.0,200.0,3.2
34.5,37.0,996.0,0.0,190.0,3.5
31.8,42.0,995.8,0.0,160.0,4.4
29.4,52.0,996.4,0.0,170.0,4.9
26.8,58.0,997.5,0.0,170.0,4.8
24.9,65.0,998.5,0.0,160.0,3.5
22.6,76.0,999.6,0.0,170.0,2.6
22.6,76.0,1000.1,0.0,120.0,2.2
22.7,77.0,1000.7,0.0,120.0,1.1
22.4,80.0,1001.0,0.0,180.0,2.0
22.3,78.0,1000.8,0.0,190.0,2.0
21.9,79.0,1000.8,0.0,200.0,1.9
21.9,80.0,1001.2,0.0,210.0,2.0
21.6,83.0,1001.5,0.0,220.0,1.3
21.1,84.0,1001.5,0.0,0.0,0.0
20.6,85.0,1002.1,0.0,0.0,0.0
21.2,83.0,1002.9,0.0,0.0,0.0
22.1,76.0,1003.5,0.0,0.0,0.0
22.6,74.0,1003.7,0.0,90.0,1.6
24.7,64.0,1003.3,0.0,60.0,1.7
24.7,64.0,1003.3,0.0,170.0,1.2
28.2,51.0,1002.3,0.0,160.0,1.5
30.3,44.0,1001.5,0.0,150.0,2.1
30.7,42.0,1000.7,0.0,150.0,2.1
32.1,38.0,1000.3,0.0,160.0,3.2
31.5,38.0,1000.3,0.0,150.0,4.5
29.8,42.0,1000.5,0.0,160.0,5.1
28.3,43.0,1000.5,0.0,160.0,4.9
27.6,41.0,1000.7,0.0,160.0,3.8
25.0,51.0,1001.4,0.0,150.0,3.4
21.9,71.0,1001.7,0.0,150.0,2.4
20.3,78.0,1002.1,0.0,0.0,0.0
18.8,82.0,1002.4,0.0,0.0,0.0
17.4,86.0,1002.4,0.0,0.0,0.0
16.6,87.0,1002.1,0.0,0.0,0.0
16.4,89.0,1001.5,0.0,90.0,1.9
16.1,91.0,1000.6,0.0,90.0,1.4
16.0,91.0,1000.2,0.0,0.0,0.0
17.1,89.0,1000.0,0.0,0.0,0.0
17.0,88.0,1000.0,0.0,90.0,1.7
17.4,88.0,999.8,0.0,90.0,2.4
20.6,77.0,999.6,0.0,80.0,1.5
23.5,66.0,999.8,0.0,0.0,0.0
26.2,57.0,999.3,0.0,290.0,1.6
29.0,48.0,998.4,0.0,270.0,1.4
33.6,35.0,997.7,0.0,290.0,1.4
35.7,24.0,997.1,0.0,230.0,2.1
38.3,24.0,996.4,0.0,210.0,2.4
37.6,24.0,996.0,0.0,190.0,5.0
37.2,20.0,996.0,0.0,190.0,5.2
35.5,21.0,996.5,0.0,190.0,5.0
34.8,21.0,996.5,0.0,190.0,4.4
33.1,26.0,996.7,0.0,200.0,4.1
27.8,65.0,997.2,0.0,210.0,4.2
24.5,79.0,998.3,0.0,220.0,3.1
22.9,86.0,999.3,0.0,270.0,1.9
22.0,88.0,999.5,0.0,270.0,1.2
20.1,89.0,999.4,0.0,0.0,0.0
21.0,88.0,999.2,0.0,0.0,0.0
22.2,88.0,999.2,0.0,250.0,1.3
22.0,88.0,998.9,0.0,200.0,1.4
22.2,85.0,998.6,0.0,150.0,1.5
22.3,84.0,998.4,0.0,0.0,0.0
22.4,84.0,998.8,0.0,320.0,1.1
22.5,84.0,999.6,0.0,250.0,1.2
23.8,78.0,1000.1,0.0,0.0,0.0
25.2,69.0,1000.5,0.0,0.0,0.0
26.5,64.0,1000.2,0.0,0.0,0.0
30.5,49.0,999.6,0.0,80.0,1.6
33.6,40.0,998.7,0.0,120.0,2.4
35.6,36.0,997.3,0.0,90.0,2.7
37.1,38.0,996.4,0.0,160.0,3.9
37.2,39.0,995.3,0.0,170.0,5.7
37.1,38.0,994.9,0.0,120.0,5.1
35.9,42.0,994.7,0.0,110.0,5.5
34.7,44.0,994.5,0.0,120.0,5.6
33.2,46.0,994.9,0.0,120.0,5.1
29.5,58.0,995.9,0.0,130.0,4.1
26.2,70.0,997.0,0.0,150.0,3.3
24.8,76.0,997.5,0.0,150.0,3.0
24.7,76.0,997.9,0.0,150.0,2.4
24.2,79.0,997.6,0.0,170.0,2.0
24.7,74.0,997.6,0.0,150.0,1.8
24.4,76.0,997.4,0.0,160.0,1.9
23.7,82.0,996.8,0.0,200.0,2.3
23.6,82.0,996.7,0.0,200.0,2.0
23.5,82.0,996.8,0.0,220.0,1.8
23.8,80.0,997.1,0.0,190.0,1.2
23.8,82.0,997.2,0.0,0.0,0.0
24.2,80.0,997.4,0.0,310.0,1.4
25.1,77.0,997.4,0.0,280.0,1.6
26.0,74.0,997.2,0.0,230.0,2.2
27.0,68.0,997.0,0.0,220.0,2.0
28.6,60.0,996.5,0.0,260.0,1.3
30.0,56.0,996.0,0.0,240.0,2.0
31.0,55.0,994.7,0.0,220.0,2.7
33.2,49.0,993.7,0.0,240.0,2.5
32.3,52.0,993.3,0.0,210.0,3.9
31.8,55.0,993.0,0.0,210.0,4.1
30.4,58.0,993.1,0.0,200.0,4.7
28.0,67.0,993.8,0.0,190.0,4.7
25.1,78.0,993.8,0.0,190.0,3.6
24.9,80.0,994.3,0.0,190.0,2.2
24.7,80.0,994.8,0.0,210.0,2.0
24.6,82.0,995.3,0.0,220.0,1.6
24.3,85.0,995.4,0.0,230.0,1.7
24.3,84.0,995.7,0.0,220.0,1.7
24.4,83.0,995.6,0.0,240.0,1.4
24.4,82.0,995.1,0.0,280.0,1.4
24.4,81.0,994.6,0.0,0.0,0.0
24.4,81.0,994.2,0.0,0.0,0.0
24.2,79.0,994.3,0.0,0.0,0.0
25.1,77.0,994.5,0.0,0.0,0.0
26.0,71.0,994.7,0.0,210.0,1.3
26.2,66.0,994.6,0.0,200.0,2.9
28.9,53.0,994.3,0.0,210.0,3.1
31.3,44.0,993.8,0.0,220.0,2.9
31.6,41.0,993.4,0.0,200.0,3.1
32.4,39.0,992.7,0.0,190.0,3.3
32.6,45.0,992.4,0.0,180.0,4.1
31.7,48.0,992.1,0.0,160.0,4.9
30.9,49.0,991.8,0.0,160.0,5.8
29.4,51.0,991.8,0.0,170.0,5.6
28.4,45.0,992.0,0.0,170.0,5.2
26.1,58.0,993.2,0.0,170.0,5.4
24.6,69.0,994.1,0.0,160.0,4.4
23.8,73.0,994.9,0.0,170.0,3.0
23.6,74.0,995.7,0.0,130.0,1.2
22.7,76.0,995.2,0.0,140.0,1.2
22.1,77.0,996.1,0.0,180.0,1.4
21.2,91.0,996.3,0.0,190.0,2.0
20.8,90.0,996.1,1.4,0.0,0.0
