id,station,climate_number,latitude,longitude,height
0,ADDO ELEPHANT PARK,0055447,-33.442,25.748,142.0
1,ALIWAL-NORTH PLAATKOP,0175678,-30.802,26.883,1350.0
2,BETHLEHEM WO,0331585 9,-28.249,28.334,1689.0
3,BLOEMFONTEIN WO,0261516,-29.103,26.298,1354.0
4,CAPE ST FRANCIS,0017582,-34.211,24.834,9.0
5,CEDARA,0239482 0,-29.541,30.265,1071.0
6,DOHNE - AGR,0079811,-32.527,27.46,901.0
7,EAST LONDON WO,0059572,-33.035,27.816,134.0
8,ELLIOT,0150620,-31.336,27.84,1464.0
9,FAURESMITH,0291570 1,-29.753,25.323,1387.0
10,FICKSBURG,0296709,-28.827,27.904,1628.0
11,GRAAFF - REINET,0096072 5,-32.193,24.543,792.0
12,GRAHAMSTOWN,0056917 8,-33.29,26.502,642.0
13,KNELLPOORTDAM,0232707 1,-29.786,26.903,1468.0
14,KOKSTAD,0269894 1,-30.502,29.394,1451.0
15,LADYSMITH,0300454 3,-28.575,29.75,1069.0
16,MAKATINI RESEARCH CENTRE,0411323 2,-27.394,32.176,63.0
17,MARGATE,0182591,-30.858,30.343,152.0
18,MOUNT EDGECOMBE,0241072 9,-29.706,31.046,94.0
19,NGQURA - COEGA,0035288,-33.805,25.669,47.0
20,ORIBI AIRPORT,0239699 7,-29.647,30.399,721.0
21,PIETERMARITZBURG,0239698 5,-29.627,30.402,673.0
22,PONGOLA,0410175,-27.413,31.59,319.0
23,PORT ALFRED - AIRPORT,0037574 1,-33.559,26.88,84.0
24,PORT ELIZABETH AWOS,0035209,-33.986,25.616,60.0
25,PRETORIA UNIVERSITY PROEFPLAAS,0513435,-25.752,28.258,1380.0
26,RIVERVIEW,0339327 3,-28.444,32.182,49.0
27,ROYAL NATIONAL PARK,0298791 9,-28.685,28.954,1392.0
28,SOMERSET EAST,0055363 1,-33.049,25.719,513.0
29,UMTHATHA WO,0127272,-31.549,28.673,745.0
30,VAN REENEN,0333682,-28.378,29.385,1683.0
31,ZUURBEKOM AWS,0475528,-26.3,27.813,1581.0
