2026-08-23 04:49: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260823044947
2026-08-23 04:49: Train Epoch 1: 0/1641 Loss: 0.974466
2026-08-23 04:49: Train Epoch 1: 20/1641 Loss: 0.976484
2026-08-23 04:49: Train Epoch 1: 40/1641 Loss: 0.922015
2026-08-23 04:49: Train Epoch 1: 60/1641 Loss: 0.847426
2026-08-23 04:50: Train Epoch 1: 80/1641 Loss: 0.791088
2026-08-23 04:50: Train Epoch 1: 100/1641 Loss: 0.838172
2026-08-23 04:50: Train Epoch 1: 120/1641 Loss: 0.789859
2026-08-23 04:50: Train Epoch 1: 140/1641 Loss: 0.786704
2026-08-23 04:50: Train Epoch 1: 160/1641 Loss: 0.770160
2026-08-23 04:50: Train Epoch 1: 180/1641 Loss: 0.806916
2026-08-23 04:50: Train Epoch 1: 200/1641 Loss: 0.794224
2026-08-23 04:50: Train Epoch 1: 220/1641 Loss: 0.781188
2026-08-23 04:50: Train Epoch 1: 240/1641 Loss: 0.764013
2026-08-23 04:50: Train Epoch 1: 260/1641 Loss: 0.772304
2026-08-23 04:50: Train Epoch 1: 280/1641 Loss: 0.817708
2026-08-23 04:50: Train Epoch 1: 300/1641 Loss: 0.780534
2026-08-23 04:50: Train Epoch 1: 320/1641 Loss: 0.755106
2026-08-23 04:50: Train Epoch 1: 340/1641 Loss: 0.794467
2026-08-23 04:50: Train Epoch 1: 360/1641 Loss: 0.767247
2026-08-23 04:50: Train Epoch 1: 380/1641 Loss: 0.745543
2026-08-23 04:50: Train Epoch 1: 400/1641 Loss: 0.778285
2026-08-23 04:50: Train Epoch 1: 420/1641 Loss: 0.764899
2026-08-23 04:50: Train Epoch 1: 440/1641 Loss: 0.749110
2026-08-23 04:50: Train Epoch 1: 460/1641 Loss: 0.777964
2026-08-23 04:50: Train Epoch 1: 480/1641 Loss: 0.749514
2026-08-23 04:50: Train Epoch 1: 500/1641 Loss: 0.773792
2026-08-23 04:51: Train Epoch 1: 520/1641 Loss: 0.749493
2026-08-23 04:51: Train Epoch 1: 540/1641 Loss: 0.755118
2026-08-23 04:51: Train Epoch 1: 560/1641 Loss: 0.773022
2026-08-23 04:51: Train Epoch 1: 580/1641 Loss: 0.736429
2026-08-23 04:51: Train Epoch 1: 600/1641 Loss: 0.761291
2026-08-23 04:51: Train Epoch 1: 620/1641 Loss: 0.704706
2026-08-23 04:51: Train Epoch 1: 640/1641 Loss: 0.767503
2026-08-23 04:51: Train Epoch 1: 660/1641 Loss: 0.751746
2026-08-23 04:51: Train Epoch 1: 680/1641 Loss: 0.745037
2026-08-23 04:51: Train Epoch 1: 700/1641 Loss: 0.768448
2026-08-23 04:51: Train Epoch 1: 720/1641 Loss: 0.734635
2026-08-23 04:51: Train Epoch 1: 740/1641 Loss: 0.738295
2026-08-23 04:51: Train Epoch 1: 760/1641 Loss: 0.721986
2026-08-23 04:51: Train Epoch 1: 780/1641 Loss: 0.732256
2026-08-23 04:51: Train Epoch 1: 800/1641 Loss: 0.761872
2026-08-23 04:51: Train Epoch 1: 820/1641 Loss: 0.707827
2026-08-23 04:51: Train Epoch 1: 840/1641 Loss: 0.733743
2026-08-23 04:51: Train Epoch 1: 860/1641 Loss: 0.718427
2026-08-23 04:51: Train Epoch 1: 880/1641 Loss: 0.738208
2026-08-23 04:51: Train Epoch 1: 900/1641 Loss: 0.724235
2026-08-23 04:51: Train Epoch 1: 920/1641 Loss: 0.721703
2026-08-23 04:51: Train Epoch 1: 940/1641 Loss: 0.723317
2026-08-23 04:52: Train Epoch 1: 960/1641 Loss: 0.724906
2026-08-23 04:52: Train Epoch 1: 980/1641 Loss: 0.729929
