Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260821230405/run.log
2026-08-21 23:04: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260821230405
2026-08-21 23:04: Train Epoch 1: 0/1641 Loss: 0.954053
2026-08-21 23:04: Train Epoch 1: 20/1641 Loss: 0.941988
2026-08-21 23:04: Train Epoch 1: 40/1641 Loss: 0.819893
2026-08-21 23:04: Train Epoch 1: 60/1641 Loss: 0.689450
2026-08-21 23:04: Train Epoch 1: 80/1641 Loss: 0.678566
2026-08-21 23:04: Train Epoch 1: 100/1641 Loss: 0.667134
2026-08-21 23:04: Train Epoch 1: 120/1641 Loss: 0.680787
2026-08-21 23:04: Train Epoch 1: 140/1641 Loss: 0.662509
2026-08-21 23:04: Train Epoch 1: 160/1641 Loss: 0.687798
2026-08-21 23:04: Train Epoch 1: 180/1641 Loss: 0.646520
2026-08-21 23:04: Train Epoch 1: 200/1641 Loss: 0.661331
2026-08-21 23:04: Train Epoch 1: 220/1641 Loss: 0.677728
2026-08-21 23:04: Train Epoch 1: 240/1641 Loss: 0.645402
2026-08-21 23:04: Train Epoch 1: 260/1641 Loss: 0.671148
2026-08-21 23:04: Train Epoch 1: 280/1641 Loss: 0.656544
2026-08-21 23:04: Train Epoch 1: 300/1641 Loss: 0.620144
2026-08-21 23:04: Train Epoch 1: 320/1641 Loss: 0.651229
2026-08-21 23:04: Train Epoch 1: 340/1641 Loss: 0.658114
2026-08-21 23:04: Train Epoch 1: 360/1641 Loss: 0.665297
2026-08-21 23:05: Train Epoch 1: 380/1641 Loss: 0.653050
2026-08-21 23:05: Train Epoch 1: 400/1641 Loss: 0.642849
2026-08-21 23:05: Train Epoch 1: 420/1641 Loss: 0.670115
2026-08-21 23:05: Train Epoch 1: 440/1641 Loss: 0.662623
2026-08-21 23:05: Train Epoch 1: 460/1641 Loss: 0.602070
2026-08-21 23:05: Train Epoch 1: 480/1641 Loss: 0.657338
2026-08-21 23:05: Train Epoch 1: 500/1641 Loss: 0.611733
2026-08-21 23:05: Train Epoch 1: 520/1641 Loss: 0.614790
2026-08-21 23:05: Train Epoch 1: 540/1641 Loss: 0.630195
2026-08-21 23:05: Train Epoch 1: 560/1641 Loss: 0.646894
2026-08-21 23:05: Train Epoch 1: 580/1641 Loss: 0.629252
2026-08-21 23:05: Train Epoch 1: 600/1641 Loss: 0.618139
2026-08-21 23:05: Train Epoch 1: 620/1641 Loss: 0.589814
2026-08-21 23:05: Train Epoch 1: 640/1641 Loss: 0.618273
2026-08-21 23:05: Train Epoch 1: 660/1641 Loss: 0.602408
2026-08-21 23:05: Train Epoch 1: 680/1641 Loss: 0.574918
2026-08-21 23:05: Train Epoch 1: 700/1641 Loss: 0.588039
2026-08-21 23:05: Train Epoch 1: 720/1641 Loss: 0.537230
2026-08-21 23:05: Train Epoch 1: 740/1641 Loss: 0.584749
2026-08-21 23:05: Train Epoch 1: 760/1641 Loss: 0.580011
2026-08-21 23:05: Train Epoch 1: 780/1641 Loss: 0.556535
2026-08-21 23:06: Train Epoch 1: 800/1641 Loss: 0.572936
2026-08-21 23:06: Train Epoch 1: 820/1641 Loss: 0.564936
2026-08-21 23:06: Train Epoch 1: 840/1641 Loss: 0.561436
2026-08-21 23:06: Train Epoch 1: 860/1641 Loss: 0.579736
2026-08-21 23:06: Train Epoch 1: 880/1641 Loss: 0.567417
2026-08-21 23:06: Train Epoch 1: 900/1641 Loss: 0.550522
2026-08-21 23:06: Train Epoch 1: 920/1641 Loss: 0.560072
2026-08-21 23:06: Train Epoch 1: 940/1641 Loss: 0.518156
2026-08-21 23:06: Train Epoch 1: 960/1641 Loss: 0.535585
2026-08-21 23:06: Train Epoch 1: 980/1641 Loss: 0.542905
2026-08-21 23:06: Train Epoch 1: 1000/1641 Loss: 0.518792
2026-08-21 23:06: Train Epoch 1: 1020/1641 Loss: 0.597171
2026-08-21 23:06: Train Epoch 1: 1040/1641 Loss: 0.539974
2026-08-21 23:06: Train Epoch 1: 1060/1641 Loss: 0.536270
2026-08-21 23:06: Train Epoch 1: 1080/1641 Loss: 0.545366
2026-08-21 23:06: Train Epoch 1: 1100/1641 Loss: 0.576113
2026-08-21 23:06: Train Epoch 1: 1120/1641 Loss: 0.589909
2026-08-21 23:06: Train Epoch 1: 1140/1641 Loss: 0.564195
2026-08-21 23:06: Train Epoch 1: 1160/1641 Loss: 0.578518
2026-08-21 23:06: Train Epoch 1: 1180/1641 Loss: 0.522208
2026-08-21 23:06: Train Epoch 1: 1200/1641 Loss: 0.507805
2026-08-21 23:07: Train Epoch 1: 1220/1641 Loss: 0.508451
2026-08-21 23:07: Train Epoch 1: 1240/1641 Loss: 0.537376
2026-08-21 23:07: Train Epoch 1: 1260/1641 Loss: 0.582484
2026-08-21 23:07: Train Epoch 1: 1280/1641 Loss: 0.550200
2026-08-21 23:07: Train Epoch 1: 1300/1641 Loss: 0.594030
2026-08-21 23:07: Train Epoch 1: 1320/1641 Loss: 0.588628
2026-08-21 23:07: Train Epoch 1: 1340/1641 Loss: 0.525986
2026-08-21 23:07: Train Epoch 1: 1360/1641 Loss: 0.584978
2026-08-21 23:07: Train Epoch 1: 1380/1641 Loss: 0.545723
2026-08-21 23:07: Train Epoch 1: 1400/1641 Loss: 0.543155
2026-08-21 23:07: Train Epoch 1: 1420/1641 Loss: 0.580382
2026-08-21 23:07: Train Epoch 1: 1440/1641 Loss: 0.550417
2026-08-21 23:07: Train Epoch 1: 1460/1641 Loss: 0.554692
2026-08-21 23:07: Train Epoch 1: 1480/1641 Loss: 0.560297
2026-08-21 23:07: Train Epoch 1: 1500/1641 Loss: 0.532875
2026-08-21 23:07: Train Epoch 1: 1520/1641 Loss: 0.569816
2026-08-21 23:07: Train Epoch 1: 1540/1641 Loss: 0.602863
2026-08-21 23:07: Train Epoch 1: 1560/1641 Loss: 0.571262
2026-08-21 23:07: Train Epoch 1: 1580/1641 Loss: 0.530985
2026-08-21 23:07: Train Epoch 1: 1600/1641 Loss: 0.564655
2026-08-21 23:07: Train Epoch 1: 1620/1641 Loss: 0.546956
2026-08-21 23:07: Train Epoch 1: 1640/1641 Loss: 0.575941
2026-08-21 23:07: **********Train Epoch 1: averaged Loss: 0.600839, tf_ratio: 1.000000
2026-08-21 23:08: **********Val Epoch 1: average Loss: 0.523369
2026-08-21 23:08: *********************************Current best model saved!
2026-08-21 23:08: Train Epoch 2: 0/1641 Loss: 0.577695
2026-08-21 23:08: Train Epoch 2: 20/1641 Loss: 0.573910
2026-08-21 23:08: Train Epoch 2: 40/1641 Loss: 0.526808
2026-08-21 23:08: Train Epoch 2: 60/1641 Loss: 0.544508
2026-08-21 23:08: Train Epoch 2: 80/1641 Loss: 0.529983
2026-08-21 23:08: Train Epoch 2: 100/1641 Loss: 0.529715
2026-08-21 23:08: Train Epoch 2: 120/1641 Loss: 0.524293
2026-08-21 23:08: Train Epoch 2: 140/1641 Loss: 0.530358
