Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260823082527/run.log
2026-08-23 08:25: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260823082527
2026-08-23 08:25: Train Epoch 1: 0/1641 Loss: 0.631896
2026-08-23 08:25: Train Epoch 1: 20/1641 Loss: 0.598799
2026-08-23 08:25: Train Epoch 1: 40/1641 Loss: 0.355087
2026-08-23 08:25: Train Epoch 1: 60/1641 Loss: 0.217518
2026-08-23 08:25: Train Epoch 1: 80/1641 Loss: 0.156824
2026-08-23 08:25: Train Epoch 1: 100/1641 Loss: 0.103038
2026-08-23 08:25: Train Epoch 1: 120/1641 Loss: 0.064383
2026-08-23 08:25: Train Epoch 1: 140/1641 Loss: 0.084029
2026-08-23 08:25: Train Epoch 1: 160/1641 Loss: 0.105288
2026-08-23 08:25: Train Epoch 1: 180/1641 Loss: 0.098174
2026-08-23 08:25: Train Epoch 1: 200/1641 Loss: 0.087670
2026-08-23 08:26: Train Epoch 1: 220/1641 Loss: 0.134671
2026-08-23 08:26: Train Epoch 1: 240/1641 Loss: 0.049053
2026-08-23 08:26: Train Epoch 1: 260/1641 Loss: 0.083510
2026-08-23 08:26: Train Epoch 1: 280/1641 Loss: 0.084702
2026-08-23 08:26: Train Epoch 1: 300/1641 Loss: 0.139092
2026-08-23 08:26: Train Epoch 1: 320/1641 Loss: 0.084903
2026-08-23 08:26: Train Epoch 1: 340/1641 Loss: 0.121472
2026-08-23 08:26: Train Epoch 1: 360/1641 Loss: 0.112499
2026-08-23 08:26: Train Epoch 1: 380/1641 Loss: 0.095986
2026-08-23 08:26: Train Epoch 1: 400/1641 Loss: 0.080280
2026-08-23 08:26: Train Epoch 1: 420/1641 Loss: 0.123979
2026-08-23 08:26: Train Epoch 1: 440/1641 Loss: 0.125037
2026-08-23 08:26: Train Epoch 1: 460/1641 Loss: 0.088653
2026-08-23 08:26: Train Epoch 1: 480/1641 Loss: 0.100889
2026-08-23 08:26: Train Epoch 1: 500/1641 Loss: 0.108373
2026-08-23 08:26: Train Epoch 1: 520/1641 Loss: 0.106617
2026-08-23 08:26: Train Epoch 1: 540/1641 Loss: 0.106537
2026-08-23 08:26: Train Epoch 1: 560/1641 Loss: 0.113335
2026-08-23 08:26: Train Epoch 1: 580/1641 Loss: 0.132693
2026-08-23 08:26: Train Epoch 1: 600/1641 Loss: 0.129046
2026-08-23 08:26: Train Epoch 1: 620/1641 Loss: 0.137739
2026-08-23 08:26: Train Epoch 1: 640/1641 Loss: 0.112187
2026-08-23 08:27: Train Epoch 1: 660/1641 Loss: 0.111193
2026-08-23 08:27: Train Epoch 1: 680/1641 Loss: 0.079279
2026-08-23 08:27: Train Epoch 1: 700/1641 Loss: 0.082058
2026-08-23 08:27: Train Epoch 1: 720/1641 Loss: 0.114824
2026-08-23 08:27: Train Epoch 1: 740/1641 Loss: 0.118231
2026-08-23 08:27: Train Epoch 1: 760/1641 Loss: 0.084382
2026-08-23 08:27: Train Epoch 1: 780/1641 Loss: 0.143051
2026-08-23 08:27: Train Epoch 1: 800/1641 Loss: 0.117429
